name,numerator,denominator,id
acs_GlassPower40-50F,#{O86ylqFJDCa.pAMmmynfsyN}+#{pmwAH2JY8rg.pAMmmynfsyN}+#{cBAq4wbBOHa.pAMmmynfsyN}+#{qVlrtsE07I7.pAMmmynfsyN}+#{nnHVWHBhBWJ.pAMmmynfsyN}+#{cWpsM9L7iQW.pAMmmynfsyN},C{k8CzaSY0aND},P244rSPyBrG
acs_GlassPower40-50M,#{O86ylqFJDCa.sK1TBEe403V}+#{pmwAH2JY8rg.sK1TBEe403V}+#{cBAq4wbBOHa.sK1TBEe403V}+#{qVlrtsE07I7.sK1TBEe403V}+#{nnHVWHBhBWJ.sK1TBEe403V}+#{cWpsM9L7iQW.sK1TBEe403V},C{k8CzaSY0aND},By5sYagzQRe
acs_GlassPower50-60F,#{O86ylqFJDCa.uDY2mw85vfm}+#{pmwAH2JY8rg.uDY2mw85vfm}+#{cBAq4wbBOHa.uDY2mw85vfm}+#{qVlrtsE07I7.uDY2mw85vfm}+#{nnHVWHBhBWJ.uDY2mw85vfm}+#{cWpsM9L7iQW.uDY2mw85vfm},C{k8CzaSY0aND},EfPliRz5w0b
acs_GlassPower50-60M,#{O86ylqFJDCa.k0La34ZpgXE}+#{pmwAH2JY8rg.k0La34ZpgXE}+#{cBAq4wbBOHa.k0La34ZpgXE}+#{qVlrtsE07I7.k0La34ZpgXE}+#{nnHVWHBhBWJ.k0La34ZpgXE}+#{cWpsM9L7iQW.k0La34ZpgXE},C{k8CzaSY0aND},N1HlrHC871t
acs_GlassPower>60F,#{O86ylqFJDCa.jCnxN0e6ELr}+#{pmwAH2JY8rg.jCnxN0e6ELr}+#{cBAq4wbBOHa.jCnxN0e6ELr}+#{qVlrtsE07I7.jCnxN0e6ELr}+#{nnHVWHBhBWJ.jCnxN0e6ELr}+#{cWpsM9L7iQW.jCnxN0e6ELr},C{k8CzaSY0aND},CIvKGp9h58j
acs_GlassPower>60M,#{O86ylqFJDCa.vyzfjIP1Qre}+#{pmwAH2JY8rg.vyzfjIP1Qre}+#{cBAq4wbBOHa.vyzfjIP1Qre}+#{qVlrtsE07I7.vyzfjIP1Qre}+#{nnHVWHBhBWJ.vyzfjIP1Qre}+#{cWpsM9L7iQW.vyzfjIP1Qre},C{k8CzaSY0aND},GWyyaigcSwM
acs_GlassPowerTotal,#{O86ylqFJDCa.vs0n4UhW3HS}+#{O86ylqFJDCa.vuTu8NezkQq}+#{O86ylqFJDCa.sK1TBEe403V}+#{O86ylqFJDCa.k0La34ZpgXE}+#{O86ylqFJDCa.vyzfjIP1Qre}+#{pmwAH2JY8rg.vs0n4UhW3HS}+#{pmwAH2JY8rg.vuTu8NezkQq}+#{pmwAH2JY8rg.sK1TBEe403V}+#{pmwAH2JY8rg.k0La34ZpgXE}+#{pmwAH2JY8rg.vyzfjIP1Qre}+#{cBAq4wbBOHa.vs0n4UhW3HS}+#{cBAq4wbBOHa.vuTu8NezkQq}+#{cBAq4wbBOHa.sK1TBEe403V}+#{cBAq4wbBOHa.k0La34ZpgXE}+#{cBAq4wbBOHa.vyzfjIP1Qre}+#{qVlrtsE07I7.vs0n4UhW3HS}+#{qVlrtsE07I7.vuTu8NezkQq}+#{qVlrtsE07I7.sK1TBEe403V}+#{qVlrtsE07I7.k0La34ZpgXE}+#{qVlrtsE07I7.vyzfjIP1Qre}+#{nnHVWHBhBWJ.vs0n4UhW3HS}+#{nnHVWHBhBWJ.vuTu8NezkQq}+#{nnHVWHBhBWJ.sK1TBEe403V}+#{nnHVWHBhBWJ.k0La34ZpgXE}+#{nnHVWHBhBWJ.vyzfjIP1Qre}+#{cWpsM9L7iQW.vs0n4UhW3HS}+#{cWpsM9L7iQW.vuTu8NezkQq}+#{cWpsM9L7iQW.sK1TBEe403V}+#{cWpsM9L7iQW.k0La34ZpgXE}+#{cWpsM9L7iQW.vyzfjIP1Qre}+#{O86ylqFJDCa.PcwswNmbtP5}+#{O86ylqFJDCa.eRBYs8IOlZm}+#{O86ylqFJDCa.pAMmmynfsyN}+#{O86ylqFJDCa.uDY2mw85vfm}+#{O86ylqFJDCa.jCnxN0e6ELr}+#{pmwAH2JY8rg.PcwswNmbtP5}+#{pmwAH2JY8rg.eRBYs8IOlZm}+#{pmwAH2JY8rg.pAMmmynfsyN}+#{pmwAH2JY8rg.uDY2mw85vfm}+#{pmwAH2JY8rg.jCnxN0e6ELr}+#{cBAq4wbBOHa.PcwswNmbtP5}+#{cBAq4wbBOHa.eRBYs8IOlZm}+#{cBAq4wbBOHa.pAMmmynfsyN}+#{cBAq4wbBOHa.uDY2mw85vfm}+#{cBAq4wbBOHa.jCnxN0e6ELr}+#{qVlrtsE07I7.PcwswNmbtP5}+#{qVlrtsE07I7.eRBYs8IOlZm}+#{qVlrtsE07I7.pAMmmynfsyN}+#{qVlrtsE07I7.uDY2mw85vfm}+#{qVlrtsE07I7.jCnxN0e6ELr}+#{nnHVWHBhBWJ.PcwswNmbtP5}+#{nnHVWHBhBWJ.eRBYs8IOlZm}+#{nnHVWHBhBWJ.pAMmmynfsyN}+#{nnHVWHBhBWJ.uDY2mw85vfm}+#{nnHVWHBhBWJ.jCnxN0e6ELr}+#{cWpsM9L7iQW.PcwswNmbtP5}+#{cWpsM9L7iQW.eRBYs8IOlZm}+#{cWpsM9L7iQW.pAMmmynfsyN}+#{cWpsM9L7iQW.uDY2mw85vfm}+#{cWpsM9L7iQW.jCnxN0e6ELr},C{k8CzaSY0aND},qhbbO79NU8z
acs_GlassPowerTotalF,#{O86ylqFJDCa.PcwswNmbtP5}+#{O86ylqFJDCa.eRBYs8IOlZm}+#{O86ylqFJDCa.pAMmmynfsyN}+#{O86ylqFJDCa.uDY2mw85vfm}+#{O86ylqFJDCa.jCnxN0e6ELr}+#{pmwAH2JY8rg.PcwswNmbtP5}+#{pmwAH2JY8rg.eRBYs8IOlZm}+#{pmwAH2JY8rg.pAMmmynfsyN}+#{pmwAH2JY8rg.uDY2mw85vfm}+#{pmwAH2JY8rg.jCnxN0e6ELr}+#{cBAq4wbBOHa.PcwswNmbtP5}+#{cBAq4wbBOHa.eRBYs8IOlZm}+#{cBAq4wbBOHa.pAMmmynfsyN}+#{cBAq4wbBOHa.uDY2mw85vfm}+#{cBAq4wbBOHa.jCnxN0e6ELr}+#{qVlrtsE07I7.PcwswNmbtP5}+#{qVlrtsE07I7.eRBYs8IOlZm}+#{qVlrtsE07I7.pAMmmynfsyN}+#{qVlrtsE07I7.uDY2mw85vfm}+#{qVlrtsE07I7.jCnxN0e6ELr}+#{nnHVWHBhBWJ.PcwswNmbtP5}+#{nnHVWHBhBWJ.eRBYs8IOlZm}+#{nnHVWHBhBWJ.pAMmmynfsyN}+#{nnHVWHBhBWJ.uDY2mw85vfm}+#{nnHVWHBhBWJ.jCnxN0e6ELr}+#{cWpsM9L7iQW.PcwswNmbtP5}+#{cWpsM9L7iQW.eRBYs8IOlZm}+#{cWpsM9L7iQW.pAMmmynfsyN}+#{cWpsM9L7iQW.uDY2mw85vfm}+#{cWpsM9L7iQW.jCnxN0e6ELr},C{k8CzaSY0aND},r9EtzbTkrEQ
acs_GlassPowerTotalM,#{O86ylqFJDCa.vs0n4UhW3HS}+#{O86ylqFJDCa.vuTu8NezkQq}+#{O86ylqFJDCa.sK1TBEe403V}+#{O86ylqFJDCa.k0La34ZpgXE}+#{O86ylqFJDCa.vyzfjIP1Qre}+#{pmwAH2JY8rg.vs0n4UhW3HS}+#{pmwAH2JY8rg.vuTu8NezkQq}+#{pmwAH2JY8rg.sK1TBEe403V}+#{pmwAH2JY8rg.k0La34ZpgXE}+#{pmwAH2JY8rg.vyzfjIP1Qre}+#{cBAq4wbBOHa.vs0n4UhW3HS}+#{cBAq4wbBOHa.vuTu8NezkQq}+#{cBAq4wbBOHa.sK1TBEe403V}+#{cBAq4wbBOHa.k0La34ZpgXE}+#{cBAq4wbBOHa.vyzfjIP1Qre}+#{qVlrtsE07I7.vs0n4UhW3HS}+#{qVlrtsE07I7.vuTu8NezkQq}+#{qVlrtsE07I7.sK1TBEe403V}+#{qVlrtsE07I7.k0La34ZpgXE}+#{qVlrtsE07I7.vyzfjIP1Qre}+#{nnHVWHBhBWJ.vs0n4UhW3HS}+#{nnHVWHBhBWJ.vuTu8NezkQq}+#{nnHVWHBhBWJ.sK1TBEe403V}+#{nnHVWHBhBWJ.k0La34ZpgXE}+#{nnHVWHBhBWJ.vyzfjIP1Qre}+#{cWpsM9L7iQW.vs0n4UhW3HS}+#{cWpsM9L7iQW.vuTu8NezkQq}+#{cWpsM9L7iQW.sK1TBEe403V}+#{cWpsM9L7iQW.k0La34ZpgXE}+#{cWpsM9L7iQW.vyzfjIP1Qre},C{k8CzaSY0aND},a0S80sr6n8Y
acs_ReferredF,#{d4FZJb4Acua.PcwswNmbtP5}+#{d4FZJb4Acua.eRBYs8IOlZm}+#{d4FZJb4Acua.pAMmmynfsyN}+#{d4FZJb4Acua.uDY2mw85vfm}+#{d4FZJb4Acua.jCnxN0e6ELr},C{k8CzaSY0aND},UO7Ndb2jyTW
