name,aggregationType,valueType,id,code
FMAPS_OI6X: Any other CM Treatment,SUM,INTEGER_ZERO_OR_POSITIVE,x8nCvoek5p0,
FMAPS_PA1C: AZT + 3TC + ATV/r,SUM,INTEGER_ZERO_OR_POSITIVE,AeMGgGa2Zwy,
FMAPS_PA3C: TDF + 3TC + ATV/r,SUM,INTEGER_ZERO_OR_POSITIVE,VfsqG6oj8No,
FMAPS_PA3D: TDF + 3TC + DTG,SUM,INTEGER_ZERO_OR_POSITIVE,xxtcdK8omhH,
FMAPS_PA4X: Any other Adult PEP Regimens,SUM,INTEGER_ZERO_OR_POSITIVE,ijiaDi2Vyfp,
FMAPS_PC1X: Any other Infant PMTCT regimens 0-12,SUM,INTEGER_ZERO_OR_POSITIVE,dk0LonqG3za,
FMAPS_PC1X: Any other Infant PMTCT regimens 10-12,SUM,INTEGER_ZERO_OR_POSITIVE,mCn55x5tNKe,
FMAPS_PC1X: Any other Infant PMTCT regimens >12,SUM,INTEGER_ZERO_OR_POSITIVE,rlhnD7T2Oxd,
FMAPS_PC1X: Any other Infant PMTCT regimens 12-6m,SUM,INTEGER_ZERO_OR_POSITIVE,MSOsuI7NIOJ,
FMAPS_PC1X: Any other Infant PMTCT regimens 7-9,SUM,INTEGER_ZERO_OR_POSITIVE,UTCkJSx0Qss,
FMAPS_PC3A: ABC + 3TC + LPV/r,SUM,INTEGER_ZERO_OR_POSITIVE,mjUk9fi788L,
FMAPS_PC3C: ABC + 3TC + DTG,SUM,INTEGER_ZERO_OR_POSITIVE,AAP8XjnTn4D,
FMAPS_PC4X: Any other Paeds PEP Regimens,SUM,INTEGER_ZERO_OR_POSITIVE,G5FOHSJveqC,
FMAPS_PC7: AZT liquid BID + NVP liquid OD NBF 0-12,SUM,INTEGER_ZERO_OR_POSITIVE,QAWRWFUmRm3,
FMAPS_PC7: AZT liquid BID + NVP liquid OD NBF 10-12,SUM,INTEGER_ZERO_OR_POSITIVE,YoAKRHh2SVM,
FMAPS_PC7: AZT liquid BID + NVP liquid OD NBF >12,SUM,INTEGER_ZERO_OR_POSITIVE,GJmXDdH6QLU,
FMAPS_PC7: AZT liquid BID + NVP liquid OD NBF 12-6m,SUM,INTEGER_ZERO_OR_POSITIVE,QEK4OHTUvRX,
FMAPS_PC7: AZT liquid BID + NVP liquid OD NBF 7-9,SUM,INTEGER_ZERO_OR_POSITIVE,V23lusTCKBA,
FMAPS_PC8: AZT liquid BID + NVP liquid OD 0-12,SUM,INTEGER_ZERO_OR_POSITIVE,salSjbZpKTn,
FMAPS_PC8: AZT liquid BID + NVP liquid OD 10-12,SUM,INTEGER_ZERO_OR_POSITIVE,AI2EiMFMzgN,
FMAPS_PC8: AZT liquid BID + NVP liquid OD >12,SUM,INTEGER_ZERO_OR_POSITIVE,AK69LOeBhED,
FMAPS_PC8: AZT liquid BID + NVP liquid OD 12-6m,SUM,INTEGER_ZERO_OR_POSITIVE,xGc18GiONSg,
FMAPS_PC8: AZT liquid BID + NVP liquid OD 7-9,SUM,INTEGER_ZERO_OR_POSITIVE,e50UI07W1NQ,
FMAPS_PM10: PMTCT HAART: AZT + 3TC + ATV/r 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,EvKQMYvtheR,
FMAPS_PM10: PMTCT HAART: AZT + 3TC + ATV/r 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,bZlsoVrcgOX,
FMAPS_PM10: PMTCT HAART: AZT + 3TC + ATV/r 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,OpR23PSbvhF,
FMAPS_PM11: PMTCT HAART: TDF + 3TC + ATV/r 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,zt1YWQfaDdd,
FMAPS_PM11: PMTCT HAART: TDF + 3TC + ATV/r 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,i57NISulH3I,
FMAPS_PM11: PMTCT HAART: TDF + 3TC + ATV/r 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,Vvm4UTEAf7l,
FMAPS_PM12: PMTCT HAART: TDF + 3TC + DTG 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,OO6Yv8kYM8E,
FMAPS_PM12: PMTCT HAART: TDF + 3TC + DTG 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,sF0r5aa7eus,
FMAPS_PM12: PMTCT HAART: TDF + 3TC + DTG 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,PA9TZCTlrsl,
FMAPS_PM13: PMTCT HAART: AZT + 3TC + DTG 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,LwXQ0VfDPIE,
FMAPS_PM13: PMTCT HAART: AZT + 3TC + DTG 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,WzAYlqAQAyb,
FMAPS_PM13: PMTCT HAART: AZT + 3TC + DTG 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,EG0yrBFtCoI,
FMAPS_PM14: PMTCT HAART: ABC + 3TC + DTG 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,aX7Ef4AKiSQ,
FMAPS_PM14: PMTCT HAART: ABC + 3TC + DTG 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,ZNKcfpG1TIH,
FMAPS_PM14: PMTCT HAART: ABC + 3TC + DTG 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,PArmakpzAA7,
FMAPS_PM1X: Any other PMTCT regimens 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,cEXfWhGl9zc,
FMAPS_PM1X: Any other PMTCT regimens 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,bJL3cQtC7ds,
FMAPS_PM1X: Any other PMTCT regimens 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,tdml19jQ1cu,
FMAPS_PM5: PMTCT HAART: AZT + 3TC + LPV/r 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,pqdisQLs1HH,
FMAPS_PM5: PMTCT HAART: AZT + 3TC + LPV/r 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,w0lZcURebgB,
FMAPS_PM5: PMTCT HAART: AZT + 3TC + LPV/r 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,twQcdgDPpdk,
FMAPS_PM7: PMTCT HAART:  TDF + 3TC + LPV/r 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,YMPTQOMpdKp,
FMAPS_PM7: PMTCT HAART:  TDF + 3TC + LPV/r 2ndLine,SUM,INTEGER_ZERO_OR_POSITIVE,wuvDgFgjdcg,
FMAPS_PM7: PMTCT HAART:  TDF + 3TC + LPV/r 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,yE3AIjSdRtS,
FMAPS_PM9: PMTCT HAART: TDF + 3TC + EFV 1stLine,SUM,INTEGER_ZERO_OR_POSITIVE,QRcxbdmXPXK,
FMAPS_PM9: PMTCT HAART: TDF + 3TC + EFV 2nd Line,SUM,INTEGER_ZERO_OR_POSITIVE,Y3FqJG7FQtf,
FMAPS_PM9: PMTCT HAART: TDF + 3TC + EFV 3rdLine,SUM,INTEGER_ZERO_OR_POSITIVE,ZbYSxGs4AGp,
FMAPS_PRP1A: TDF + FTC,SUM,INTEGER_ZERO_OR_POSITIVE,LFRnMkO4xcA,
FMAPS_PRP1B: TDF + 3TC,SUM,INTEGER_ZERO_OR_POSITIVE,QIrXWjMwkmC,
FMAPS_PRP1D: Dapivirine ring,SUM,INTEGER_ZERO_OR_POSITIVE,Uh1W2zUTasH,
FMAPS_PRP1E: Cabotegravir,SUM,INTEGER_ZERO_OR_POSITIVE,Sdtq59MukJG,
FMAPS_PRP1X: Others,SUM,INTEGER_ZERO_OR_POSITIVE,AAmjBdz3bhw,
FMAPS TA Comment1,SUM,LONG_TEXT,UkMNVN5aPSb,
FMAPS TA Comment2,SUM,LONG_TEXT,F5VCco0jvV6,
FMAPS TA Comment3,SUM,LONG_TEXT,LInYlFZU4zC,
FMAPS TA User1,SUM,TEXT,quMAaogqHTk,
FMAPS TA User2,SUM,TEXT,JD9nbIiGc3G,
FMAPS TA User3,SUM,TEXT,QDxuWwlPbVG,
FP clients Screened,SUM,INTEGER_ZERO_OR_POSITIVE,LU3I336T3UX,
FP clients Seen,SUM,INTEGER_ZERO_OR_POSITIVE,XkNyYhqcLZb,
FP known negative,SUM,INTEGER_ZERO_OR_POSITIVE,zVeZ7RQDxjt,
FP Known Positive,SUM,INTEGER_ZERO_OR_POSITIVE,rZZkGyjqeYZ,
FP Known Positives on HAART,SUM,INTEGER_ZERO_OR_POSITIVE,BgxMaJyLzGc,
FP Newly positive,SUM,INTEGER_ZERO_OR_POSITIVE,jbyp2irkHnt,
FP New Positive on HAART,SUM,INTEGER_ZERO_OR_POSITIVE,gSyYv9ZaHpk,
FP Tested,SUM,INTEGER_ZERO_OR_POSITIVE,j1Ovy0UzWKC,
FP unknown HIV,SUM,INTEGER_ZERO_OR_POSITIVE,YTmAr5RMTuv,
GBV ANC Identified F,SUM,INTEGER_ZERO_OR_POSITIVE,FjIAmVKMIXw,
GBV ANC Identified M,SUM,INTEGER_ZERO_OR_POSITIVE,oue7IvoWy57,
GBV ANC Offered F,SUM,INTEGER_ZERO_OR_POSITIVE,tw6Tcz3eZ6B,
GBV ANC Offered M,SUM,INTEGER_ZERO_OR_POSITIVE,vOUzEezG46a,
GBV ANC Screened F,SUM,INTEGER_ZERO_OR_POSITIVE,HYYrlYulkFp,
GBV ANC Screened M,SUM,INTEGER_ZERO_OR_POSITIVE,gWL3Y7DGZLP,
GBV CCC Identified F,SUM,INTEGER_ZERO_OR_POSITIVE,y3oQtTDjFmy,
GBV CCC Identified M,SUM,INTEGER_ZERO_OR_POSITIVE,o8BKK1oS2GE,
GBV CCC Offered F,SUM,INTEGER_ZERO_OR_POSITIVE,wUCSrPFcqT8,
GBV CCC Offered M,SUM,INTEGER_ZERO_OR_POSITIVE,y5YNZtoaLKG,
GBV CCC Screened F,SUM,INTEGER_ZERO_OR_POSITIVE,VZo3pKVDr1e,
GBV CCC Screened M,SUM,INTEGER_ZERO_OR_POSITIVE,A06zVJjMrUx,
GBV Children Refer,SUM,INTEGER_ZERO_OR_POSITIVE,XIAhStBZFNp,
GBV Comm Complete,SUM,INTEGER_ZERO_OR_POSITIVE,BLrgcrCSlRF,
GBV Comm Serv,SUM,INTEGER_ZERO_OR_POSITIVE,k167nwYnlFd,
GBV Economic Refer,SUM,INTEGER_ZERO_OR_POSITIVE,VwqXsgyhRNp,
GBV EV Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,aH2hIYbu7Zl,
GBV EV pos,SUM,INTEGER_ZERO_OR_POSITIVE,jfFz99bXkrR,
GBV EV PVC,SUM,INTEGER_ZERO_OR_POSITIVE,IppugXeTcB8,
GBV EV tested,SUM,INTEGER_ZERO_OR_POSITIVE,VqKlOiHr48Y,
GBV Facility Comment1,SUM,LONG_TEXT,TdTobs0WDNX,
GBV Facility Comment2,SUM,LONG_TEXT,k9VVD1Og1aZ,
GBV Facility Comment3,SUM,LONG_TEXT,Bq5WYnacfjK,
GBV Facility User1,SUM,TEXT,LbaqQ1HTo8r,
GBV Facility User2,SUM,TEXT,CFW16fNaZvC,
GBV Facility User3,SUM,TEXT,GecClXyIA0x,
GBV HTS Identified F,SUM,INTEGER_ZERO_OR_POSITIVE,QCXWxb4XQvw,
GBV HTS Identified M,SUM,INTEGER_ZERO_OR_POSITIVE,HgL3EfuhXTA,
GBV HTS Offered F,SUM,INTEGER_ZERO_OR_POSITIVE,AtcYYIouKXT,
GBV HTS Offered M,SUM,INTEGER_ZERO_OR_POSITIVE,AXs4nCpuR3b,
GBV HTS Screened F,SUM,INTEGER_ZERO_OR_POSITIVE,ONVGwp35Nu9,
GBV HTS Screened M,SUM,INTEGER_ZERO_OR_POSITIVE,U8TXCBAkRyo,
GBV_MNCH_BF_Complete_Referral,SUM,INTEGER_ZERO_OR_POSITIVE,FE1FcKAGwrX,
GBV_MNCH_BF_EV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,RAowWWwmdRt,
GBV_MNCH_BF_EV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,oepkanceolU,
GBV_MNCH_BF_EV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,ZdFHnGaGIxT,
GBV_MNCH_BF_EV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,ErSjdLi5whR,
GBV_MNCH_BF_PEP_Linked_PrEP,SUM,INTEGER_ZERO_OR_POSITIVE,FwVqdBrCRvS,
GBV_MNCH_BF_PV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,ThDmx5JlX3p,
GBV_MNCH_BF_PV_Forensic_Exam,SUM,INTEGER_ZERO_OR_POSITIVE,BJoEuwr9VjP,
GBV_MNCH_BF_PV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,NcTXUjmcvR6,
GBV_MNCH_BF_PV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,huN1JMHODTG,
GBV_MNCH_BF_PV_Referred_Legal,SUM,INTEGER_ZERO_OR_POSITIVE,Awhji3HEL1v,
GBV_MNCH_BF_PV_Reported_Police,SUM,INTEGER_ZERO_OR_POSITIVE,nPFHHMpGl3c,
GBV_MNCH_BF_PV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,Gn3l7X6xR7G,
GBV_MNCH_BF_Referred_Community,SUM,INTEGER_ZERO_OR_POSITIVE,ECHlwgq2lU5,
GBV_MNCH_BF_Screened,SUM,INTEGER_ZERO_OR_POSITIVE,CLPrxYIAmq0,
GBV_MNCH_BF_SV_Completed_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,VVSgnEub3rg,
GBV_MNCH_BF_SV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,OLDhvuBVu9M,
GBV_MNCH_BF_SV_Eligible_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,U9JnUlQPR4Y,
GBV_MNCH_BF_SV_Eligible_Trauma,SUM,INTEGER_ZERO_OR_POSITIVE,UP1hX4txX4E,
GBV_MNCH_BF_SV_Expected_Complete_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,wvjGVxNwjGf,
GBV_MNCH_BF_SV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,fbwmyWOoWnz,
GBV_MNCH_BF_SV_KP,SUM,INTEGER_ZERO_OR_POSITIVE,oaTW21xs4xM,
GBV_MNCH_BF_SV_Received_EC,SUM,INTEGER_ZERO_OR_POSITIVE,VsfbYr5Clv6,
GBV_MNCH_BF_SV_Received_Psycho,SUM,INTEGER_ZERO_OR_POSITIVE,GgYIWnyyjwU,
GBV_MNCH_BF_SV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,QdXI5sj7K9C,
GBV_MNCH_BF_SV_Received_Trauma,SUM,INTEGER_ZERO_OR_POSITIVE,UqsHFnkDkhF,
GBV_MNCH_BF_SV_Referred_child_office,SUM,INTEGER_ZERO_OR_POSITIVE,a20xjsjHTBA,
GBV_MNCH_BF_SV_Referred_Economic,SUM,INTEGER_ZERO_OR_POSITIVE,ovJxKyqLWLy,
GBV_MNCH_BF_SV_Referred_legal,SUM,INTEGER_ZERO_OR_POSITIVE,QQVKPk8Z4AC,
GBV_MNCH_BF_SV_Referred_Rescue,SUM,INTEGER_ZERO_OR_POSITIVE,BFk5bex41ME,
GBV_MNCH_BF_SV_Referred_Treated_STI,SUM,INTEGER_ZERO_OR_POSITIVE,XnpOgr9T6ch,
GBV_MNCH_BF_SV_Reported_Police,SUM,INTEGER_ZERO_OR_POSITIVE,PsBQ0nr2iHH,
GBV_MNCH_BF_SV_Screened_Mental,SUM,INTEGER_ZERO_OR_POSITIVE,C1Z8VwTZgeq,
GBV_MNCH_BF_SV_Screened_STI,SUM,INTEGER_ZERO_OR_POSITIVE,G4KpaVO2x00,
GBV_MNCH_BF_SV_Started_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,pTgm2iBA9hH,
GBV_MNCH_BF_SV_STI_Pos,SUM,INTEGER_ZERO_OR_POSITIVE,IIlYAJys2PP,
GBV_MNCH_BF_SV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,FSri933Oq6t,
GBV_MNCH_BF_SV_Visited_<72hrs,SUM,INTEGER_ZERO_OR_POSITIVE,gpACoWITn4d,
GBVMNCH Facility Comment1,NONE,LONG_TEXT,pZhEv53ec4C,
GBVMNCH Facility Comment2,NONE,LONG_TEXT,prZPypFXZVC,
GBVMNCH Facility Comment3,NONE,LONG_TEXT,hOlGXFN3I6R,
GBVMNCH Facility User1,NONE,TEXT,lxFkRS3GraC,
GBVMNCH Facility User2,NONE,TEXT,qqd5sLf6DoB,
GBVMNCH Facility User3,NONE,TEXT,KAWuWQVyoCK,
GBV_MNCH_PG_Complete_Referral,SUM,INTEGER_ZERO_OR_POSITIVE,LiCWC3EPWNC,
GBV_MNCH_PG_EV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,cVj2mwL0XhF,
GBV_MNCH_PG_EV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,WHWTkccRZ5u,
GBV_MNCH_PG_EV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,nDjue3oZ9fN,
GBV_MNCH_PG_EV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,WJUlB7ntcBF,
GBV_MNCH_PG_PEP_Linked_PrEP,SUM,INTEGER_ZERO_OR_POSITIVE,AZJIh5RBTnH,
GBV_MNCH_PG_PV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,vxJ95SN9w5e,
GBV_MNCH_PG_PV_Forensic_Exam,SUM,INTEGER_ZERO_OR_POSITIVE,kTkoPbCy7V0,
GBV_MNCH_PG_PV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,XFhSgvwAwr7,
GBV_MNCH_PG_PV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,gQZdYg0TMuM,
GBV_MNCH_PG_PV_Referred_Legal,SUM,INTEGER_ZERO_OR_POSITIVE,tFr4EWOCsmZ,
GBV_MNCH_PG_PV_Reported_Police,SUM,INTEGER_ZERO_OR_POSITIVE,lLMPTpaKWvH,
GBV_MNCH_PG_PV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,QdSRBhT9wFb,
GBV_MNCH_PG_Referred_Community,SUM,INTEGER_ZERO_OR_POSITIVE,A9nOUM2lai6,
GBV_MNCH_PG_Screened,SUM,INTEGER_ZERO_OR_POSITIVE,rJBM2Try8Qy,
GBV_MNCH_PG_SV_Completed_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,WeWyEA2U2uC,
GBV_MNCH_PG_SV_Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,uxEAJA8xcQL,
GBV_MNCH_PG_SV_Eligible_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,tYfeYRbjxyd,
GBV_MNCH_PG_SV_Eligible_Trauma,SUM,INTEGER_ZERO_OR_POSITIVE,y1xALUN20Ox,
GBV_MNCH_PG_SV_Expected_Complete_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,aG03d83xD0x,
GBV_MNCH_PG_SV_HIV+,SUM,INTEGER_ZERO_OR_POSITIVE,GHx9nDqOXbT,
GBV_MNCH_PG_SV_KP,SUM,INTEGER_ZERO_OR_POSITIVE,w4scqezZROD,
GBV_MNCH_PG_SV_Received_EC,SUM,INTEGER_ZERO_OR_POSITIVE,woOJDpd9Uzy,
GBV_MNCH_PG_SV_Received_Psycho,SUM,INTEGER_ZERO_OR_POSITIVE,XRdtVEmckGE,
GBV_MNCH_PG_SV_Received_PVC,SUM,INTEGER_ZERO_OR_POSITIVE,wMKNiXoOksj,
GBV_MNCH_PG_SV_Received_Trauma,SUM,INTEGER_ZERO_OR_POSITIVE,lJ8wR2P4X2C,
GBV_MNCH_PG_SV_Referred_child_office,SUM,INTEGER_ZERO_OR_POSITIVE,pAAFED3cxFc,
GBV_MNCH_PG_SV_Referred_Economic,SUM,INTEGER_ZERO_OR_POSITIVE,gGcWojjGFQ1,
GBV_MNCH_PG_SV_Referred_legal,SUM,INTEGER_ZERO_OR_POSITIVE,kVGMk96uJJY,
GBV_MNCH_PG_SV_Referred_Rescue,SUM,INTEGER_ZERO_OR_POSITIVE,wTgF8jY2mIf,
GBV_MNCH_PG_SV_Referred_Treated_STI,SUM,INTEGER_ZERO_OR_POSITIVE,tYbxAMZ6ISE,
GBV_MNCH_PG_SV_Reported_Police,SUM,INTEGER_ZERO_OR_POSITIVE,UhVSQsjHWAg,
GBV_MNCH_PG_SV_Screened_Mental,SUM,INTEGER_ZERO_OR_POSITIVE,bngSQZ2Hg05,
GBV_MNCH_PG_SV_Screened_STI,SUM,INTEGER_ZERO_OR_POSITIVE,CSroSyZpIIJ,
GBV_MNCH_PG_SV_Started_PEP,SUM,INTEGER_ZERO_OR_POSITIVE,evIOJ3zh2yW,
GBV_MNCH_PG_SV_STI_Pos,SUM,INTEGER_ZERO_OR_POSITIVE,eFGyBkTxNgb,
GBV_MNCH_PG_SV_Tested_HIV,SUM,INTEGER_ZERO_OR_POSITIVE,hTRW1MxhnbS,
GBV_MNCH_PG_SV_Visited_<72hrs,SUM,INTEGER_ZERO_OR_POSITIVE,hABw68BEc6s,
GBVMNCH TA Comment1,NONE,LONG_TEXT,lIKj2k9m6Qr,
GBVMNCH TA Comment2,NONE,LONG_TEXT,kZkehdTsnY1,
GBVMNCH TA Comment3,NONE,LONG_TEXT,sG3Dk0Q7qOG,
GBVMNCH  TA User1,NONE,TEXT,nZYQt5mnU1A,
GBVMNCH  TA User2,NONE,TEXT,qsxP1nkkIFi,
GBVMNCH  TA User3,NONE,TEXT,gXZ6FLQ1OT6,
GBV OPD Identified F,SUM,INTEGER_ZERO_OR_POSITIVE,HeniTLoIidn,
GBV OPD Identified M,SUM,INTEGER_ZERO_OR_POSITIVE,dVwOCrhsA8T,
GBV OPD Offered F,SUM,INTEGER_ZERO_OR_POSITIVE,ze83BXA8SEo,
GBV OPD Offered M,SUM,INTEGER_ZERO_OR_POSITIVE,I0ygwKIrnEZ,
GBV OPD Screened F,SUM,INTEGER_ZERO_OR_POSITIVE,JXmUAmsCxQe,
GBV OPD Screened M,SUM,INTEGER_ZERO_OR_POSITIVE,gmEdEmJqBPr,
GBV Other Identified F,SUM,INTEGER_ZERO_OR_POSITIVE,jg68v2duacY,
GBV Other Identified M,SUM,INTEGER_ZERO_OR_POSITIVE,i5lDHBmAh8I,
GBV Other Offered F,SUM,INTEGER_ZERO_OR_POSITIVE,WOBFi2dACKw,
GBV Other Offered M,SUM,INTEGER_ZERO_OR_POSITIVE,s3F1gETU0bb,
GBV Other Screened F,SUM,INTEGER_ZERO_OR_POSITIVE,LDtu9eFY7tI,
GBV Other Screened M,SUM,INTEGER_ZERO_OR_POSITIVE,AtBZOBY5maI,
GBV PrEP Linked,SUM,INTEGER_ZERO_OR_POSITIVE,grpFn0v1Srd,
GBV Psycho Counseled,SUM,INTEGER_ZERO_OR_POSITIVE,krqzmTNcGYb,
GBV PV Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,iwkZNbHgFOk,
GBV PV forensic,SUM,INTEGER_ZERO_OR_POSITIVE,oEZQTtLszId,
GBV PV legal report,SUM,INTEGER_ZERO_OR_POSITIVE,XMpmGqbZeDw,
GBV PV police report,SUM,INTEGER_ZERO_OR_POSITIVE,eGr25dKn9m6,
GBV PV Pos,SUM,INTEGER_ZERO_OR_POSITIVE,RT9lrT5zvcL,
GBV PV PVC,SUM,INTEGER_ZERO_OR_POSITIVE,PqIWKoxHEvB,
GBV PV Tested,SUM,INTEGER_ZERO_OR_POSITIVE,MLdYn7i3Zs0,
GBV Rescue Refer,SUM,INTEGER_ZERO_OR_POSITIVE,bkX5tmwxk4F,
GBV Screened,SUM,INTEGER_ZERO_OR_POSITIVE,Eel8XUc7Hga,
GBV STI Pos,SUM,INTEGER_ZERO_OR_POSITIVE,VAZ2tdwp5Qp,
GBV STI Screen,SUM,INTEGER_ZERO_OR_POSITIVE,mX7dwA6QuZc,
GBV STI Treat,SUM,INTEGER_ZERO_OR_POSITIVE,elDECiFW8mD,
GBV SV,SUM,INTEGER_ZERO_OR_POSITIVE,Tc6mO4nRi3l,
GBV SV cases closed F,SUM,INTEGER_ZERO_OR_POSITIVE,s9rxFYTGvcz,
GBV SV cases closed M,SUM,INTEGER_ZERO_OR_POSITIVE,S18AllNKE4V,
GBV SV conv duration <10,SUM,INTEGER_ZERO_OR_POSITIVE,TGMveoQq6qW,
GBV SV conv duration 10-20,SUM,INTEGER_ZERO_OR_POSITIVE,q6KouDwDVZ1,
GBV SV Convictions F,SUM,INTEGER_ZERO_OR_POSITIVE,jLDLdLofjSc,
GBV SV Convictions M,SUM,INTEGER_ZERO_OR_POSITIVE,P6DQzRLJNHr,
GBV SV EC,SUM,INTEGER_ZERO_OR_POSITIVE,fXaw122E9NE,
GBV SV Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,w0AcuccSACz,
GBV SV KP,SUM,INTEGER_ZERO_OR_POSITIVE,Dv0Y9Qq7gia,
GBV SV Legal Report,SUM,INTEGER_ZERO_OR_POSITIVE,KEn1ZGZiZaT,
GBV SV Life Impr F,SUM,INTEGER_ZERO_OR_POSITIVE,aEroyObj5JC,
GBV SV Mental Health,SUM,INTEGER_ZERO_OR_POSITIVE,FIQbRUf4hc1,
GBV SV PEP Complete,SUM,INTEGER_ZERO_OR_POSITIVE,S4FpdbN8q6Z,
GBV SV PEP Elig,SUM,INTEGER_ZERO_OR_POSITIVE,AaawruGawiK,
GBV SV PEP Expected,SUM,INTEGER_ZERO_OR_POSITIVE,oWpnXe2oqKO,
GBV SV PEP Start,SUM,INTEGER_ZERO_OR_POSITIVE,FMUEnaKCACK,
GBV SV Perp F,SUM,INTEGER_ZERO_OR_POSITIVE,jQEPO8BKYUC,
GBV SV Perp M,SUM,INTEGER_ZERO_OR_POSITIVE,tcD77h66odh,
GBV SV Perp offered F,SUM,INTEGER_ZERO_OR_POSITIVE,vr8oghOFj2c,
GBV SV Perp offered M,SUM,INTEGER_ZERO_OR_POSITIVE,dN1L7RgDVNl,
GBV SV Police Report,SUM,INTEGER_ZERO_OR_POSITIVE,GxeInpHzCjt,
GBV SV Pos,SUM,INTEGER_ZERO_OR_POSITIVE,fkspvCsE53f,
GBV SV PVC,SUM,INTEGER_ZERO_OR_POSITIVE,K7F6tWJUjmr,
GBV SV Tested,SUM,INTEGER_ZERO_OR_POSITIVE,rIkYyTBoH3N,
GBV TA Comment1,SUM,LONG_TEXT,qFwP018vVPp,
GBV TA Comment2,SUM,LONG_TEXT,mm3Sdpkl4W2,
GBV TA Comment3,SUM,LONG_TEXT,sl3GFoXb5L6,
GBV TA User1,SUM,TEXT,olMNmIJ90nP,
GBV TA User2,SUM,TEXT,DcgG98WKejy,
GBV TA User3,SUM,TEXT,QjADdrg9YKq,
GBV Trauma Counseled,SUM,INTEGER_ZERO_OR_POSITIVE,tSFFNSIpCrA,
GBV Trauma Eligible,SUM,INTEGER_ZERO_OR_POSITIVE,LRlB099wLVr,
GEND_GBV Cases reported to police,SUM,INTEGER_ZERO_OR_POSITIVE,jBBbh30kCsQ,
GEND_GBV completed PEP,SUM,INTEGER_ZERO_OR_POSITIVE,pqFO0JNeSvO,
GEND_GBV eligible for PEP,SUM,INTEGER_ZERO_OR_POSITIVE,veLVtS8arS2,
GEND_GBV minimum package,SUM,INTEGER_ZERO_OR_POSITIVE,PtyzXYXqunU,
GEND_GBV offered shelter or safe space,SUM,INTEGER_ZERO_OR_POSITIVE,IAex9ZGpWVh,
GEND_GBV (Physical/Emotional),SUM,INTEGER_ZERO_OR_POSITIVE,B12TKoIOJFP,
