name,aggregationType,valueType,id,code
acs_GlassPower+1,SUM,INTEGER_ZERO_OR_POSITIVE,O86ylqFJDCa,
acs_GlassPower+130-40F,SUM,INTEGER_ZERO_OR_POSITIVE,AskYoEhyLOC,
acs_GlassPower+130-40M,SUM,INTEGER_ZERO_OR_POSITIVE,CVQD301nXuF,
acs_GlassPower+1<30M,SUM,INTEGER_ZERO_OR_POSITIVE,Cbap3Dkdapi,
acs_GlassPower+140-50F,SUM,INTEGER_ZERO_OR_POSITIVE,iVdB37sqmOw,
acs_GlassPower+140-50M,SUM,INTEGER_ZERO_OR_POSITIVE,lcKO9Nzhz13,
acs_GlassPower+1.5,SUM,INTEGER_ZERO_OR_POSITIVE,pmwAH2JY8rg,
acs_GlassPower+150-60F,SUM,INTEGER_ZERO_OR_POSITIVE,dkWogI4jykU,
acs_GlassPower+150-60M,SUM,INTEGER_ZERO_OR_POSITIVE,CHGekNtPOP5,
acs_GlassPower+1.530-40M,SUM,INTEGER_ZERO_OR_POSITIVE,hFrscPoI1Ob,
acs_GlassPower+1.5<30F,SUM,INTEGER_ZERO_OR_POSITIVE,dOG9O3VXcCh,
acs_GlassPower+1.5<30M,SUM,INTEGER_ZERO_OR_POSITIVE,VEvNXPB38Xt,
acs_GlassPower+1.540-50F,SUM,INTEGER_ZERO_OR_POSITIVE,Ud35ln3xDKL,
acs_GlassPower+1.540-50M,SUM,INTEGER_ZERO_OR_POSITIVE,w0I0o7r5cXZ,
acs_GlassPower+1.550-60F,SUM,INTEGER_ZERO_OR_POSITIVE,j5jSVW4ZEJp,
acs_GlassPower+1.550-60M,SUM,INTEGER_ZERO_OR_POSITIVE,SXcNpLNgjbc,
acs_GlassPower+1.5>60F,SUM,INTEGER_ZERO_OR_POSITIVE,fMSHBgrXGGu,
acs_GlassPower+1.5>60M,SUM,INTEGER_ZERO_OR_POSITIVE,AZhXa3PbQhD,
acs_GlassPower+1>60F,SUM,INTEGER_ZERO_OR_POSITIVE,vQSRbQKOrzn,
acs_GlassPower+1>60M,SUM,INTEGER_ZERO_OR_POSITIVE,Tdl1emVCRcH,
acs_GlassPower+2,SUM,INTEGER_ZERO_OR_POSITIVE,cBAq4wbBOHa,
acs_GlassPower+230-40F,SUM,INTEGER_ZERO_OR_POSITIVE,uGbLUjBhqVr,
acs_GlassPower+230-40M,SUM,INTEGER_ZERO_OR_POSITIVE,RXQVv29fTs7,
acs_GlassPower+2<30M,SUM,INTEGER_ZERO_OR_POSITIVE,s4rBUYmfpRP,
acs_GlassPower+240-50F,SUM,INTEGER_ZERO_OR_POSITIVE,bbCHIud4zcs,
acs_GlassPower+240-50M,SUM,INTEGER_ZERO_OR_POSITIVE,CD1pSWQKkod,
acs_GlassPower+2.5,SUM,INTEGER_ZERO_OR_POSITIVE,qVlrtsE07I7,
acs_GlassPower+250-60F,SUM,INTEGER_ZERO_OR_POSITIVE,cKtxjsBRPXA,
acs_GlassPower+250-60M,SUM,INTEGER_ZERO_OR_POSITIVE,VZyuvD1MxSK,
acs_GlassPower+2.530-40M,SUM,INTEGER_ZERO_OR_POSITIVE,GrdyvWJgO4O,
acs_GlassPower+2.5<30F,SUM,INTEGER_ZERO_OR_POSITIVE,IqbwAI5y8Th,
acs_GlassPower+2.5<30M,SUM,INTEGER_ZERO_OR_POSITIVE,sq2Eyz7iUkh,
acs_GlassPower+2.540-50F,SUM,INTEGER_ZERO_OR_POSITIVE,efpaLVNPOg1,
acs_GlassPower+2.540-50M,SUM,INTEGER_ZERO_OR_POSITIVE,GQ1oUR9jiip,
acs_GlassPower+2.550-60F,SUM,INTEGER_ZERO_OR_POSITIVE,EDfWhWXHug4,
acs_GlassPower+2.550-60M,SUM,INTEGER_ZERO_OR_POSITIVE,M9TOphRRVl4,
acs_GlassPower+2.5>60F,SUM,INTEGER_ZERO_OR_POSITIVE,UNiAipm0b9y,
acs_GlassPower+2.5>60M,SUM,INTEGER_ZERO_OR_POSITIVE,FhO6n2AmrZv,
acs_GlassPower+2>60F,SUM,INTEGER_ZERO_OR_POSITIVE,boJAsePsvRI,
acs_GlassPower+2>60M,SUM,INTEGER_ZERO_OR_POSITIVE,z5A5johF2gO,
acs_GlassPower+3,SUM,INTEGER_ZERO_OR_POSITIVE,nnHVWHBhBWJ,
acs_GlassPower>3,SUM,INTEGER_ZERO_OR_POSITIVE,cWpsM9L7iQW,
acs_GlassPower>330-40F,SUM,INTEGER_ZERO_OR_POSITIVE,vKKgmTRJCvs,
acs_GlassPower+330-40M,SUM,INTEGER_ZERO_OR_POSITIVE,k0E9zUInYZz,
acs_GlassPower>330-40M,SUM,INTEGER_ZERO_OR_POSITIVE,F0BUq7awOsG,
acs_GlassPower+3<30F,SUM,INTEGER_ZERO_OR_POSITIVE,fAtCu25FVmO,
acs_GlassPower+3<30M,SUM,INTEGER_ZERO_OR_POSITIVE,alziFzrcmxP,
acs_GlassPower>3<30M,SUM,INTEGER_ZERO_OR_POSITIVE,lslBXx243t8,
acs_GlassPower+340-50F,SUM,INTEGER_ZERO_OR_POSITIVE,BD4ueWzjAdF,
acs_GlassPower>340-50F,SUM,INTEGER_ZERO_OR_POSITIVE,PcrM9i8A6gi,
acs_GlassPower+340-50M,SUM,INTEGER_ZERO_OR_POSITIVE,NRApvb3rQf2,
