dx,pe,ou,value
m0TGh0x0BKG,202512,HfVjCurKxh2,9
m0TGh0x0BKG,202505,HfVjCurKxh2,5
m0TGh0x0BKG,202511,HfVjCurKxh2,9
m0TGh0x0BKG,202510,HfVjCurKxh2,1
m0TGh0x0BKG,202508,HfVjCurKxh2,2
m0TGh0x0BKG,202507,HfVjCurKxh2,4
m0TGh0x0BKG,202506,HfVjCurKxh2,6
m0TGh0x0BKG,202601,HfVjCurKxh2,0
m0TGh0x0BKG,202509,HfVjCurKxh2,3
m0TGh0x0BKG,202602,HfVjCurKxh2,4
m0TGh0x0BKG,202603,HfVjCurKxh2,21
m0TGh0x0BKG,202604,HfVjCurKxh2,6
