id,type,name,displayName,shortName,code,description,search_text
gDq93Lk5SDU,Data Element,GF_Dexamethasone_sellingprice,GF_Dexamethasone_sellingprice,GF_Dexamethasone_sellingprice,,,gf_dexamethasone_sellingprice | gf_dexamethasone_sellingprice | gf_dexamethasone_sellingprice |  | 
MC47bx07lfg,Data Element,GF_Dexamethasone_used,GF_Dexamethasone_used,GF_Dexamethasone_used,,,gf_dexamethasone_used | gf_dexamethasone_used | gf_dexamethasone_used |  | 
lSeGG5STLDx,Data Element,GF_Drapes_amountreordered,GF_Drapes_amountreordered,GF_Drapes_amountreordered,,,gf_drapes_amountreordered | gf_drapes_amountreordered | gf_drapes_amountreordered |  | 
KDPmDzLfuB2,Data Element,GF_Drapes_available,GF_Drapes_available,GF_Drapes_available,,,gf_drapes_available | gf_drapes_available | gf_drapes_available |  | 
cqD3W0VS9xA,Data Element,GF_Drapes_remarks,GF_Drapes_remarks,GF_Drapes_remarks,,,gf_drapes_remarks | gf_drapes_remarks | gf_drapes_remarks |  | 
FQUO4LCFTgM,Data Element,GF_Drapes_reordered,GF_Drapes_reordered,GF_Drapes_reordered,,,gf_drapes_reordered | gf_drapes_reordered | gf_drapes_reordered |  | 
ralmkPqreU3,Data Element,GF_Drapes_sellingprice,GF_Drapes_sellingprice,GF_Drapes_sellingprice,,,gf_drapes_sellingprice | gf_drapes_sellingprice | gf_drapes_sellingprice |  | 
ATuPJMyNRM2,Data Element,GF_Drapes_used,GF_Drapes_used,GF_Drapes_used,,,gf_drapes_used | gf_drapes_used | gf_drapes_used |  | 
Td2qYgRwAw1,Data Element,GF_FCM_amountreordered,GF_FCM_amountreordered,GF_FCM_amountreordered,,,gf_fcm_amountreordered | gf_fcm_amountreordered | gf_fcm_amountreordered |  | 
gMYpQrTHbcU,Data Element,GF_FCM_available,GF_FCM_available,GF_FCM_available,,,gf_fcm_available | gf_fcm_available | gf_fcm_available |  | 
s6IzBzrbc43,Data Element,GF_FCM_remarks,GF_FCM_remarks,GF_FCM_remarks,,,gf_fcm_remarks | gf_fcm_remarks | gf_fcm_remarks |  | 
H24QIE1l7Al,Data Element,GF_FCM_reordered,GF_FCM_reordered,GF_FCM_reordered,,,gf_fcm_reordered | gf_fcm_reordered | gf_fcm_reordered |  | 
uxtSr9SPj1X,Data Element,GF_FCM_sellingprice,GF_FCM_sellingprice,GF_FCM_sellingprice,,,gf_fcm_sellingprice | gf_fcm_sellingprice | gf_fcm_sellingprice |  | 
AO0G8ANdeaf,Data Element,GF_FCM_used,GF_FCM_used,GF_FCM_used,,,gf_fcm_used | gf_fcm_used | gf_fcm_used |  | 
y7OfffqiK3E,Data Element,GF_Gentamycin_amountreordered,GF_Gentamycin_amountreordered,GF_Gentamycin_amountreordered,,,gf_gentamycin_amountreordered | gf_gentamycin_amountreordered | gf_gentamycin_amountreordered |  | 
wNwRqR5hZMd,Data Element,GF_Gentamycin_available,GF_Gentamycin_available,GF_Gentamycin_available,,,gf_gentamycin_available | gf_gentamycin_available | gf_gentamycin_available |  | 
kOjCuYF9ht6,Data Element,GF_Gentamycin_remarks,GF_Gentamycin_remarks,GF_Gentamycin_remarks,,,gf_gentamycin_remarks | gf_gentamycin_remarks | gf_gentamycin_remarks |  | 
