name,id,level
Acef Ena Health Centre,VsK11IQUWdd,5
Acela Community Clinic,sf0vzy49LFo,5
Ace Northern Hospital LTD,aVq6Jelz6BF,5
Achego Community Health Unit,EiylrSqE0bO,5
Achuth,Vv15qvksvuJ,5
Aciit Community Unit,u9IQ4Y8CN0P,5
A.C.K Butonge Dispensary,lNOoLAelIzT,5
ACK Community Unit,iHq6eVU8OuG,5
ACK Dispensary (Isiolo),Fg18SYNETmu,5
ACK Dr Pike Roper Medical Center,ToVF7LrMcib,5
ACK Emmanuel Mission Hospital,dbsaPexO6qS,5
ACK Gaitheri,v3RYKbfzs1P,5
ACK Ikulu Faith Dispensary,oyGocWMgmif,5
ACK Kanunga Dispensary,HAXZM3YNUmN,5
ACK Kibirigwi Dispensary,ptHBptADZbj,5
Ack Leah Njoki,xCScK4a0Zr3,5
ACK Leah Njoki Dispensary,mVJd9uP587g,5
ACK MT Kenya Hospital (Mwea),r9Nw0PyLOZD,5
ACK Mwingi CHBC Clinic,wQgvycHkA4P,5
ACK Nguni Annex Clinic,eAI2HbFDx2b,5
ACK Nturumeti Dispensary,whQyfhyCoEB,5
ACK Otaro Community Dispensary,vbTXwTtyO3p,5
Acode Medical Clinic Maungu,RNp406vYYZV,5
Action Ministry Clinic,wMWJQWX9XGJ,5
ADADI DISPENSARY,K25bVmp9Uw1,5
Adadijolle Dispensary,M4hBq6jXYVg,5
Adanya,BD4J2ddmmlc,5
Adc Danisa Dispensary,rdvu0VThvPb,5
Adel Medical Clinic-,bsMAZG875TR,5
Adel Medical Clinic-,H6ZB7kS5kBu,5
Adel Medical Clinic-,IKFPzs88xzi,5
Adel Medical Clinic-,KuXhKaPkpJn,5
Adel Medical Clinic-,LvlU4n2bOKU,5
Adel Medical Clinic-,Ty3DipY6YXp,5
Ademasajida Community Health Unit,Ga3uNA1fTyW,5
Ademasajida Dispensary,Ya8HkTriZCR,5
Ademasajide Ward,BMKDCdHbiHL,4
Adenawale Dispensary,L4HDKkzUSd6,5
Adenville Medical Care Centre,xGcOUjxW1hu,5
Aderema Community Unit,EVn23J79iSV,5
Adiedo Dispensary,E0sp9SbtPJo,5
Administration Police Dispensary (Kisumu),cQB8Va1pD81,5
Administration Police Senior Staff College Dispensary,byIrGBL0UNN,5
ADOMA MEDICAL CLINIC,JKK7RZgn2p0,5
Adonai Medical Clinic,Qet1FBwDQ35,5
Adonai Medical Services,jU8suPCXwEX,5
Adopta Life Foundation (Ruai),mWrd789kQhB,5
Adora children's clinic,HFS6q5EReER,5
ADORA CHILDREN'S CLINIC,gCuHFPIOxPr,5
ADRA Health Centre,xL422upkpQ4,5
ADRA Health Centre,yZdSRD27yXx,5
Adu Dispensary,pkKPZUYXl5l,5
adumai,fiosYBPh27p,5
adumai,QtJVRgQJeTE,5
adumai cu,PkbnczRQ4lN,5
Adungosi Community Unit,XSkA5SvBjpK,5
Adungosi Medical Clinic,ctMzO1E2IjD,5
Adurkoit Community Health Unit,yty6lTJeXIM,5
Adurkoit Dispensary,QBjRycsLzPv,5
Adu Ward,EO3kbx8nZIp,4
Advanced Cancer Centre,H3HtX9s0fVp,5
Adventist Centre for Care and Support,ZjnMNXqHnuD,5
Advent Med & Dentist Care Centre,CcXV7mdobsl,5
Advent Medicare and Maternity Center,Qpb8mWEy2bR,5
Aedemoru Community Health Unit,NMFoUkR385n,5
Aego Sagenya Dispensary,wlikHIimMVD,5
Afarshanle Dispensary,C5g52uSCdWk,5
Aflah Medical Centre,bQHH5VWLP7g,5
Afraha Maternity and Nursing Home,fUh3CKfP6Ee,5
Africa Inland Church Dispensary,ynVXQPsTDrH,5
Africa Inuka Hospital,Dp01W92uqkK,5
Africa Muslim Agency Dispensary,uzF1fKDwkXt,5
Africa Muslim Agency Dispensary (Kilifi),HlxvljEmO82,5
Africana Mall Healthcare Limited,tBJQVpuOtTx,5
African Divine Church VCT,rHLBktmIJak,5
Africare Kisumu MEDANTA,hgTExQwFnta,5
Africare Limited - (Nakuru),GqFevfLN6Lh,5
Africare Ltd Forts building,jq3U47R8OEe,5
Africare Ltd Karen Clinic,k62qAqfRoTF,5
Africare Ltd Medica (TRM),WT5NhyAKVxE,5
Africare Ltd NHIF clinic,FTVmVryLXiE,5
Africare Ltd (South C),O8a2gcfMcNl,5
AFRILIFE HEALTH MEDICAL CLINIC,Jn0FdlezxZm,5
Afwein Community Unit,nehXiee0Xet,5
Afwein Dispensary,hN8SUzKWR7g,5
Afya B Clinic (Kibirigwi),UFcAlw0DpFu,5
Afya Bora clinic,q30Yo5l21vq,5
Afya Bora Clinic,PiaLSCX4gA5,5
Afya Bora Clinic(Busia),WnOchhgZjcA,5
Afya Bora Clinic Karia,V3JHhreLqeF,5
Afya Bora Clinic (Meru South),yLUrPn8o7pL,5
Afya Bora Clinic (Mutomo),BNcX5e9pXoY,5
Afya Bora Clinic (Mwea),lg1rCIPbHfu,5
Afya Bora community unit,E6HnXTTwiaf,5
AFYA BORA HEALTHCARE,truY1vC423k,5
Afya Bora Health Clinic,dJtM42JSMP9,5
Afya Bora Medical Clinic,gieNHNbwcd5,5
Afya Bora Medical Clinic,NxuIax9WmUa,5
Afya Bora Medical Clinic,VeiYOuCdSDC,5
Afya Bora Medical Clinic (Cfw Clinic Gichugu),iTH2FlVyfE7,5
Afya Bora Medical Clinic (Kilindini),rVtI7pd7E0o,5
Afya Bora Medical Clinic (Magarini),dzKV0uqrNvA,5
Afya Bora Medical Clinic (Mirangine),nkULxjvBpSM,5
Afya Bora Medical Clinic (Muchagara),BdLHs7735de,5
Afya Bora Medical Clinic (Nyeri South),Os6yrC9h94h,5
Afya Bora Medical Clinic (Turkana Central),JaM1GSe7mpQ,5
Afya bora Melawa,SdjD9otVtkb,5
Afya Bora Wasonyiro Medical Clinic,fBfuaQY8oFk,5
Afyacare health services,MFuOjAhnQMO,5
Afya Diabetic Support Centre,TPbMBvNHyBG,5
Afyafirst Medical Center,yDFS3YfMeZD,5
Afya Frank Medical Clinic,nTQaQUexWWX,5
Afya Health Care,wdClQzCFIJ4,5
Afya Health Essentials (Kangari),hWEJ0N3924Y,5
Afya Health Services,D5R3RuMi3T5,5
Afya Health System Hospital,zIH5D1lZ7bw,5
Afya House Dispensary,xneQLS3T8fN,5
Afya International Hospital,qsxmVDGFRfZ,5
Afya Juja Clinic,bogmNggWmg7,5
Afya Kabel Medical Clinic,ES1vXopOipl,5
Afya Kamili Medical centre,XhydRsbPFAy,5
Afyalife Family,Z1B41Jyspno,5
Afya Link Medical Centre,qG23wKJUT5W,5
Afya Lite Medical Clinic,ADDfnT62O7v,5
Afya Mashinani Medical Centre (Gachami),jx5moTSERAX,5
Afyamax Medical Clinic,bmeJqZjeQKG,5
Afya Medical Centre,KmvuNdxHwsv,5
Afya Medical Clinic,muW6pzv7O3B,5
Afya Medical Clinic,vNS3tcXpX3a,5
Afya Medical Clinic,yhBIZvfnvT6,5
Afya Medical Clinic and Nursing Home (Wajir East),ODRJUwfTLvk,5
Afya Medical Clinic(Dagoretti Market),Ib00PIj5bW2,5
Afya Medical Clinic (Garissa),NT6wwqpf4Li,5
Afya Medical Clinic (Kangundo),KdIuTfNb8d4,5
Afya Medical Clinic (Kibingoti),aVPrkIutAPp,5
Afya Medical Clinic (Kirinyaga),qtG0bLpXIP9,5
Afya Medical Clinic (Mbaruk),ECSEcllpsC4,5
Afya Medical Clinic (Munyaka),sncIvEveeK3,5
Afya Medical Clinic (Muranga North),u6z6dxsLixP,5
Afya Medical Clinic (Nakuru),CDoPxHD1mMF,5
Afya Medical Clinic (Nyeri North),DFB8hTBFhSc,5
Afya Medical Ngambo Clinic,rEG7aYLeSGS,5
Afya Medical Services,vSclqzoUNy8,5
Afya Medicare Clinic,hiLPFIBtdcP,5
Afya Nafuu Clinic,tlgebtfcuv9,5
Afya Njema Clinic,QtQRfq2Vjsz,5
Afya Njema Medical Clinic,Oe4OFL3ogp1,5
Afya Njema Medical Clinic (Nyeri North),zXGLJzYiaPN,5
Afya Nursing Home (Moyale),wb3Yxik3zTg,5
Afya Point Medicare Ltd,xfYf1DKOP75,5
Afya Point Medicare Ltd Annex,pZRr7UTYBCJ,5
Afya Royal Clinic,yN9xTaXYsay,5
Afyastar Medical Clinic,zyB0ZAySK90,5
Afyatele Center,YtNck7qPEsv,5
Agah Khan Clinic (Ngong),cBacbKf72Jo,5
Aga Khan Bomet,uSAU7lcue1c,5
Aga Khan Clinic (Eastleigh),kMgbp7ZqwoR,5
Agakhan Clinic (Kisii),FF239lMkAXV,5
Aga Khan Clinic Kitengela,JSyhb8IX7ei,5
Aga Khan Health Service Bungoma Centre,qqYLTXmBcnp,5
Aga Khan Health Service (Narok),nEPry7q0ix2,5
Agakhan Health services - Kuze Medical Center,RD7OEFsBOdd,5
Agakhan Hosp,hGpgRnJoI2M,5
Aga Khan Hospital,czNciMCk3z5,5
Aga khan Hospital-Bamburi,JK63uCrwoep,5
Aga khan Hospital Kilifi,OsLNNNF3nXK,5
Aga Khan Hospital (Kisumu),hmIgXXyNHOj,5
Aga Khan Hospital Medical Clinic (Juja),r28OUMDBzqU,5
Aga Khan Hospital Medical Clinic (Ongata Rongai),ekzOGVh8Bb8,5
Aga Khan Hospital (Mombasa),ckvRzmsUore,5
Aga khan Hospital-Nyali,sUnDAhfIirb,5
Aga Khan Hospital(T-mall),NR2UKngQud9,5
Agakhan Medical Centre,gvDSAEtIvQg,5
Agakhan Medical Centre (Busia),yhxPoUsPeY9,5
Aga Khan Medical Centre (Greenspan),B0U9qBH7vGD,5
Aga Khan Medical Centre (Kapsabet),MxmEzCv2w4J,5
Aga Khan Medical Centre Kericho,U8sl0OVOZty,5
Agakhan Medical Centre Nakuru,QmIROAIrJ78,5
Aga Khan Medical Centre (Thika),rkHkixwhaAC,5
Agakhan Medical Clinic,dgf81cuygoa,5
Aga Khan Medical Clinic (Kitale),VV9qw7vQAB5,5
agakhan medical clinic laikipia east,pchvbGQcRc0,5
Aga Khan Medical Clinic Ruaka,wHuKqxwdIQs,4
Aga Khan Roysambu Medical and Dialysis Centre,dFLORH3AnX3,5
Agakhan University Clinic (Embakasi),oqvgqMBwdvU,5
Aga Khan University Hospital (Buruburu),Vpj6plA6iQa,5
Aga Khan University Hospital (Capital Centre),oT4EbqEJIS9,5
Aga Khan University Hospital Clinic (Akai Plaza),BUlu6BU69MY,5
Aga Khan University Hospital Clinic (Naivasha),LYPPXdMyF76,5
Aga Khan University Hospital (Embu),t1HmYaEq0f9,5
Aga Khan University Hospital Kiambu Clinic,VM94DU3XJJJ,5
Aga Khan University Hospital(Machakos),r1LSMmsy0pW,5
Aga Khan University Hospital(Njiru),CFp0FbzUd9l,5
Agakhan University Hospital Valley Arcade Clinic,neIPPsFEhUg,5
Aga Khan University Hosp Mother & Child Clinic,YKS2COepM3L,5
Aga Khan University Medical Centre ( Kikuyu),G32BaOjAwL4,5
Agano Medical Clinic,o7WkDSeSvVU,5
Agano Medical Clinic,zwyNABkDNiI,5
Agape Medical Clinic (Otimong),RMmKsmkaDkM,5
Agawo Dispensary,qIuHbZDmYPX,5
AGC Baby Health Centre,npHvq88yTmV,5
AGC Ngoron dispensary,ssVO2bxvHtv,5
Ageng`A Community Health Unit,qrQfHKehjGt,5
Agenga Community Unit,Uhc4nmyoTNF,5
Agenga Dispensary,orKDpItM56v,5
Ageng'a Dispensary (Samia),A1BCmizFgwx,5
Ageng'a Nanguba Ward,soQ5zdUZi2H,4
Ager community dispensary,OLpW0qgl5iU,5
Agha Khan Health Services (Mtwapa),YdlcyO7IuZC,5
Agha Khan University Hospital Malindi,QDsQh3VprMV,5
Agma Clinic,OPpCGyY0Aij,5
Agoloto Community Unit,Rlx8TlJWRcB,5
Agoro East Community Health Unit,aRa92Ec3pyc,5
Agriflora (K) LTD Clinic,sXJuOuUbRjM,5
Agro Chemical Dispensary (Muhoroni),F0qhs0a31FJ,5
Aguthi Dispensary,mXzuqduA6ed,5
Aguthi-gaaki Ward,JIQYJYd5CzO,4
Ahadi Health and Maternity Services,M7R0OJOMSOA,5
Ahadi Maternity Medical Centre,ZGbQk48uSlp,5
Ahadi Medical Clinic,lftjRJLPHQc,5
Ahava Medical Centre,vTUGrWlhqr2,5
Ahero B Community Unit,XYgIAHLWrg0,5
Ahero Community Health Unit,uBhtXKSK7yN,5
Ahero County Hospital,iPKeTl8lSAZ,5
Ahero Medical Centre,TYKsuf1A6HB,5
Ahero Medical Clinic,Q5JWb8bSKgK,5
Ahero Ward,F1etBBfosCl,4
AHF EMALI Clinic,JUMUs3lY9m0,5
Ahf Soko Clinic,hXpktmsRiTZ,5
Ahmadiya Hospital,Hz0YZaxawTo,5
AIC Biribiriet Dispensary,z5apOSpEyGI,5
AIC Dispensary (Isiolo),W5tfdo7JoJL,5
AIC Ebenezer,Js2jIKhWf6P,5
AIC Kalamba Community Health Unit,riqlIhHUyL6,5
AIC Kalamba Dispensary,SkQZUBdlpnz,5
AIC Kijabe Hospital Nairobi Medical Centre,T2xcSqRm2Vu,5
AIC Kiu Community Health Unit,MinJkpDaFzs,5
AIC Lalang Amalo Health Centre,AECt2c42O7P,5
AIC Litein Hospital- Kericho Annex Clinic,htFOWkUptpZ,5
AIC Litein Mission Hospital,AawtXdUefwb,5
AIC Litein VCT,V79ezGSMpKN,5
AIC Mukaa Community Health Unit,vsFMznWU668,5
AIC Mukaa Dispensary,zE0WqGd3i1R,5
AIC MUNUNGA DISPENSARY,ZL2Sbfnbu6r,5
AIC Parkview Dispensary,totDhKGxji1,5
AIC Zion Medical clinic,BpS9tG9DBVF,5
AIDS Health Care Foundation Parklands Clinic,Pt3AOtGccoJ,5
Aimo Dispensary,XCngdtEEkGl,5
AIMO DISPENSARY,AFzo8Xxdy5h,5
Aimon Medical Clinic,ggBr0DsxxqP,5
Ainabkoi/Olare Ward,keTxMrb6Oag,4
Ainabkoi (RCEA) Health Centre,yvHLTdpzuNc,5
Ainabkoi Sub County,mYlMs4xTj82,3
Aina Dispensary,QMzWtI2lOvC,5
Ainamoi Dispensary,VbWm2SKV45x,5
Ainamoi Health Centre,Q4h7yLoLe0G,5
Ainamoi Market Dispensary,zM1oM2xIaZu,5
Ainamoi Sub County,GshNTMZJ5r1,3
Ainamoi Universal Care Clinic,YrTDPTawT5Y,5
Ainamoi Ward,ZJyTpeyEcK5,4
AIPCA Mahinga Dispensary,JtHT6SWclBR,5
Airbase Community Health Unit,DplpxGvcOC7,5
Airbase Ward,t4Suo8Enc7T,4
Airborne No Twist Huduma Bora Clinic,E8hN4uYkWR8,5
Airborne No Twist Huduma Bora Clinic (Delete),ozy6iBXQruo,5
Airport Community Health Unit,MtIoRjOrTFm,5
Airport Health Centre (Kisumu),oEWhqoUHkvt,5
Airport Kogony Community Health Unit,eJJfum7uaTR,5
Air Port Medical Centre,cjRk88NSyY9,5
Airport View Clinic,h8lfMvZtvi5,5
Airport View Medical Clinic,B761KBCismf,5
Airport Ward,bmyrNLOPAAW,4
Airtech Medical Clinic,pPKjMknrPy3,5
Airtech Medical Clinic O/Rongai,Pad4GTI7VcX,5
Aitong Community Unit,VNH0u9UFaTM,5
Aiyebo Dispensary,C0eGXaSEHiP,5
Ajam Mission Health Centre,KuftRocWEh1,5
Ajawa Health Centre,fwUKH0ErhkU,5
AJ clinic,c2rYew5ectH,5
Ajigo Community Health Unit,XUiysfiFuNO,5
akachachat,bMMXPrx0mol,5
Akachiu Health Centre,PBqYe1aI7YB,5
Akachiu Ward,mSPC54QXXiP,4
Akado Dispensary,NV1lsQQAz4x,5
Akaiga Dispensary,BlftyeghYRI,5
Akala Health Centre,ngzYEraCr33,5
Akatuman Dispensary,cy4MV1p46rR,5
Akemo Medical Clinic,jLCDKWdsW28,5
Akemo Nursing Home,WLP80sZXutW,5
Akiayi Boresha Community Health Unit,P7jGoKiqf5d,5
Akicha Medical Services,IVsuBIrIGgI,5
Akichelesit Dispensary,les3bNZfpjr,5
Akidiva Clinic,TUd10knDDSH,5
Akidiva Kehancha Outpatient Clinic,uDo1EMAOZAG,5
Akirang'ondu Ward,CsVYL5oWdjy,4
Akiriamas Community Unit,CFwFN4g6DIy,5
AKIRIAMAS DISPENSARY,o0kufCEQW29,5
Akiriamasi Dispensary,GLeVzenn2ab,5
Akiriamit Community Health Unit,zr20QcEHAqk,5
Akites Community Unit,kPFHrFN5dHr,5
Akithii Ward,bYsajNCrCgY,4
akobwait,HX5C8d3Uxgi,5
Akobwait Community Dispensary,sukHAdsaboL,5
Akobwait Community Unit,SxyUlVODJIp,5
Akolong Community Health Unit,B2oi1Y2Okpb,5
Akolong Dispensary,asspSN9u7oh,5
Akom Community Health Unit,VYJ21CcmhB1,5
Akoreet Community Health Unit,XQXqLhraM5G,5
Akorian Dispensary,zEoEobhgPXc,5
Akshar Nursing Home,q3IEhLuhsMQ,5
Akukuranut Drop Off Point,hqBbYvWOael,5
Akurani Health Community Unit,zihKSuTMYwk,5
Akwichatis Health Centre,npMa6l8gFOy,5
Al-Agsa Medical Clinic,PcZ88G2SJnt,5
AL AHLI Nursing Home,FJjQJBxosj8,5
Alale (AIC) Health Centre,SkWeQkXKTzL,5
Alale Community Unit,xmY2bgTngxD,5
Alale Health Centre,lhyRFPWc313,5
Alale Ward,Oe8JEzBVDa9,4
Al-Amannah Hospital,kI0mu6ddxSm,5
Al-Amin Medical Clinic,rnXJsJBMBIv,5
Al Amin Nursing Home,cgtpPBvYqYq,5
Al-anasar Medical Clinic,LSQhluaYVvm,5
Al-Ansar Medical Clinic,RXx3FcgDwZ0,5
Al-Aqsa Medical Clinic,n5d9Sao4gcf,5
Alara Community Health Unit,tytq6CEQ2JN,5
Al-Arbrar Medical Clinic,mwzugjT5tfS,5
Alaro Community Dispensary,Gog3n7bmfjm,5
Al Azhar Medical Clinic,Zq1MHFI8jJ2,5
Albertol Medicare,g7B3HjeLvQL,5
Al Bilal Nursing Home,lriDX8NjRjR,5
Al-Bir Medical Centre,xrYkqC00U9t,5
Al-Bir Medical Centre (Kilindini),gZmQg2NHpee,5
AL- BUKHARI MATERNITY AND NURSING HOME,q6lOmUaecOp,5
Aldai Sub County,Sq2fLWnOCGg,3
Aldina Community Unit,egPWi2cXJU3,5
Aldina Medical Center,ZmF9YIfwAh2,5
Alego Central Community Unit,OTrz2yGsWNJ,5
Alego East Community Unit,eio6l7KBTCI,5
Alego Usonga Sub County,Cu46otDi1RO,3
Alendo Community Unit,p8cKX2Wp6OX,5
Alen Medical Clinic,Ul1WVVhfQ3k,5
Alestacare Medical Centre,hZi49JAK9Ub,5
Alexandra Cancer Centre and Palliative Hospital,rHsmOUSMngm,5
Alexandria Cancer Centre & Palliative Care Hospital,UgsWPRHUXKJ,5
Alexandria General Hospital,uIfdT4Xhr8U,5
Alex's Medical Clinic,dmkxww72tUq,5
Alfa Clinic,JZ3YSqeDgq5,5
Alfalah Nursing Home,RJ5tHCMdNDY,5
AlfaPlus Medical Center,pY8Md4yCa6J,5
Al Farooq Hospital,aiD3lzUJBTy,5
Alfaroox Medical Center,gE57bRtyOvh,5
Alfaruq Community Unit,eqONozObpYv,5
Al-Faruq Dispensary,nYs862A5uon,5
Alfatah Medical Clinic,EmjqaqUBrOl,5
ALFOMBIU MEDICAL CLINIC,Lmw7ijQcfaK,5
Al Fridaus Medical Clinic,d2TqMWtDu8b,5
Alfrose Medical Clinic,NDeevD19j4s,5
Al-Furaqan Clinic,f4kUKm6boGh,5
Al-Gadhir Clinic,gp8mHxRey0r,5
Algadir Medical Centre,jaCs4CR5ZDN,5
Al Habib Nursing Home,bgRyIte6lwP,5
Al-hafidh Medical Centre,c9EKWD10wIW,5
Al-hafidh Medical Centre,DJfW5Abx3Pr,5
Alhamdu Medical Clinic,OTn2K6CKPr7,5
Al-Haqq Medical Clinic,KHiYEiiOULw,5
Alhidaya Medical Clinic,nNgORKzwMR3,5
Al-Hilal Clinic,gTcbEUxmHuM,5
Al Ibraheem Therapeutic Limited,DTOJOLW8u0M,5
