hospital_id,hospital_name,level,path,observations,source_files
C1LIWUfN9s6,AAR Thika Road Clinic,5,/HfVjCurKxh2/jkG3zaihdSs/j7GpbairCOi/RRAEO9Ltfec/C1LIWUfN9s6,0,
WLKpy6C4uw1,AAR mountain mall,5,/HfVjCurKxh2/jkG3zaihdSs/j7GpbairCOi/RRAEO9Ltfec/WLKpy6C4uw1,0,
dkoYBq4YeMS,ABC Thange Dispensary,5,/HfVjCurKxh2/BoDytkJQ4Qi/ZhhyithPNoI/zU0IodQbzMz/dkoYBq4YeMS,0,
KJXjIuL8p07,ABOSI COMMUNITY UNIT,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/KJXjIuL8p07,0,
mM0Shmy1YVB,ACC&S Chomo Community Dispensary,5,/HfVjCurKxh2/ahwTMNAJvrL/Z7ALMtFNfeZ/yg2YesgFsrG/mM0Shmy1YVB,0,
wgnoZpalFpU,ACC&S Kigumo Dispensary,5,/HfVjCurKxh2/ahwTMNAJvrL/tyfDsdZ1h3R/H8uphttPusS/wgnoZpalFpU,0,
iHq6eVU8OuG,ACK Community Unit,5,/HfVjCurKxh2/OEJWxDh6KOU/zVsqExYCw1L/xRxI9FuORI2/iHq6eVU8OuG,0,
Fg18SYNETmu,ACK Dispensary (Isiolo),5,/HfVjCurKxh2/bzOfj0iwfDH/I2LYLqKU6AW/PwpI3UVqNMb/Fg18SYNETmu,0,
ToVF7LrMcib,ACK Dr Pike Roper Medical Center,5,/HfVjCurKxh2/KGHhQ5GLd4k/CUjthlounWV/gsSTglpX3Wd/ToVF7LrMcib,0,
dbsaPexO6qS,ACK Emmanuel Mission Hospital,5,/HfVjCurKxh2/qKzosKQPl6G/jOVcLeZQSsS/cbYznphRVBi/dbsaPexO6qS,0,
v3RYKbfzs1P,ACK Gaitheri,5,/HfVjCurKxh2/ahwTMNAJvrL/VDlzh6w4LKv/K8rhUYNmJhw/v3RYKbfzs1P,0,
oyGocWMgmif,ACK Ikulu Faith Dispensary,5,/HfVjCurKxh2/yhCUgGcCcOo/vMPhBuymSKt/GCpjuDfIVDu/oyGocWMgmif,0,
HAXZM3YNUmN,ACK Kanunga Dispensary,5,/HfVjCurKxh2/qKzosKQPl6G/SBz4c48i24Y/B7Ek2TSSkr9/HAXZM3YNUmN,0,
ptHBptADZbj,ACK Kibirigwi Dispensary,5,/HfVjCurKxh2/Ulj33KBau7V/A34NiI4rgnf/BSHD4ORT4xu/ptHBptADZbj,0,
mVJd9uP587g,ACK Leah Njoki Dispensary,5,/HfVjCurKxh2/ahwTMNAJvrL/l46g2PZUjoh/H7KVdIvj4Sp/mVJd9uP587g,0,
r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea),5,/HfVjCurKxh2/Ulj33KBau7V/jHmpQUlnkQk/qrCcjRw4mdw/r9Nw0PyLOZD,0,
wQgvycHkA4P,ACK Mwingi CHBC Clinic,5,/HfVjCurKxh2/j8o6iO4Njsi/uE7HKhqPOtf/vvsB9Kldjzy/wQgvycHkA4P,0,
