UID,Name,Short Name,Level,Parent,Groups
hiLD4yCxIAC,Katakani Dispensary,Katakani Dispensary,5,Kyuso Ward,ACS Project; CHAK MHU; CHAP Stawisha
hxW3BziXi9a,Christian Community Services Dispensary (Maua),CCS (ACK) Dispensary,5,Maua Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
iE17KE2PvJf,Pesi Dispensary,Pesi Dispensary,5,Shamata Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
iLfGXM4vg6l,Muthambi Health Centre,Muthambi Health Centre,5,Muthambi Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
iOtmyIoDd6i,Nganduri Dispensary,Nganduri Dispensary,5,Mbeti South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
iQqQPaktVMP,Dolphil Nursing & Maternity Home,Dolphil Nursing & Maternity Home,5,East Gem Ward,ACS Project; Gates Foundation - RMNCH
iSzLcFdtWbX,Oljororok Catholic Dispensary,Oljororok Catholic Disp,5,Weru Ward,In JTP IPSL; Jamii Tekelezi
ih5hkcBBCDG,Nthambiro Dispensary,Nthambiro Health Centre,5,Igembe East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ijkWLvIGDoy,Kiamuchairu Health Centre,Kiamuchairu Health Center,5,Chogoria Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ixOiUM1rnYq,Kanja Health Centre,Kanja Health Centre,5,Kagaari North Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
jLbIZHuRAYh,Weru Health Centre (Nyandarua South),Weru Health Centre,5,Engineer Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
jSOWQUkhPVF,Kathangacini Dispensary,Kathangacini Dispensary,5,Gatunga Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
jjB3t9QR37q,Gesusu (SDA) Dispensary,Gesusu (SDA) Dispensary,5,Gesusu Ward,Gates Foundation - RMNCH
jobx0qAOpoC,Mikinduri Sub-District Hospial,Mikinduri Sub-District Ho,5,Mikinduri Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
jtiEDT1LMuP,Kiamuringa Dispensary,Kiamuringa Dispensary,5,Mbeti South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
k9FKlV68YYJ,St Joseph (ACK) Kanyariri Dispensary,St Joseph (ACK) Kanyariri,5,Gitaru Ward,Gitlab Project
kKYdOJ0uRod,New Mawingu Health Centre,New Mawingo Dispensary,5,Karau Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
kTcvbvWVT7c,Kathithi Dispensary,Kathithi Dispensary,5,Nyaki West Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
kfyFrKOKqnz,Huhoini Dispensary,Huhoini Dispensary,5,Gathanji Ward,In JTP IPSL; Jamii Tekelezi
kgwPDqMydjo,Ishiara Sub-District Hospital,Ishiara Sub-District Hosp,5,Evurore Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
kwyBjVtokh1,Makueni Catholic Dispensary,Makueni Catholic Disp,5,Wote Ward,CHAP Stawisha
l8miWevqFuS,Matare SDA Dispensary,Matare SDA Dispensary,5,Ntimaru West Ward,ACS Project; Bread for the World Project; Gates Foundation - RMNCH
lIp9zbMt3dv,Kiburine Dispensary,Kiburine Dispensary,5,Nyaki East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
lKpXR0GzrAD,Chepareria (SDA) Dispensary,Chepareria SDA Dispensary,5,Chepareria Ward,Bread for the World Project
ldTs7l4tu6V,Subuku Dispensary (Nyandarua North),Subuku Health Centre,5,Central Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
lmRB0IvtF1n,Oasis Medical Center,Oasis Medical Center,5,Shimo La Tewa Ward,ACS Project; Bread for the World Project
lna5hD9un4O,Mwea Mission (Our Lady of Lourdes) Hospital,Mwea Mission (Our Lady of Lourdes) Hospital,5,Thiba Ward,CHAP Stawisha
lqUH9qJYc2r,Wanjohi Health Centre,Wanjohi Health Centre,5,Wanjohi Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
lwUfSBkSOE0,Chiakariga Health Centre,Chiakariga H/C,5,Chiakagira Ward,Is C&T site; Is PMTCT site
m6ITwjXu5J5,Naivasha (AIC) Medical Centre,Naivasha (AIC)Medical Centre,5,Hellsgate Ward,CHAP Stawisha; Gitlab Project
m7Apm4vbqtE,Tuuru Catholic Health Centre,Tuuru Catholic HC,5,Akirang'ondu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
mUTjOetE3rb,Mufu Dispensary,Mufu Dispensary,5,Kyeni North Ward,In JTP IPSL; Jamii Tekelezi
mUu3mPfuVz2,Mfangano Central Adventies Mission,Mfangano Central Adventies Mission,5,Mfangano Island Ward,Gates Foundation - RMNCH
mZq9BpNMPFG,Nembure Health Centre,Nembure Health Centre,5,Gaturi South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
mumySpVMRiC,Tumaini Medical Clinic (Marsabit),Tumaini Medical Clinic (Marsabit),5,Marsabit Central Ward,Bread for the World Project
n33t3QkAiUY,Jumuia Hospital (Huruma),Huruma (NCCK) Dispensary,5,Kiamaiko Ward,ACS Project; Gates Foundation - RMNCH; Gitlab Project
n4rUR8alV2I,Olkoroi Dispensary,Olkoroi Dispensary,5,Naikarra Ward,CHAP Stawisha
n69slLZD3v3,Geltrude Health Centre,Getrude Dispensary,5,Mbeti North Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
n7ytFkIygmW,Kathigu Health Centre,Kathigu Health Centre,5,Igoji East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
nGyonUvdpOm,St Theresa Hospital (Kiirua),kiirua mission,5,Kiirua/Naari Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
nJ74OdDWIhS,Kithegi Dispensary,Kithegi Dispensary,5,Kithimu Ward,In JTP IPSL; Jamii Tekelezi
nXaMv9GOjWk,St Elizabeth Health Centre,St Elizabeth Health Centr,5,Maji Moto/Naroosura Ward,CHAP Stawisha
ncUbBz02BRI,Mweru Dispensary,Mweru Disp,5,Igoji East Ward,In JTP IPSL; Jamii Tekelezi
ntFlGCG7dUY,Wesley Health Centre,Wesley Health Centre,5,Lanet/Umoja Ward,ACS Project; Gates Foundation - RMNCH
o5gKwnxxShA,Cascade of Hope Health Care,Cascade of Hope Health Care,5,Ruai Ward,Gates Foundation - RMNCH; Gitlab Project
oAXtRPjvnSF,Impact Health Care Annex,Impact Health Care Annex,5,Kabazi Ward,Gates Foundation - RMNCH; Gitlab Project
oaUZAfsPmoJ,Karurumo Rhtc,Karurumo RHTC,5,Kyeni South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
oau2wlYZlO3,Githumu Hospital,Githumu Hospital,5,Ruchu Ward,ACS Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
oc5gvs8WhFF,St Lukes Cottage Hospital,St Lukes Cottage Hospital,5,Kiagu Ward,In JTP IPSL; Jamii Tekelezi
oii4V7vuPXN,Kamwathu Dispensary,Kamwathu Dispensary,5,Gatunga Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
ojdsW3HFt5P,St Joseph Kavisuni Health Centre,St Joseph Kavisuni Health Centre,5,Kisasi Ward,CHAP Stawisha
olWgUsoEXF9,Mitunguu CCS Dispensary,Mitunguu CCS Clinic,5,Mitunguu Ward,In JTP IPSL; Jamii Tekelezi
pITV7RGeKeJ,Ccs Kiritiri Clinic,CCS Kiritiri Clinic,5,Mavuria Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
pKwQQQX1kLw,Kanziku Health Centre,Kanziku Health Centre,5,Kanziku Ward,CHAP Stawisha
pM6L7uFojJG,Imara Health Centre,Imara Health Centre,5,Imara Daima Ward,Gates Foundation - RMNCH; Gitlab Project
pP9chFqKMHb,Miathene District Hospital,Miathene District Hospita,5,Kianjai Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
pVsn7nkMvBE,Engos Health Centre Africa Mission Services,Engos Health Centre Africa Mission Services,5,Lolgorian Ward,Bread for the World Project; Gates Foundation - RMNCH
pZP7AaTtwYq,Churo Health Centre,Churo Health Centre,5,Churo/Amaya Ward,CHAK MHU
pjoG55x2KMq,Kikoko Mission Hospital,Kikoko Mission Hospital,5,Kilungu Ward,CHAP Stawisha
pnELrefcHxQ,Maua Methodist Hospital,Maua Methodist Hospital,5,Maua Ward,ACS Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
pnLsN07Qaut,Ogande Dispensary,Ogande Dispensary,5,Homa Bay East Ward,ACS Project
pti6tGt9YYZ,Giaki Sub-District Hospital,Giaki Sub-District Hospit,5,Nyaki East Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
pvtkOPp8UE4,Karau Health Centre,Karau Health Centre,5,Nginda Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
pyVe7DfRPnj,Langas RCEA Health Center,Langas Rcea Health Center,5,Langas Ward,Gates Foundation - RMNCH
q0HFYe46rHe,Nyambare Health Centre,Nyambare Health Centre,5,Usonga Ward,ACS Project; Gates Foundation - RMNCH
q6NwSRm7CoV,Kahembe Health Centre,Kahembe Health Centre,5,Kiritta Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
q9xXncCEGRK,Sacred Heart Dispensary,Sacred Heart Dispensary,5,Muchatha Ward,CHAP Stawisha
qDGxffdJQuj,Lopur (AIC) Dispensary (Turkana West),Lopur (AIC) Dispensary (Turkana West),5,Lopur Ward,Bread for the World Project
qEFntaDExdm,Church Army Medical Clinic,Church Army Medical Clinic,5,Maringo/Hamza Ward,Gitlab Project
qEsCuWc2eMM,Mutuati Sub-County Hospital,Mutuati SCH,5,Amwathi Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
qWhq6ucH0t0,Naari Health Centre,Naari Sub-District Hospital,5,Kiirua/Naari Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
qZIiCNR0SIG,Malanga (AIC) Dispensary,Malanga (AIC) Dispensary,5,Sokoke Ward,Bread for the World Project
qofxRUgcFyD,Kiamiriru MCK Dispensary,Kiamiriru MCK Dispensary,5,Ntima West Ward,In JTP IPSL; Jamii Tekelezi
qsSIimN71Bx,Zombe (AIC) Health Centre,Aic Zombe Health Centre,5,Zombe/Mwitika Ward,ACS Project; Bread for the World Project; CHAK MHU; CHAP Stawisha; Gates Foundation - RMNCH
qv3XmudB30S,Namarei Dispensary(Marsabit south),Namarei Dispensary,5,Korr/Ngurunit Ward,Bread for the World Project
qxRsPXiP9p4,St Orsola Mission Hospital,St Orsola Mission Hospita,5,Chiakagira Ward,CHAP Stawisha
r7pU4IuyIJF,Mukungi Dispensary,Mukungi Dispensary,5,Murungaru Ward,In JTP IPSL; Jamii Tekelezi
r9Nw0PyLOZD,ACK MT Kenya Hospital (Mwea),ACK MT Kenya Hospital (Mwea),5,Tebere Ward,Gitlab Project
rDvrfrNkF7T,Lokichar Health Centre,Lokichar Health Centre,5,Lokichar Ward,ACS Project
rVDOiFMpHlD,Kibugu Health Centre,Kibugu Health Centre,5,Nginda Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
riVaDMbSHNv,Lokori (AIC) Health Centre,Lokori (AIC) Health Centre,5,Lokori/Kochodin Ward,Bread for the World Project; Gates Foundation - RMNCH
rsNtXqATBzF,Kolanya Salvation Army Dispensary,Kolanya Salvation Army Disp,5,Ang'urai East Ward,Gates Foundation - RMNCH
rtH6GDmikh7,Gatab Health Centre,Gatab Health Centre,5,Loiyangalani Ward,Bread for the World Project
s11x854JKz0,Kambandi Dispensary,Kambandi Dispensary,5,Mugwe Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
s1wMnAas2wy,Tuwan Highway Mission Hospital,Tuwan Highway Mission Hospital,5,Tuwani Ward,Gates Foundation - RMNCH
s9likQBEhHv,Tei Wa Yesu Health Centre,Tei Wa Yesu Health Centre,5,Kyuso Ward,Bread for the World Project; Gates Foundation - RMNCH
sD0C4mSXA4H,Chuka  County Refferal Hospital,Chuka  County Refferal Hospital,5,Karingani Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
sFIGmjKBUBC,Emmanuel Kigari (ACK) Dispensary,Emmanuel Kigari (ACK) Dis,5,Ruguru-ngandori Ward,In JTP IPSL; Jamii Tekelezi
sFRSyKkdRWy,St John of God Hospital Tigania,St John of God Hospital Tigania,5,Muthara Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
sKxmx6BtHB5,Kirogine Dispensary,Kirogine Dispensary,5,Nkuene Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
sObWsoB3enC,Machang'a Dispensary,Machang'a Dispensary,5,Mavuria Ward,In JTP IPSL; Jamii Tekelezi
sV03SJelJoh,Woodlands Hospital,Woodlands Hospital,5,Ntima East Ward,In JTP IPSL; Jamii Tekelezi
salniVCl5mw,Ontulili Dispensary,Ontulili Dispensary,5,Timau Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
sbtG4aQyRyp,Mararianta Health Centre,Mararianta Health Centre,5,Mara Ward,Bread for the World Project; CHAP Stawisha; Gates Foundation - RMNCH
sijQjq4rhfT,Minugu Dispensary,Minugu Dispensary,5,Mitheru Ward,In JTP IPSL; Jamii Tekelezi
ssY2d9sMYGR,Lokichogio (AIC) Health Centre,Lokichogio  (AIC) HC,5,Lokichoggio Ward,ACS Project; Bread for the World Project; Gates Foundation - RMNCH
syjqhftfG5l,Kapsowar (AIC) Hospital,Kapsowar (AIC) Hospital,5,Kapsowar Ward,ACS Project; CHAK MHU; Gates Foundation - RMNCH
t1MRzPmOj7Q,Presbyterian Ttc Rubate Health Centre,Presbyterian TTC Rubate H,5,Magumoni Ward,In JTP IPSL; Jamii Tekelezi
t5xZIr6qjd3,Gichiche Dispensary,Gichiche Dispensary,5,Central Ward,In JTP IPSL; Jamii Tekelezi
t6f0ncq9l8J,Intergrated Vision Centre Mlimani Mission Hospital,Intergrated Vision Centre Mlimani MissionHospital,5,Kiplombe Ward,Gates Foundation - RMNCH
tCDh3rEYIVj,Gachuriri Dispensary,Gachuriri Dispensary,5,Mbeti South Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
tEu5VkVwaK7,Our Lady of Lourdes Mutomo Hospital,Our Lady Of Lourdes Mutomo Hospital,5,Mutomo Ward,CHAP Stawisha
tLVjdEE6IX2,Tharaka District Hospital,Tharaka dist hospital,5,Marimanti Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
tMwQKRfIVVG,Uruku Health Centre,Uruku Health Centre,5,Nkuene Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
tNO45kPRfaQ,Machwele Dispensary,Machwele Dispensary,5,West Bukusu Ward,Gates Foundation - RMNCH
tRNaL67wHjf,Getongoroma Health Centre,Getongoroma Health Centre,5,Nyabasi East Ward,ACS Project
tZXNm0Rsz9p,Amugaa Health Centre,Amugaa Health Centre,5,Thangatha Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
tgcsqKSppEP,Kasaala Health Centre,Kasaala Health Centre,5,Ikutha Ward,CHAP Stawisha
tkWVWdSzZCJ,Mbonzuki Dispensary,Mbonzuki Dispensary,5,Mwea Ward,In JTP IPSL; Jamii Tekelezi
tlcvZ4jzPwM,Nakuru West (PCEA) Health Centre,Nakuru West (PCEA) HC,5,Shaabab Ward,Gitlab Project
trxPkQIiUSK,Kina Dispensary,Kina Dispensary,5,Athiru Ruujine Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
tww0l46CGoh,Kirie Dispensary,Kirie Dispensary,5,Muminji Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
u4oYyK5yC2Y,Mission of Mercy Clinic,Mission of Mercy Clinic,5,Township Ward,Gates Foundation - RMNCH
u5q6JCLA4SL,Ewaso Ngiro Health Centre,Ewaso Ngiro Health Centre,5,Maji Moto/Naroosura Ward,Bread for the World Project; CHAP Stawisha; Gates Foundation - RMNCH
uAFvoO68slK,Makima Dispensary,Makima Dispensary,5,Makima Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
uAmB8MLWUbq,Ndaragwa Health Centre,Ndaragwa Health Centre,5,Central Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
uECirbmK3vj,Ndemi Health Centre,Ndemi Health Centre,5,Wanjohi Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
uKQ00J1SYx7,Jesse Kay Children's Hospital,Jesse Kay Children Hospital,5,Roysambu Ward,Gates Foundation - RMNCH; Gitlab Project
ubYSAHlGbvb,Embu Provincial General Hospital,Embu Hospital,5,Kirimari Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
ukxQvonmMyN,Talek Health Centre,Talek Health Centre,5,Mara Ward,Bread for the World Project; CHAP Stawisha; Gates Foundation - RMNCH; Gitlab Project
uwvOG2N2Cmt,Meru District Hospital,Meru District Hospital,5,Municipality Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
vCytWU2htrB,Mukuuni Dispensary,Mukuuni Dispensary,5,Magumoni Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
vG1iOKniT2c,Beacon of Hope Clinic (Ongata Rongai),Beacon of Hope C (Kajiado,5,Nkaimurunya Ward,ACS Project; Gates Foundation - RMNCH; Gitlab Project
vWQ2B3FTO0m,Kathunguri Dispensary,Kathunguri Dispensary,5,Kyeni South Ward,In JTP IPSL; Jamii Tekelezi
vomk8x4PVA8,Embu Children Hospital,Embu Children Hospital,5,Mbeti North Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
vpe1oyTwS9P,Kamaindi Dispensary,Kamaindi Health Centre,5,Igambang'ombe Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
wAbEG7TlDWH,Kangeta Heaith Centre,Kangeta HC,5,Kangeta Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
wF4m03C8BPG,Beril's GWP Medical centre,Beril's GWP Medical centre,5,West Kasipul Ward,ACS Project; Gates Foundation - RMNCH
wY8b3t2QsEL,Ng'iya Health Centre,Ng'iya Health Centre,5,South East Alego Ward,Gates Foundation - RMNCH
wZUrNTrCEWz,Baragu Health Centre,Baragu Health Center,5,Chogoria Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
wZymUoPqyPq,Tumaini Medical Centre (Masii),Tumaini Medical Centre (Masii),5,Masii Ward,Gitlab Project
wmdsuWliwrG,Lewa Downs Dispensary,Lewa Downs Dispensary,5,Kisima Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
wvm19W6gCyl,Sambocho Health Centre,Sambocho Health Centre,5,Elgon Ward,ACS Project; Gates Foundation - RMNCH
xDYrSeSD4g7,Kiambere Health Centre,Kiambere Health Centre,5,Kiambere Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
xWpiITvlGmC,Mulutu Mission Dispensary,Mulutu Mission Dispensary,5,Kyangwithya West Ward,CHAP Stawisha
xpXgPL892GT,New Tumaini Health Centre,New Tumaini Health Center,5,Kanjuiri Range Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
xyqzLEu0jDE,St Assisi Sisters of Mary Immaculate Nursing Home,St Assisi Sisters of Mary Immaculate Nursing Home,5,Syokimau/Mulolongo Ward,CHAP Stawisha
y0kyyERURWh,Jumuia Mission Hospital Kaimosi,Jumuia Mission Hospital Kaimosi,5,Shiru Ward,ACS Project; Gates Foundation - RMNCH
y7oiHjCpFVc,Mukothima Health Centre,Mukothima Health Centre,5,Mukothima Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
yGXMuAvTOta,Riachina Dispensary,Riachina Dispensary,5,Kiambere Ward,In JTP IPSL; Is PMTCT site; Jamii Tekelezi
yeGUcHoOF0W,Ngano Health Centre,Ngano Health Centre,5,Charagita Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
yx40eoay4oE,Imenti North Dice (Meru),Meru Drop in Centre,5,Municipality Ward,In JTP IPSL; Is C&T site; Jamii Tekelezi
z6NaFzIMBFT,Namasoli Health Centre,Namasoli Health Centre,5,Kisa Central Ward,ACS Project; Gates Foundation - RMNCH
zZ24uGJ3OVi,St Joseph Catholic Dispensary (Ruiru),St Joseph Catholic Disp,5,Kahawa Wendani Ward,CHAP Stawisha
zc2OxGFBTln,Wire Dispensary,Wire Dispensary,5,West Kamagak Ward,ACS Project
zdklzerrVxH,Nyakach (AIC) Dispensary,Nyakach (AIC) Dispensary,5,South West Nyakach Ward,ACS Project; Gates Foundation - RMNCH
zlOqwHi8J7M,Mahiga (PCEA) Dispensary,Mahiga (PCEA) Dispensary,5,Mahiga Ward,Gitlab Project
zqmymbY6VTU,Ndunyu Njeru Dispensary,Ndunyu Njeru Dispensary,5,North Kinangop Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
