UID,Name,Short Name,Level,Parent,Groups
Ny1Neo7owcC,Lokwatubwa (PAG) Dispensary,Lokwatubwa  (PAG) Dispensary,5,Loima Ward,Bread for the World Project; Gates Foundation - RMNCH
Oe4rhe2G6ug,Fountain Medical Centre,Fountain Medical Centre,5,Narok Town Ward,Gitlab Project
Of5ckH5BGZT,Olderkesi Dispensary,Olderkesi Dispensary,5,Naikarra Ward,Bread for the World Project
OnMW8Kn4YDf,Ogada Health Centre,Ogada Health Centre,5,Wasimbete Ward,Bread for the World Project
Ot3j6QXURjV,Riokindo Health Centre,Riokindo Health Centre,5,Bokimonge Ward,ACS Project; Gates Foundation - RMNCH
OwA3FdxjmkQ,Kima Mission Hospital,Kima Mission Hospital,5,Emabungo Ward,ACS Project; Gates Foundation - RMNCH
OwaQqvBExjF,Khasoko Health Centre,Khasoko Health Centre,5,Khasoko Ward,ACS Project; Gates Foundation - RMNCH
Ox532fak7j5,Matangwe Community Health Centre,Matangwe Community Health Centre,5,South Sakwa Ward,Gates Foundation - RMNCH
PBqYe1aI7YB,Akachiu Health Centre,Akachiu Health Centre,5,Kanuni Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
PJESmU1NFjO,St Ann Hospital,St. Ann Hospital,5,Igoji East Ward,CHAP Stawisha
PoAHq41Wjsk,Silibwet Health Centre (Nyandarua West),Silibwet Health Centre,5,Gathanji Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
Ps9kWPr86pD,Nguruki-Iruma Dispensary,Nguruki-Iruma Dispensary,5,Mwimbi Ward,In JTP IPSL; Jamii Tekelezi
PuCIJFEhQkq,Kionyo Dispensary,Kionyo H.C,5,Abogeta West Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
Px9lcrdOOO6,ICFM Dreamland Mission Hospital,ICFM Dreamland Mission Hospital,5,Kibingei Ward,ACS Project; Gates Foundation - RMNCH
Q0WwPORvQYR,Mbitini Catholic Dispensary,Mbitini Catholic Disp,5,Emali/Mulala Ward,CHAP Stawisha
QCgPeQ0XSzz,Ugweri Dispensary,Ugweri Disp,5,Kagaari South Ward,In JTP IPSL; Jamii Tekelezi
QGDYhPfwBWt,Mbeu Sub-District Hospital,Mbeu Sub-District Hospital,5,Mbeu Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
QUEf4kJAS00,Kambu Catholic Dispensary,Kambu Catholic Dispensary,5,Ivingoni/Nzambani Ward,CHAP Stawisha
QVUbWn7AIan,Ngiya Community Hospital Limited,Ngiya Community Hospital Limited,5,South East Alego Ward,Gates Foundation - RMNCH
QsbKIv43xwM,Kirima Dispensary,Kirima Dispensary,5,Shamata Ward,In JTP IPSL; Jamii Tekelezi
QtLL3zPlb1l,RTC Medical Centre,RTC Medical Clinic,5,Central Kasipul Ward,Gates Foundation - RMNCH
QtkuzgCwZnB,Kiambere Dam Dispensary,Kiambere Dam Dispensary,5,Muminji Ward,In JTP IPSL; Is C&T site; Is PMTCT site; Jamii Tekelezi
