County,Owner type,Owner,Name,Service Type,Year,Sum of Value
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),IPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),MCH_CWC,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),OPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),OPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),OPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),OPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Highway Medical Clinic (Pokot Central),OPD,2026,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,IPD,2022,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,IPD,2023,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,IPD,2024,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,IPD,2025,0
West Pokot,Private Practice,Private Practice - Nurse / Midwifery,Chepkono Medical Clinic,IPD,2026,0
