orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,November 2025 OPD Attendance <5yrs Female,November 2025 OPD Attendance <5yrs Male,November 2025 OPD attendance >5yrs Female,November 2025 OPD attendance >5yrs Male
Kenya,Kiambu County,Lari Sub County,Kijabe Ward,Cure (AIC) international Children's Hospital,GX1sdQ1xRh9,Cure (AIC) international Children's Hospital,17397,,404,493,696,882
Kenya,Siaya County,Gem Sub County,East Gem Ward,Dolphil Nursing & Maternity Home,iQqQPaktVMP,Dolphil Nursing & Maternity Home,13535,,18,32,331,156
Kenya,Nyamira County,Nyamira North Sub County,Itibo Ward,Ekerenyo Amani Health Centre,jGcyXcm2f8x,Ekerenyo Amani Health Centre,28346,,4,2,30,18
Kenya,Turkana County,Turkana Central Sub County,Kang'atotha Ward,Eliye Springs (AIC) Dispensary,VjDw19Sgkaf,Eliye Springs (AIC) Dispensary,14440,,,,,
Kenya,Narok County,Transmara East Sub County,Ilkerin Ward,Emurua Dikirr VCT Stand Alone,kTKSuT6LuIB,Emurua Dikirr VCT Stand Alone,21356,,,,,
Kenya,Narok County,Narok West Sub County,Mara Ward,Endoinyo Erinka Dispensary,aHOOBJkP1BM,Endoinyo Erinka Dispensary,14457,,112,109,209,76
Kenya,Narok County,Transmara South Sub County,Lolgorian Ward,Engos Health Centre Africa Mission Services,pVsn7nkMvBE,Engos Health Centre Africa Mission Services,17910,,10,13,21,19
Kenya,Nyamira County,Borabu Sub County,Esise Ward,Eronge Health Centre,KYc50Vep5A8,Eronge Health Centre,13547,,3,1,20,18
Kenya,Narok County,Narok Central Sub County,Narok Town Ward,Ewaso Ngiro Dispensary,wsx3VZHUNTl,Ewaso Ngiro Dispensary,14484,,23,19,37,33
Kenya,Narok County,Narok Central Sub County,Narok Town Ward,FLC Fountain Mission Hospital,nCtCHWjnrYi,FLC Fountain Mission Hospital,29891,,,,,
Kenya,Nakuru County,Nakuru East Sub County,Nakuru East Ward,Fountain Medical Centre Nakuru,ye4fzfF4kAx,Fountain Medical Centre Nakuru,17787,,45,41,238,166
Kenya,Nakuru County,Molo Sub County,Molo Ward,Full Gospel Churches Of Kenya - Molo Medical Centre,IqxpJrVL9lX,Full Gospel Churches Of Kenya - Molo Medical Centre,16392,,96,88,134,112
Kenya,Siaya County,Alego Usonga Sub County,South East Alego Ward,Future Life Community Nursing Home,NhqbIqtewwY,Future Life Community Nursing Home,17522,,20,31,107,59
Kenya,Kiambu County,Githunguri Sub County,Komothai Ward,Gathiruini (PCEA) Dispensary,ZhLMW5vxOrJ,Gathiruini (PCEA) Dispensary,10219,,,,,
Kenya,Kirinyaga County,Kirinyaga East Sub County,Ngariama Ward,Gatumbi (SDA) Dispensary,YF2UQdQScMR,Gatumbi (SDA) Dispensary,10232,,17,18,97,55
Kenya,Kisii County,Nyaribari Masaba Sub County,Gesusu Ward,Gesusu Adventist Mission Hospital,jjB3t9QR37q,Gesusu Adventist Mission Hospital,13563,,5,6,76,45
Kenya,Migori County,Kuria East Sub County,Nyabasi East Ward,Getongoroma Health Centre,tRNaL67wHjf,Getongoroma Health Centre,13570,,66,39,73,46
Kenya,Nyamira County,Nyamira North Sub County,Itibo Ward,Gietai (AIC) Dispensary,RsiWBZOvwow,Gietai (AIC) Dispensary,13574,,,,,
Kenya,Kisii County,Bobasi Sub County,Masige West Ward,Gionseri SDA Dispensary,q7AnJKgxgWe,Gionseri SDA Dispensary,24691,,15,12,120,60
Kenya,Muranga County,Kandara Sub County,Ruchu Ward,Githumu Hospital,oau2wlYZlO3,Githumu Hospital,10267,,43,75,698,449
Kenya,Muranga County,Gatanga Sub County,Mugumo-ini Ward,Gituamba (Aipca) Dispensary,EgZh5MF3p8h,Gituamba (Aipca) Dispensary,10020,,,,,
Kenya,Muranga County,Kandara Sub County,Ruchu Ward,Gituru (AIC) Dispensary,en2NybPOjPi,Gituru (AIC) Dispensary,10283,,70,51,172,84
Kenya,Nyeri County,Nyeri Central Sub County,Rware Ward,Good Samaritan (ACK) Medical Clinic,CZxlonoRruj,Good Samaritan (ACK) Medical Clinic,10296,,,,13,10
Kenya,Nakuru County,Nakuru North Sub County,Dundori Ward,Great Comm Medical Clinic,EQrX5OjiAns,Great Comm Medical Clinic,14537,,3,,25,17
Kenya,Kirinyaga County,Kirinyaga South Sub County,Nyangati Ward,Health Charge Medical Center,J5jzRzUAguf,Health Charge Medical Center,26995,,23,16,256,213
