Facility Name,Category,Region,County,Beds,Status
Rumangao Dispensary,Dispensary,Nairobi Central SE Coast,Taita Taveta,0,
Ruiri Methodist Curch Health Centre,Health Centre,Eastern Northeastern,Meru,0,
RUARAKA UHAI NEEMA HOSPITAL,Hospital,Nairobi Central SE Coast,Nairobi,0,
Ruai (SDA) Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
RTC Medical Centre,Hospital,South Rift Nyanza,Homa Bay,0,
RIOKINDO S.D.A DISPENSARY,Dispensary,South Rift Nyanza,Kisii,0,
Riokindo Health Centre,Health Centre,South Rift Nyanza,Kisii,0,
Riakworo Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Reusse Troyer Mission Health Centre,Health Centre,South Rift Nyanza,Migori,0,
Renguti (PCEA) Women's Guild Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Reedemed Gospel Baba Dogo,Health Centre,Nairobi Central SE Coast,Nairobi,0,
RCEA Plateau Mission Hospital,Hospital,Western North Rift,Uasin Gishu,0,
RCEA Ndalat Health Centre,Health Centre,Western North Rift,Nandi,0,
RCEA Maridadi Health Centre,Health Centre,Western North Rift,Trans Nzoia,0,
RCEA Maridadi Dispensary,Dispensary,Western North Rift,Trans Nzoia,0,
RCEA Loyapat Dispensary,Dispensary,Western North Rift,Turkana,0,
RCEA Lokichar Health Centre,Health Centre,Western North Rift,Turkana,0,
RAPHA TOTAL CARE CLINICS,Clinic / Medical Centre,Western North Rift,Uasin Gishu,0,
Rangenyo Health Centre,Health Centre,South Rift Nyanza,Nyamira,0,
Ranen SDA Conference,Clinic / Medical Centre,South Rift Nyanza,Migori,0,
RANEN S.D.A HEALTH CENTRE,Clinic / Medical Centre,South Rift Nyanza,Migori,0,
Ranen Adventist Mission Hospital,Hospital,South Rift Nyanza,Migori,0,
Ranen (SDA) Health Centre,Health Centre,South Rift Nyanza,Migori,0,
Prisca Wakarima (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Presbyterian Teachers Trining College- Rubate Health Centre,Health Centre,Eastern Northeastern,Tharaka Nithi,0,
Presbyterian Care Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Plateau Hospital,Hospital,Western North Rift,Uasin Gishu,0,
PEFA Mercy Mission Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nyandarua,0,
PEFA Mercy Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
PEFA Mercy,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
PCEA Upendo Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
PCEA Tumutumu School of Nursing,Clinic / Medical Centre,,Nyeri,0,
PCEA TUMUTUMU MISSION HOSPITAL,Hospital,Nairobi Central SE Coast,Nyeri,0,
PCEA Tumutumu Hospital,Hospital,Nairobi Central SE Coast,Nyeri,0,
PCEA School of Health Sciences Rubate,Clinic / Medical Centre,,,0,
PCEA Rigiri Mission Dispensary,Dispensary,Eastern Northeastern,Meru,0,
PCEA PIPELINE CARE CLINIC,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
PCEA Ngundu Health Centre,Health Centre,Nairobi Central SE Coast,Kiambu,0,
PCEA Nakuru West Medical College,Medical Training College,Nairobi Central SE Coast,Nakuru,0,
PCEA Mwangaza Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
PCEA Mau-Summit Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
PCEA MATHAKWAINI HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Nyeri,0,
PCEA Makutano Women Guild Dispensary,Dispensary,Western North Rift,Trans Nzoia,0,
PCEA Makupa Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Mombasa,0,
PCEA Mahiga Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
PCEA Kikuyu School of Nursing,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
PCEA Kikuyu Hospital,Hospital,Nairobi Central SE Coast,Kiambu,0,
PCEA Kiengu Dispensary,Dispensary,Eastern Northeastern,Meru,0,
PCEA Kibwezi Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
PCEA Kayole Parish Health Centre,Health Centre,Nairobi Central SE Coast,Nairobi,0,
PCEA KASASULE HEALTH CLINIC,Clinic / Medical Centre,Eastern Northeastern,Makueni,0,
PCEA Kasasule Health Centre,Health Centre,Eastern Northeastern,Makueni,0,
PCEA Kagai Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
PCEA Honi Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
PCEA GANGARA DISPENSARY,Dispensary,Eastern Northeastern,Meru,0,
PCEA Chogoria School of Nursing,Clinic / Medical Centre,Eastern Northeastern,Tharaka Nithi,0,
PCEA CHOGORIA MEDICAL CENTRE,Clinic / Medical Centre,Eastern Northeastern,Tharaka Nithi,0,
PCEA Chogoria Hospital,Hospital,Eastern Northeastern,Tharaka Nithi,0,
PAG Namoruputh Health Centre,Health Centre,Western North Rift,Turkana,0,
PAG Lokwatuba dispensary,Dispensary,Western North Rift,Turkana,0,
Pace Dental Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nyandarua,0,
P.C.E.A Ruburi Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
P.C.E.A NJORO HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Nakuru,0,
P.C.E.A NAKURU WEST HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Nakuru,0,
P.A.G. (K) MISSION HOSPITAL GOIBEI,Hospital,Western North Rift,Vihiga,0,
Oyani (SDA) Dispensary,Dispensary,South Rift Nyanza,Migori,0,
Our Lady of Mercy (Magumu),Dispensary,Nairobi Central SE Coast,Nyandarua,0,
Orthodox Maternity and Health Centre,Health Centre,Nairobi Central SE Coast,Kiambu,0,
Orthodox Dispensary(Riruta),Dispensary,Nairobi Central SE Coast,Nairobi,0,
Orinie (AIC) Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kajiado,0,
Oriang SDA Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
Omorembe Sengera Clinic,Clinic / Medical Centre,South Rift Nyanza,Kisii,0,
Olooltoto Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Oljorai Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Olereko Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Olenkasorai Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
