Facility Name,Category,Region,County,Beds,Status
KENYA COMMUNITY HEALTH CLINIC MCK CIOTHIRAI,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
Kendu Adventist School of Nursing,Clinic / Medical Centre,South Rift Nyanza,Homa Bay,0,
Kendu Adventist Hospital,Hospital,South Rift Nyanza,Homa Bay,0,
KEMU Medical Centre,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
Kemera Dispensary (Manga),Dispensary,South Rift Nyanza,Nyamira,0,
Kebeneti SDA Dispensary,Dispensary,South Rift Nyanza,Kericho,0,
Kebeneti (SDA) Health Centre,Health Centre,South Rift Nyanza,Kericho,0,
Kathigu Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Kathera Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Karimba Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Karia Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Karandini Medical Clinic,Clinic / Medical Centre,Eastern Northeastern,Tharaka Nithi,0,
Karaini (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
Kapweria Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Kaptama Mission Health Centre,Health Centre,Western North Rift,Bungoma,0,
Kapkitony Dispensary,Dispensary,,,0,
Kangundo Reedemed Medical Clinic,Clinic / Medical Centre,,,0,
Kamung'ang'a (ACK) Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Kamreri Dispensary,Dispensary,,,0,
Kamburu (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Kambui (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Kambandi Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kamasengere Baptist Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
Kamagambo Adventist Dispensary,Dispensary,South Rift Nyanza,Migori,0,
Kalacha (AIC) Dispensary,Dispensary,Eastern Northeastern,Marsabit,0,
Kajiampau Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kajiado Christian Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Kajiado,0,
Kajiado (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Kajiado,0,
Kaigat SDA Health Centre,Health Centre,Western North Rift,Nandi,0,
KAIBOI MISSION HEALTH CENTRE,Health Centre,Western North Rift,Nandi,0,
Kahuhia (ACK) Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Murang'a,0,
Kager Dispensary,Dispensary,South Rift Nyanza,Homa Bay,0,
KAG Sombo Dispensary,Dispensary,Nairobi Central SE Coast,Tana River,0,
KAG Moyale Mission Clinic,Clinic / Medical Centre,Eastern Northeastern,Marsabit,0,
KAG Meru Medical Clinic,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
KAG Bahati Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Kaboson Health Centre,Health Centre,South Rift Nyanza,Bomet,0,
Kabokyek SDA Dispensary,Dispensary,South Rift Nyanza,Kericho,0,
Kabarak University,University,Nairobi Central SE Coast,Nakuru,0,
Kaare Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Kaanwa Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Jumuia Huruma Hospital,Dispensary,Nairobi Central SE Coast,Nairobi,0,
Jumuia Friends Hospita Kaimosi,Hospital,Western North Rift,Vihiga,0,
Jesse Kay Childrens Hospital,Hospital,Nairobi Central SE Coast,Nairobi,0,
Jesmond (ACK) Dispensary (Mburi),Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
IVC Mlimani Hospital,Hospital,Western North Rift,Uasin Gishu,0,
Itungururu Disp.,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Itierio Nursing Home,Clinic / Medical Centre,South Rift Nyanza,Kisii,0,
Itibo Mission Adventist Hospital,Health Centre,South Rift Nyanza,Nyamira,0,
Italale Dispensary,Dispensary,Western North Rift,Trans Nzoia,0,
Iriga Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Integrated Vision Centre Milimani Mission Hospital,Hospital,Western North Rift,Uasin Gishu,0,
Ingotse Health Centre,Health Centre,Western North Rift,Kakamega,0,
IMPACT HEALTHCARE ANNEX,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Impact Health Care,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
IMARA HEALTHCARE CENTRE,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Imara Health Centre,Health Centre,Nairobi Central SE Coast,Nairobi,0,
Illaut Lutherand dispensary,Dispensary,Eastern Northeastern,Marsabit,0,
Ilcharituyiani Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Ikumbo Dispensary,Dispensary,Eastern Northeastern,Tharaka Nithi,0,
Ikomero Dispensary,Dispensary,,,0,
IcFEM Dreamland Mission Hospital,Hospital,Western North Rift,Bungoma,0,
Health Charge Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Kirinyaga,0,
Hamisi Baptist Clinic,Clinic / Medical Centre,Western North Rift,Vihiga,0,
Great Commission Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
Grace Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Kajiado,0,
Gituru Dispensary,Dispensary,,,0,
Gituamba (AIPCA) Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Githumu Hospital,Hospital,Nairobi Central SE Coast,Murang'a,0,
Githanga ACK Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
Gionseri SDA Dispensary,Dispensary,South Rift Nyanza,Kisii,0,
Gietai (AIC) Dispensary,Dispensary,South Rift Nyanza,Nyamira,0,
Getongoroma Health Centre,Health Centre,South Rift Nyanza,Migori,0,
Gesusu SDA Dispensary,Dispensary,South Rift Nyanza,Kisii,0,
GESUSU ADVENTIST MISSION HOSPITAL,Hospital,South Rift Nyanza,Kisii,0,
Gatundune Dispensary,Dispensary,Eastern Northeastern,Meru,0,
GATUMBI SDA DISPENSARY,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
Gatumbi (SDA) Dispensary,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
Gathiruini (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
Gatab Health Centre,Health Centre,Eastern Northeastern,Marsabit,0,
Gangara Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Gaitu Dispensary,Dispensary,Eastern Northeastern,Meru,0,
FUTURE LIFE COMMUNITY NURSING HOME,Clinic / Medical Centre,Western North Rift,Siaya,0,
FULL GOSPEL CHURCHES OF KENYA - MOLO MEDICAL CENT,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
Friends Lugulu Mission Hospital,Hospital,Western North Rift,Bungoma,0,
Friends Chwele Mission Dispensary,Dispensary,Western North Rift,Bungoma,0,
FRIENDS CHURCH SABATIA EYE HOSPITAL,Hospital,Western North Rift,Vihiga,0,
FPFK NYAMBARE MISSION HOSPITAL,Hospital,Western North Rift,Siaya,0,
FPFK Nyambare Health Centre,Health Centre,Western North Rift,Siaya,0,
Fountain Mission Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Narok,0,
Fountain Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
Ewaso Ngiro Health Centre,Health Centre,Nairobi Central SE Coast,Narok,0,
Ethi Dispensary,Dispensary,Nairobi Central SE Coast,Laikipia,0,
Eshikhangi Dispensary,Dispensary,Western North Rift,Kakamega,0,
Eronge Health Centre,Health Centre,South Rift Nyanza,Nyamira,0,
Engos Health Centre Africa Mission Services,Health Centre,Nairobi Central SE Coast,Narok,0,
Endonyo Erinka Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Emurua Dikirr Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
Emunuku Baptist Dispensary,Dispensary,Western North Rift,Kakamega,0,
Emmanuel Kigari Dispensary,Dispensary,Eastern Northeastern,Embu,0,
Eldoret Rapha Medical Centre,Clinic / Medical Centre,Western North Rift,Uasin Gishu,0,
Elburgon (PCEA) Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
EA Baraton,Clinic / Medical Centre,,,0,
DVC EA Baraton University,University,,,0,
DVC Academic St Paul's,Clinic / Medical Centre,,,0,
DOPHIL NURSING & MATERNITY HOME NOMIYA FAITH BASE,Clinic / Medical Centre,Western North Rift,Siaya,0,
Dophil Mission Hospital,Hospital,Western North Rift,Siaya,0,
Dolphil Nursing & Maternity Home,Clinic / Medical Centre,Western North Rift,Siaya,0,
Dean St Paul's Univerisity,Clinic / Medical Centre,,,0,
Daba (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Tana River,0,
Cure (AIC) International Hospital,Hospital,Nairobi Central SE Coast,Kiambu,0,
Cura (ACK) Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Coptic Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Coptic Hospital (Ngong Road),Hospital,Nairobi Central SE Coast,Nairobi,0,
Conerstone Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
COG Mwihilia Mission Hospital,Hospital,Western North Rift,Kakamega,0,
Church Army Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Christian Mission International Sambocho Health Centre,Health Centre,Western North Rift,Bungoma,0,
CHRISTIAN COMMUNITY SERVICES MAYORI DISPENSARY,Dispensary,Eastern Northeastern,Embu,0,
Christian Community Services Clinic Base Kerugoya,Clinic / Medical Centre,Nairobi Central SE Coast,Kirinyaga,0,
Chogoria PCEA Hospital,Hospital,Eastern Northeastern,Tharaka Nithi,0,
Chogoria Hospital Chuka Medical Centre,Clinic / Medical Centre,Eastern Northeastern,Tharaka Nithi,0,
Chesta ELCK Health Centre,Health Centre,Western North Rift,West Pokot,0,
Chesinende (Elck) Dispensary,Dispensary,South Rift Nyanza,Kericho,0,
Cheptais Dispensary,Dispensary,Western North Rift,Bungoma,0,
Cheppemma (AIC) Dispensary,Dispensary,Nairobi Central SE Coast,Nakuru,0,
Chepnyal AGC Dispensary,Dispensary,Western North Rift,West Pokot,0,
Chepareria SDA Dispensary,Dispensary,Western North Rift,West Pokot,0,
CHEBWAI SDA RURAL HEATH CENTRE,Clinic / Medical Centre,Western North Rift,Kakamega,0,
Chebwai SDA Dispensary,Dispensary,Western North Rift,Kakamega,0,
Chamasir Dispensary,Dispensary,Western North Rift,Busia,0,
CCS Mitunguu Medical Clinic,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
CCS Mayori-Kiritiri Dispensary,Dispensary,Eastern Northeastern,Embu,0,
CCS Mayori Dispensary (Kiritiri),Dispensary,Eastern Northeastern,Embu,0,
CCS Maua Medical Centre,Clinic / Medical Centre,Eastern Northeastern,Meru,0,
CCS Marsabit Clinic/Also known as Tumaini Medical Centre Marsabit,Clinic / Medical Centre,Eastern Northeastern,Marsabit,0,
CCS Macumo Clinic,Clinic / Medical Centre,Eastern Northeastern,Embu,0,
Cascade of Hope Health Centre,Health Centre,Nairobi Central SE Coast,Nairobi,0,
Cargo Human Care Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
Canaan (ACK) Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
Cana Family Clinic and Resource Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
Bushiangala Mission Health Centre,Health Centre,Western North Rift,Kakamega,0,
Bukwala SDA Dispensary,Dispensary,Western North Rift,Kakamega,0,
Bomet Youth Centre,Health Centre,South Rift Nyanza,Bomet,0,
BIRIBIRIET A.I.C DISPENSARY,Dispensary,Western North Rift,Trans Nzoia,0,
Bibirioni Health Centre,Health Centre,Nairobi Central SE Coast,Kiambu,0,
Better Living SDA Hospital,Hospital,Nairobi Central SE Coast,Nairobi,0,
BETTER LIVING HOSPITAL,Hospital,Nairobi Central SE Coast,Nairobi,0,
Bethany Dispensary,Dispensary,Nairobi Central SE Coast,Kwale,0,
BERIL\'S GWP MEDICAL CENTER,Clinic / Medical Centre,South Rift Nyanza,Homa Bay,0,
Beacon of Hope Hospital,Hospital,Nairobi Central SE Coast,Kajiado,0,
Beacon of Hope,Dispensary,Nairobi Central SE Coast,Kajiado,0,
Baraton Jeremic Community Medical Centre,Clinic / Medical Centre,Western North Rift,Nandi,0,
Athiru Gaitu Dispensary,Dispensary,Eastern Northeastern,Meru,0,
Atemo Health Centre,Health Centre,South Rift Nyanza,Homa Bay,0,
ARROR HEALTH CENTRE,Health Centre,Western North Rift,Elgeyo Marakwet,0,
Aro SDA Dispensary,Dispensary,Western North Rift,Siaya,0,
ANGLICAN DEVELOPMENT SERVICES,Clinic / Medical Centre,Nairobi Central SE Coast,Kirinyaga,0,
AMI RUHAMA CHURCH WARABA MEDICAL CENTRE,Clinic / Medical Centre,Western North Rift,Bungoma,0,
Alale AIC Health Centre,Health Centre,Western North Rift,West Pokot,0,
Aitong Health Centre,Health Centre,Nairobi Central SE Coast,Narok,0,
AIPCA NAKURU WEST MEDICAL CLINIC,Clinic / Medical Centre,Nairobi Central SE Coast,Nakuru,0,
AIC Zombe Health Centre,Health Centre,Eastern Northeastern,Kitui,0,
AIC Zion Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nairobi,0,
AIC Wajir Dispensary,Dispensary,Eastern Northeastern,Wajir,0,
AIC Turi Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
AIC Sochoi Dispensary,Dispensary,Western North Rift,Nandi,0,
AIC Olasiti HC,Health Centre,Nairobi Central SE Coast,Narok,0,
AIC Nyakach Dispensary,Dispensary,Western North Rift,Kisumu,0,
AIC Natiira dispensary,Dispensary,Western North Rift,Turkana,0,
AIC Nanam health Centre,Health Centre,Western North Rift,Turkana,0,
AIC Mununga Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
AIC Mulango HC,Health Centre,Eastern Northeastern,Kitui,0,
AIC Mukaa Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
AIC Mbooni Health Centre,Health Centre,Eastern Northeastern,Makueni,0,
AIC Malanga HC,Health Centre,Nairobi Central SE Coast,Mombasa,0,
AIC Lotubae Dispensary,Dispensary,Western North Rift,Turkana,0,
AIC Lopur Dispensary,Dispensary,Western North Rift,Turkana,0,
AIC Lokori health Centre,Health Centre,Western North Rift,Turkana,0,
AIC Lokichoggio health Centre,Health Centre,Western North Rift,Turkana,0,
AIC Litein MTC,Clinic / Medical Centre,South Rift Nyanza,Kericho,0,
AIC LITEIN HOSPITAL-KERICHO ANNEX,Hospital,South Rift Nyanza,Kericho,0,
AIC LITEIN HOSPITAL,Clinic / Medical Centre,South Rift Nyanza,Kericho,0,
AIC Lalang Amalo Health Centre,Health Centre,Nairobi Central SE Coast,Nakuru,0,
AIC Lalang Amalo Health Center,Health Centre,South Rift Nyanza,Bomet,0,
AIC Kitogo Dispensary,Dispensary,Nairobi Central SE Coast,Nyandarua,0,
AIC Kiserian Dispensary,Dispensary,Western North Rift,Baringo,0,
AIC KIJABE HOSPITAL-NAIVASHA MEDICAL CENTRE,Hospital,Nairobi Central SE Coast,Nakuru,0,
AIC KIJABE HOSPITAL MARIRA DISPENSARY,Hospital,Nairobi Central SE Coast,Kiambu,0,
AIC Kijabe College of Health Sciences,Medical Training College,Nairobi Central SE Coast,Kiambu,0,
AIC Kiajbe hospital,Hospital,Nairobi Central SE Coast,Kiambu,0,
AIC Katakani Dispensary,Dispensary,Eastern Northeastern,Kitui,0,
AIC Kapsowar School of Nursing,Medical Training College,Western North Rift,Elgeyo Marakwet,0,
AIC Kapsowar Hospital,Hospital,Western North Rift,Elgeyo Marakwet,0,
AIC Kalokol Health Centre,Health Centre,Western North Rift,Turkana,0,
AIC Kalamba Dispensary,Dispensary,Eastern Northeastern,Makueni,0,
AIC KAJIADO HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Kajiado,0,
AIC Kahuho Dispensary,Dispensary,Nairobi Central SE Coast,Nyandarua,0,
AIC Isiolo Dispensary,Dispensary,Eastern Northeastern,Isiolo,0,
AIC Health Ministries,Clinic / Medical Centre,Eastern Northeastern,Makueni,0,
AIC Gituru Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
AIC Githumu Hospital,Hospital,Nairobi Central SE Coast,Murang'a,0,
AIC Gatab Health Centre,Health Centre,Eastern Northeastern,Marsabit,0,
AIC Eliye Springs,Dispensary,Western North Rift,Turkana,0,
AIC ELDAMA RAVINE HEALTH CENTRE,Health Centre,Western North Rift,Baringo,0,
AIC Dispensary,Dispensary,Eastern Northeastern,Wajir,0,
AIC Churo Dispensary,Dispensary,Western North Rift,Baringo,0,
AIC Biribiriet Dispensary,Dispensary,Western North Rift,Trans Nzoia,0,
AIC Barotion Dispensary,Health Centre,South Rift Nyanza,Kericho,0,
AGC Tenwek Mission Hospital - Bomet Annex,Hospital,South Rift Nyanza,Bomet,0,
AGC Tenwek Hospital,Hospital,South Rift Nyanza,Bomet,0,
AGC Tenwek CHS,Clinic / Medical Centre,,Bomet,0,
AGC LIONS NGOSWANI HOSPITAL,Hospital,Nairobi Central SE Coast,Narok,0,
AFRICA INLAND CHURCH LALANG AMALO HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,Nakuru,0,
Adventist Centre For Care and Support (Kilimani),Dispensary,Nairobi Central SE Coast,Nairobi,0,
ADC Boyani Clinic,Clinic / Medical Centre,Western North Rift,Vihiga,0,
ACL Isiolo Disp,Dispensary,Eastern Northeastern,Isiolo,0,
ACK Syongila Dispensary,Dispensary,Eastern Northeastern,Kitui,0,
ACK St.Peters Mukangu Dispensary,Dispensary,Eastern Northeastern,Embu,0,
ACK ST.LUKES MISSION NURSING HOME,Clinic / Medical Centre,Nairobi Central SE Coast,Kilifi,0,
ACK St. Stephens Ralak Medical Clinic,Clinic / Medical Centre,Western North Rift,Siaya,0,
ACK ST. JOSEPH KANYARIRI DISP.,Dispensary,Nairobi Central SE Coast,Kiambu,0,
ACK Rurii Mothers Union Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Nyandarua,0,
ACK Nyandarua Medical Clinic,Clinic / Medical Centre,Nairobi Central SE Coast,Laikipia,0,
ACK Nturumeti Dispensary,Dispensary,Nairobi Central SE Coast,Narok,0,
ACK Ngiya Dispensary,Dispensary,Western North Rift,Siaya,0,
ACK NAMBOBOTO HEALTH CENTRE,Health Centre,Western North Rift,Busia,0,
ACK Namboboto HC,Health Centre,Western North Rift,Busia,0,
ACK Namasoli Health Centre,Health Centre,Western North Rift,Kakamega,0,
ACK Mwingi CHBC Clinic,Clinic / Medical Centre,Eastern Northeastern,Kitui,0,
ACK Mumias Dipensary,Dispensary,Western North Rift,Kakamega,0,
ACK Mt. Kenya Hospital-Mwea,Hospital,Nairobi Central SE Coast,Kirinyaga,0,
ACK Mt. Kenya Hospital Kerugoya,Hospital,Nairobi Central SE Coast,Kirinyaga,0,
ACK Maseno West Diocess,Clinic / Medical Centre,Western North Rift,Siaya,0,
ACK Maseno School of Nursing,Clinic / Medical Centre,Western North Rift,Kisumu,0,
ACK Lukhoye Dispensary,Dispensary,Western North Rift,Kakamega,0,
ACK Kiriari Dispensary,Dispensary,Eastern Northeastern,Embu,0,
ACK Khasoko Health Centre,Health Centre,Western North Rift,Bungoma,0,
ACK Kathangariri Dispensary,Dispensary,Eastern Northeastern,Embu,0,
ACK Karuri Medical Centre,Clinic / Medical Centre,Eastern Northeastern,Tharaka Nithi,0,
ACK Kanunga Dispensary,Dispensary,Nairobi Central SE Coast,Kiambu,0,
ACK Kamukuywa Dispensary,Dispensary,Western North Rift,Bungoma,0,
ACK Hope Compassionate Health Services,Dispensary,South Rift Nyanza,Homa Bay,0,
ACK Good Samaritan Dispensary,Dispensary,Nairobi Central SE Coast,Nyeri,0,
ACK Githure Dispensary,Dispensary,Nairobi Central SE Coast,Kirinyaga,0,
ACK DR. PIKE ROPER MEDICAL CENTRE,Clinic / Medical Centre,Western North Rift,Bungoma,0,
ACK Butonge Dispensary,Dispensary,Western North Rift,Bungoma,0,
ACK Bujumba Disp.,Dispensary,Western North Rift,Busia,0,
ACK Bathi Faith Medical Centre,Clinic / Medical Centre,Nairobi Central SE Coast,Kiambu,0,
ACC&S Rwathe Church Dispensary,Dispensary,Nairobi Central SE Coast,MURANG'A,0,
Acc&S Kariua Dispensary,Dispensary,Nairobi Central SE Coast,Murang'a,0,
Abigael Health Care Centre,Health Centre,Western North Rift,Uasin Gishu,0,
A.I.C BETHLEHEM HOUSE OF BREAD DISPENSARY,Dispensary,Western North Rift,Uasin Gishu,0,
A.C.C & S GITURU HEALTH CENTRE,Health Centre,Nairobi Central SE Coast,MURANG'A,0,
