Facility_ID,Facility_Name
RNp406vYYZV,Acode Medical Clinic Maungu
wMWJQWX9XGJ,Action Ministry Clinic
M4hBq6jXYVg,Adadijolle Dispensary
rdvu0VThvPb,Adc Danisa Dispensary
bsMAZG875TR,Adel Medical Clinic-
H6ZB7kS5kBu,Adel Medical Clinic-
Ty3DipY6YXp,Adel Medical Clinic-
LvlU4n2bOKU,Adel Medical Clinic-
KuXhKaPkpJn,Adel Medical Clinic-
IKFPzs88xzi,Adel Medical Clinic-
Ya8HkTriZCR,Ademasajida Dispensary
L4HDKkzUSd6,Adenawale Dispensary
xGcOUjxW1hu,Adenville Medical Care Centre
E0sp9SbtPJo,Adiedo Dispensary
cQB8Va1pD81,Administration Police Dispensary (Kisumu)
byIrGBL0UNN,Administration Police Senior Staff College Dispensary
Qet1FBwDQ35,Adonai Medical Clinic
jU8suPCXwEX,Adonai Medical Services
mWrd789kQhB,Adopta Life Foundation (Ruai)
HFS6q5EReER,Adora children's clinic
pkKPZUYXl5l,Adu Dispensary
ctMzO1E2IjD,Adungosi Medical Clinic
QBjRycsLzPv,Adurkoit Dispensary
H3HtX9s0fVp,Advanced Cancer Centre
CcXV7mdobsl,Advent Med & Dentist Care Centre
Qpb8mWEy2bR,Advent Medicare and Maternity Center
ZjnMNXqHnuD,Adventist Centre for Care and Support
wlikHIimMVD,Aego Sagenya Dispensary
C5g52uSCdWk,Afarshanle Dispensary
bQHH5VWLP7g,Aflah Medical Centre
fUh3CKfP6Ee,Afraha Maternity and Nursing Home
ynVXQPsTDrH,Africa Inland Church Dispensary
Dp01W92uqkK,Africa Inuka Hospital
uzF1fKDwkXt,Africa Muslim Agency Dispensary
HlxvljEmO82,Africa Muslim Agency Dispensary (Kilifi)
rHLBktmIJak,African Divine Church VCT
tBJQVpuOtTx,Africana Mall Healthcare Limited
hgTExQwFnta,Africare Kisumu MEDANTA
GqFevfLN6Lh,Africare Limited - (Nakuru)
O8a2gcfMcNl,Africare Ltd (South C)
jq3U47R8OEe,Africare Ltd Forts building
k62qAqfRoTF,Africare Ltd Karen Clinic
WT5NhyAKVxE,Africare Ltd Medica (TRM)
FTVmVryLXiE,Africare Ltd NHIF clinic
hN8SUzKWR7g,Afwein Dispensary
UFcAlw0DpFu,Afya B Clinic (Kibirigwi)
PiaLSCX4gA5,Afya Bora Clinic
yLUrPn8o7pL,Afya Bora Clinic (Meru South)
BNcX5e9pXoY,Afya Bora Clinic (Mutomo)
lg1rCIPbHfu,Afya Bora Clinic (Mwea)
V3JHhreLqeF,Afya Bora Clinic Karia
WnOchhgZjcA,Afya Bora Clinic(Busia)
dJtM42JSMP9,Afya Bora Health Clinic
gieNHNbwcd5,Afya Bora Medical Clinic
NxuIax9WmUa,Afya Bora Medical Clinic
VeiYOuCdSDC,Afya Bora Medical Clinic
iTH2FlVyfE7,Afya Bora Medical Clinic (Cfw Clinic Gichugu)
rVtI7pd7E0o,Afya Bora Medical Clinic (Kilindini)
dzKV0uqrNvA,Afya Bora Medical Clinic (Magarini)
nkULxjvBpSM,Afya Bora Medical Clinic (Mirangine)
BdLHs7735de,Afya Bora Medical Clinic (Muchagara)
Os6yrC9h94h,Afya Bora Medical Clinic (Nyeri South)
JaM1GSe7mpQ,Afya Bora Medical Clinic (Turkana Central)
fBfuaQY8oFk,Afya Bora Wasonyiro Medical Clinic
q30Yo5l21vq,Afya Bora clinic
TPbMBvNHyBG,Afya Diabetic Support Centre
nTQaQUexWWX,Afya Frank Medical Clinic
wdClQzCFIJ4,Afya Health Care
hWEJ0N3924Y,Afya Health Essentials (Kangari)
D5R3RuMi3T5,Afya Health Services
zIH5D1lZ7bw,Afya Health System Hospital
xneQLS3T8fN,Afya House Dispensary
qsxmVDGFRfZ,Afya International Hospital
bogmNggWmg7,Afya Juja Clinic
ES1vXopOipl,Afya Kabel Medical Clinic
XhydRsbPFAy,Afya Kamili Medical centre
qG23wKJUT5W,Afya Link Medical Centre
ADDfnT62O7v,Afya Lite Medical Clinic
jx5moTSERAX,Afya Mashinani Medical Centre (Gachami)
KmvuNdxHwsv,Afya Medical Centre
muW6pzv7O3B,Afya Medical Clinic
vNS3tcXpX3a,Afya Medical Clinic
yhBIZvfnvT6,Afya Medical Clinic
NT6wwqpf4Li,Afya Medical Clinic (Garissa)
KdIuTfNb8d4,Afya Medical Clinic (Kangundo)
aVPrkIutAPp,Afya Medical Clinic (Kibingoti)
qtG0bLpXIP9,Afya Medical Clinic (Kirinyaga)
ECSEcllpsC4,Afya Medical Clinic (Mbaruk)
sncIvEveeK3,Afya Medical Clinic (Munyaka)
u6z6dxsLixP,Afya Medical Clinic (Muranga North)
CDoPxHD1mMF,Afya Medical Clinic (Nakuru)
DFB8hTBFhSc,Afya Medical Clinic (Nyeri North)
ODRJUwfTLvk,Afya Medical Clinic and Nursing Home (Wajir East)
Ib00PIj5bW2,Afya Medical Clinic(Dagoretti Market)
rEG7aYLeSGS,Afya Medical Ngambo Clinic
vSclqzoUNy8,Afya Medical Services
hiLPFIBtdcP,Afya Medicare Clinic
tlgebtfcuv9,Afya Nafuu Clinic
QtQRfq2Vjsz,Afya Njema Clinic
Oe4OFL3ogp1,Afya Njema Medical Clinic
zXGLJzYiaPN,Afya Njema Medical Clinic (Nyeri North)
wb3Yxik3zTg,Afya Nursing Home (Moyale)
xfYf1DKOP75,Afya Point Medicare Ltd
pZRr7UTYBCJ,Afya Point Medicare Ltd Annex
yN9xTaXYsay,Afya Royal Clinic
MFuOjAhnQMO,Afyacare health services
yDFS3YfMeZD,Afyafirst Medical Center
Z1B41Jyspno,Afyalife Family
bmeJqZjeQKG,Afyamax Medical Clinic
zyB0ZAySK90,Afyastar Medical Clinic
YtNck7qPEsv,Afyatele Center
uSAU7lcue1c,Aga Khan Bomet
kMgbp7ZqwoR,Aga Khan Clinic (Eastleigh)
JSyhb8IX7ei,Aga Khan Clinic Kitengela
nEPry7q0ix2,Aga Khan Health Service (Narok)
qqYLTXmBcnp,Aga Khan Health Service Bungoma Centre
czNciMCk3z5,Aga Khan Hospital
hmIgXXyNHOj,Aga Khan Hospital (Kisumu)
ckvRzmsUore,Aga Khan Hospital (Mombasa)
r28OUMDBzqU,Aga Khan Hospital Medical Clinic (Juja)
ekzOGVh8Bb8,Aga Khan Hospital Medical Clinic (Ongata Rongai)
NR2UKngQud9,Aga Khan Hospital(T-mall)
B0U9qBH7vGD,Aga Khan Medical Centre (Greenspan)
MxmEzCv2w4J,Aga Khan Medical Centre (Kapsabet)
rkHkixwhaAC,Aga Khan Medical Centre (Thika)
U8sl0OVOZty,Aga Khan Medical Centre Kericho
