Facility_ID,Facility_Name
w2Ug9ahGMyv,Eldoret Huduma Centre
i0FKQlNknpi,Eldoret Medical Services
nbu4J2elt5H,Eldoret Mtc Clinic
jlz3wEHqukS,Eldoret Rapha Medical Centre
oSujwH9YRmx,Eldoret Regional Blood Bank
cjG4G9usi40,Eldoret wellness Centre
n03ViTNtej2,Eldume dispensary
vkRR5MCQ8Q6,Ele Dimtu Dispensary
aMu7DI9kNTZ,Elele Dispensary
s9kwbdEs8V2,Elelea Dispensary
qcSRnc4yxHp,Elelea Health Centre
BJn7pH9easo,Elementeita Dispensary
lrjPnOvXZVX,Elephant Dental Clinic
yoJMH1m1UuF,Elephant Dental Clinic Lodwar
jFQclSN1ak3,Elephant Dental Limited
ARYbgYHAMWF,Elephant Dental Limited -Turbo
txgXxkKmOPx,Elephant Dental Nyeri Clinic
D8beg2jW4bh,Elephant Dental Rongai
uMqJNV3oo7f,Elephant Dental South C Clinic
Z1qEGjWMOJq,Elevated Medical Services
i1OiEsG9soh,Elfem Medical Clinic
mrrkBbBnDAW,Elfem Medical Clinic
TkcoIuJivLM,Elgade Dispensary
tC59iAtOoEh,Elgeyo Boader Dispensary
PGpN8Rp6Fng,Elgeyo Marakwet County Beyond Zero Mobile Clinic
ebaRFXRuM2v,Elgon Sunrise Medical Centre
VtasMqn6rRH,Elgon View Hospital
nvSVIH9Vnhg,Elgon View Medical Cottage
JGrtUED7jeq,Eliang'oma Dispensary
g40IfECqbpZ,Eliang'oma Dispensary (duplicate)
hWY1PyjFy2x,Elias Medical Clinic
xUpBlXZlInT,Eliezeri Medical Clinic
ItXHY0c1xHQ,Elikya Medical Centre
bB2Xlj8z1LN,Elim Family Community Care
kRECNdClNiJ,Elimundani Health Care
GKQzNZldaxw,Elinda Elite Clinic
GcjvcJqOljf,Elinda Elite Clinic
JqB5OUsl8dx,Elis Medicare
HdvXZUmBgPd,Elisheva Medical Clinic
f3DpTsb6cp5,Eliss Medical clinic
VpSmSc2jJHa,Elite Clinic
MHaisGccmoC,Elite Medical Clinic
MYPRxk1niPO,Elite Medical Clinic (Bungoma East)
utQKocY2EWu,Elite Medical Clinic (Mathira West)
VjDw19Sgkaf,Eliye Springs (AIC) Dispensary
YxONbNbnatv,Eliye Springs Community Dispensary
riawQuqQMzK,Ell borr Dispensary
xhq7LU5E9tw,Elnoor Dispensary
XBhrpfLSeRN,Eloi Medical clinic
TPAZOeKMtZG,Elox Medical Centre
oi9slMO4ftN,Elshadai CNS
B0cmfC2eXb8,Elshaddai Gitari Medical Clinic
zBsEoPFwY6l,Eltons (Malibu) Reinsurance
IPFzzGoJXRV,Eluanata Dispensary
iWFObHTUbzT,Eluche Dispensary
pZd75ZZ55tI,Elukhambi Dispensary
gfxtJpKcIpH,Eluuya Dispensary
cpmUjkUfMqG,Elwak District Hospital
OXJOVDf156w,Elwak Zone Medical Cntre
rD34qFui1sH,Elwakana Dispensary
PMtDVZGDXRv,Elwangale Health Centre
sKHkoTOfodh,Elwasambi Dispensary
fVYB9g9ByWU,Elwesero Model Health Centre
C4aAILvvq8n,Emahene Medical Clinic
GIFeW39NUTr,Emaira Dispensary
OIFg9MJ223l,Emaiyian Central Medical Services
efwHczq9gWX,Emali Health Services
Lbsm3keaoKp,Emali Model Health Centre
LtPA1KX6oXx,Emali Nursing Home
rvnWJ8GuD5d,Emalia Community Health Centre
h5OdkQ5jKdv,Emalindi Health Centre
dElavXVwO7j,Emaroro Dispensary
nqYAmS9DORu,Emarti Health Centre
FGkaUMhNlgb,Ematiha Dispensary
yXek4dIXZLk,Ematsuli Community Medical Clinic
RILlb5RVEkC,Ematsuli Dispensary
PsqLachh0WA,Emayian Medical Clinic
sWE2QXIZUUp,Embakasi East Subcounty Office
fqT44AXXEda,Embakasi Health Centre
PPSjQRRueFP,Embakasi Medical Centre
Y61H2WUieo9,Embaringo Dispensary
KprzFUDG8rA,Emboasis Dispensary
ZOaUu43IquR,Embomos Dispensary
wvzZZaYO0Fm,Embonga Health Centre
xO6kH1L8ArU,Embori Farm Clinic
SO6RbgdBJcw,Embu Children Clinic Tenri -makima
vomk8x4PVA8,Embu Children Hospital
giefgKS02Tb,Embu County Beyond Zero Clinic
SKuP2VISmHB,Embu Kmtc Dispensary
GGeGwK2VDkP,Embu Medical Centre
ubYSAHlGbvb,Embu Provincial General Hospital
tpP2Ovm8qTl,Embu Tumaini Medical Services
HcyfcLDm3Uv,Embu Univesity College Health Unit
d7MDV61a9Aw,Embu-Mbeere Hospice
WrPccSa6unz,Embulbul Catholic Dispensary
ay5PGGqDcSh,Emc Kimumu Dispensary
y4sOSvJO7uT,Emenyenche Dispensary
d0QIvhhdL9z,Emerging Infectious Disease Center
MKUwyQVh8df,Emeroka Dispensary
TeKLIwzizL1,Emining Health Centre
L3442xe7iTM,Emitik Dispensary
uLMA8BQcpLG,Emkwen Dispensary
KvLFGDbWhYL,Emmah Medical Clinic
OvL7GM8rL9p,Emmanuel Community Health Clinic
RvfuTKWH9qj,Emmanuel Community Health Clinic
xy049MboZIU,Emmanuel Community Health Clinic(Kiamariga)
sFIGmjKBUBC,Emmanuel Kigari (ACK) Dispensary
OhpI9PJON68,Emmanuel M/C VCT Centre
NaD1FLehrEC,Emmanuel Medical Centre
UUyH4NCNUM0,Emmanuel Medical Clinic
lOZSQ51ohBI,Emmanuel Medical Clinic
YNW6QLjXae4,Emmanuel Medical Clinic  1
H8IRuq63RFl,Emmanuel Medical Clinic (Bungoma East)
dtOZxBQHrkP,Emmanuel Medical Clinic (Nyeri North)
HZiAORKnE67,Emmaos Medical Clinic
A2m3Fgwhf2v,Emmaus Clinic
Z3kvNvsXyJ6,Emmaus Medical Clinic
eTyvnljzhoG,Emmaus Nursing Home
aoOmNFyVnT2,Emory Medical Centre
CliTX68kx8H,Emotoroki Dispensary
YfsAOeeHnbN,Empough Dispensary
pGq6RGzeK1Y,Emsea Dispensary
yr4lOeKMGHI,Emsos Dispensary
arDVLu1shRK,Emuhaya Sub County Referral Hospital
rGIiGfPUc5P,Emukaba Dispensary
gdfIQOPaeeQ,Emukaya Clinic
AvTfwNGesNk,Emumwenyi Dispensary
uShUZhhFGa4,Emung'abo Dispensary
eMNKy1TqKrE,Emurua Dikir Dispensary
KI0xDaiHbXY,Emurua Dikirr Health Centre
kTKSuT6LuIB,Emurua Dikirr VCT Stand Alone
Y4WLOwCSdbd,Emurutoto Health Centre
DkcS7mBduV7,Emusanda Dispensary
UgJPzSFxXX4,Emusenjeli Dispensary
bdcsVP2hS8A,Emusire Sub County Hospital
guZb4if7tPO,Emutsesa Health Centre
O45G8iPdPLI,Ena Dispensary
PnwtJbax3ac,Enabelbel Health Centre
XfmSS60inz3,Enaibor Ajijik Dispensary
HIpRwgWzNMg,Enanga Medical Clinic
gcCO74ZVSNZ,Enaramatishoreki Health Centre
hdwFJUINaeF,Endarasha Medical Clinic
I4AiM5QGOvq,Endarasha Rural Health Centre
wDMlEPzlByw,Endau Dispensary
CwoN2my0ByS,Endebess Sub- County Hospital
nDjLPbxyZeo,Endei Dispensary
ZQT01wKQqiS,Endiba Health Centre
ErkKmXcssVz,Endo Health Centre
aHOOBJkP1BM,Endoinyo Erinka Dispensary
Q3p0yDL2X5B,Endoinyo Narasha Dispensary
nYTmWl5oHq3,Enesampulai Dispensary
UzyDMLPCc1K,Engashura Health Centre
fS76SN2mDYs,Engineer District Hospital
toXjP0GCaAw,Engineer Medical Clinic
pVsn7nkMvBE,Engos Health Centre Africa Mission Services
QolMKv3x28D,Enkasiti Roses Farm Clinic
DklJd2VvNDB,Enkipai Dispensary
mNnJnNeH8ES,Enkirgirri Dispensary
sA5OzDo4x8L,Enkirotet Medical Clinic
pL7rjEsn8Ep,Enkisukudo Dispensary
lG07ZJsyqmr,Enkitok Joy Nursing Home
CxHwa9xXOKV,Enkitoria Dispensary
bgHmebHsAK1,Enkoireroi Dispensary
gYOZ3AWlmxb,Enkongu Narok Dispensary
d96sBCgxXJv,Enkorika Health Centre
dyIVQqy9XYs,Enkutoto Dispensary
eav3dCNhhNM,Enockhan Hospital
s4k4wYOsVLa,Enoosaen Health Centre
bqa2A7dwqQu,Enoosaen Zh Clinic
iSy25qMJVuC,Enooseyia Dispensary
s7TgHOGbOWJ,Enoosupukia Dispensary
g2rsmbgrpOJ,Ensakia Dispensary
CKXCsxmc0pN,Ensoko Dispensary
EXKcBdOos7W,Entanda Health Centre
coUfCZcj3eN,Entanke Dispensary
iOaejculBnN,Entarara Health Centre
n7CWDyCg200,Entargeeti Dispensary
ugnMZzMKZdT,Entargerti Dispensary
zB3p8XXnfaC,Entasekera Health Centre
lC6sEfdURfO,Entasopia Health Centre
g5JRuqxhV3g,Entiyani Dispensary
jqjto6gu9wJ,Entontol Dispensary
vd6duJcAST9,Enturoto Community Medical Clinic
qgDSFEunPy4,Enzai Afya Clinic
VGqblUm6NXe,Enzai Afya Medical Clinic
noBsOCX5AOF,Enzai Dispensary
TebstKvirIl,Enzaro Health Centre
x9P3yE4K4qt,Enziu Dispensary
QogykSNILE6,Epae Care  Medical Clinic
Zjpn1AZHcgB,Epkee Dispensary
Hz6Xa6Rs1ZJ,Epur Dispensary
Oaxk0qZiyaR,Equata Medical Center
YXQtZZgf1Mb,Equator Clinic
nLeQzXHFLRg,Equator Health Centre
BFMszIA8Pqk,Equator Nursing and Maternity Home
ZM57u3scxU3,Equity Afia
M0DGtRq0tQG,Equity Afia  Medical Centre (Kikuyu)
RcSHsZW5BJt,Equity Afia (Kitui Central)
jjD5gZecLeI,Equity Afia Clinic (Buruburu)
bSDuPlxYSJv,Equity Afia Clinic(Ongata Rongai)
IKOe53RRSNE,Equity Afia Githurai
AoLY14VRdeI,Equity Afia Kasarani Medical Centre
U8YOUxpPI5D,Equity Afia Kawangware
UdLjRu06EFZ,Equity Afia Kayole
U9kcKawx4eD,Equity Afia Kisii Medical Centre
wfh1KpY40Tg,Equity Afia Kitale
BJumRg9fU6R,Equity Afia Kitengela
QaznnniuO9z,Equity Afia Kitui
dPPDZHTjHJg,Equity Afia Limited-Changamwe Medical Centre
Tgbmw25TD1Z,Equity Afia Medical Center-Kiambu
XeaXctQcNwN,Equity Afia Medical Centre
QLfL8AnDNHu,Equity Afia Medical Centre Matuu
OmFWFHXT3xC,Equity Afia Medical Centre Ruiru
OdQgK1CncDx,Equity Afia Medical Centre- Kahawa West
dThQynOmWgp,Equity Afia Medical Clinic
MeU0Qkr5VH1,Equity Afia Medical Clinic Ruaka
USV4vg6DFrh,Equity Afia Meru
xGd1g8gsg5k,Equity Afia Naivasha
QoaILGNzOtX,Equity Afia Ngong Road
O9vEfGxGKLz,Equity Afia Utawala Medical Centre
Bwgk1GLci6I,Equity Afia marsabit
TtQyRT0EFa5,Equity Afia-Syokimau Medical Cen
JfBz9RekhRm,Equity Afya Imara
Ua0To7GPLd5,Equity Afya Medical Clinic Ngong
mNHB9oq3bpF,Equity Afya Medical Clinic Thika
naPilbRsq9u,Equity Afya Tassia
WNW0jlPo8Ad,Equity Medical Clinic
nFB9ebzwCnx,Equity Medical Clinic (Embulbul)
mBfDbRLXabb,Eramba Health Centre
yM8RF07S8zw,Eregi Teachers Training College Clinic
roFJGLr94Nu,Eremet Dispensary
cqlv5P8GMoU,Eremit Dispensary
jICnfZlW4cG,Ereteti Dispensary
ue7QvwrDLLL,Ereteti Dispensary (Narok South)
wa2IoikTDKY,Ereto Health Centre
KYc50Vep5A8,Eronge Health Centre
ErFV1YEIv4l,Erusiai Dispensary
kNAqc0TjwXt,Esageri Health Centre
YFxkxX3dyJ0,Esani Sub-District Hospital
VtFVcFGinER,Escarpment Dispensary
Ba8AMf3Y7OG,Escutar Health Partners Medical Clinic
lIV10nPF4zz,Eshe Katalel  Medical Clinic
WKpi4HTOfa6,Eshiabwali Health Centre
b0dYs7Od6bO,Eshibembe HealthCentre
OzmgYOzluXL,Eshibimbi Health Centre
e5jvA8P3nmJ,Eshibinga Health Centre
pAjKlmU1EzO,Eshikalame Dispensary
rEKNga4CgFK,Eshikhuyu Dispensary
ozud4J6eShX,Eshikulu Dispensary
hVOEvLLuWx6,Eshimukoko Health Centre
NmyQ8MdVjQY,Eshinamwenyuli Health Centre
dAnPb1AZoKy,Eshinutsa Health Centre
MkiipO90vNk,Eshio Community Healthcare Medical Clinic
hUDoz9oxecE,Eshiongo Dispensary
IBvuTu4Q05K,Eshirembe Dispensary
j8Oxit0bLF3,Eshisiru Catholic Dispensary
ZpyTzbn3OUZ,Eshisiru Maternity and Nursing Home
Ywgx9igtB4q,Eshisiru Medical Cottage
a9OHUtkxjO8,Eshu Dispensary
z1cwlRDg4i1,Esianyi Dispensary
fs0p5MurBkl,Esiarambatsi Health Centre
HrHLibwIUXR,Esidende Dispensary
kH3yXjFQi6C,Esikulu Dispensary
C5KZymXADHN,Esirulo Dispensary
rTT3LA86TCd,Esirulo Imani Medical Clinic
Av2bHzt2Sqw,Esitsaba Dispensary
DMt2HmdLtim,Eskot Dispensary
h9UGOZkDUQs,Esonorua Dispensary
U5I4KH0Th5P,Essaba Dispensary
eRPHPaOmHQp,Esther Memorial Nursing Home
FHYf7mQFpOT,Etago Sub-county Hospital
LzqV6rYc2RC,Ethi Dispensary
d9MqCk2B3Gs,Etono Health Centre
Osignver8oc,Eturungi Dispensary
GW2tdmpHBDH,Eullopath Healthcare Clinic
pPp8bFP77jC,Eunicare Health Service
NoZIrttrkFr,Eunice Medical Clinic
F7VXSx0v8xp,Eunik Highway Medical Clinic
rFq2yUidPbp,Euraka Medical Centre
QG5FvGByzJu,Eureka Medical Clinic
YCrrBFBNkAR,Euvan Medical Clinic
KhUd1xpG7Bx,Evan Medicare clinic
PxY8AYFL2w7,Evans Healthcare Clinic LTD
RVjOUIJIQd3,Everest Health Care (Mwingi Central)
pg62bbY0EaG,Everest Medical Clinic
Bk4h2SO7Iqr,Everjoy Medical Clinic
YahRlRweLRv,Ewanga'ne Suswa Dispensary
zXvvHLRSyw0,Ewaso Dispensary
wsx3VZHUNTl,Ewaso Ngiro Dispensary
u5q6JCLA4SL,Ewaso Ngiro Health Centre
xxV4wmw5vPj,Ewuaso Kedong Health Centre
TAkDgxy4P6i,Ex Lewa Dispensary
OQ6NTabGo14,Excel Health Services
gjcsT4a6BOz,Exodan Medical Clinic
bdOHo18B3QE,Exodus Medical Clinic
wQDso1NMOOj,Express Family Medical Centre
VU8wNMGHdyx,Express Medical Clinic
lAKsyXZVFaD,Express Medical Clinic (Kirinyaga)
reWMcVVoQTt,Exselle Health Care
zTphAgf8m37,Eye & U Opthalmic ltd
O5t8SLRF2Nj,Eye Friends Care Ltd
RSxSZpyKdWP,Eyemate Optical and Eye Clinic Spur Mall Ruiru
bfDG89DkYI8,Eymole Health Centre (Kilwehiri)
oWcLw8I5RPM,FAIR RONGAI DIC
jaoqToxEl3d,FAO Hope Medical Clinic
IqxpJrVL9lX,FGC of Kenya Medical Centre
dGGuPEx55Jl,FHOK - Family Care Medical Centre
A3nmHhgX3A2,FORTHALL MEMORIAL HOSPITAL LIMITED
we2pqbPCz06,FUNAN NYATA DISPENSARY
untvJztvNtD,FUNAN QUMBI
vYkHxdTDaCF,Fadhili Trust
IYzfAu0U48D,Fadi Medicare
bZiI2sy8cgT,Fafi Dispensary
WIaPAoNhUTW,Fahelma Community CFW Clinic
Dom2cnK42ML,Fairview Medical Clinic
i6ekwgYjWyS,Fairview Nursing Home
yonQQ2rrNaK,Fairview Nursing Home Kware
o2JlqKAhYjB,Faith CFW Clinic
T34CqOPE46U,Faith Clinic
VJZMAi77Kfr,Faith Clinic
EQFa2Y10UIg,Faith Health Care
hO6kQ4ulfKI,Faith Health Services Medical Clinic
v7zixZCeuB4,Faith Medical Centre
W6hqSBZe2jw,Faith Medical Centre Banana
YfcJlr8yMJV,Faith Medical Clinic
gK6ECHdUjtK,Faith Medical Clinic (Busia)
vWZQ6RW9L6N,Faith Medical Clinic (Ndumberi )
CFTGS1byY6z,Faith Medical Clinic (Nyeri North)
YCN9bBKjPTF,Faith Medical Clinic Karate
Vx58q4Ykcoz,Faith Medical Services
WyIfGWKn541,Faith Medical clinic
gMmgEY1hq3W,Faith Nursing Home (Ikutha)
MEkxPvjen2x,Faith Treatment &Rehabilitation Centre
dXNywkN1sRC,Faith and Gracious Clinic
mnETS54pJ1P,Faith medical Laboratory
HZ1PYRPbxGV,Falcon Medical Centre
nC3ean58DVH,Fame Outreach Rescue Clinic
EbQDbybQMYk,Familia Bora medical centre
ucaELOHr0vo,Family Access Medical Centre
H8jAinfMRE1,Family Care Clinic Kasarani
q0cTwzvHLTV,Family Care Eye Clinic
uadFHo5Wefw,Family Care Medical Centre & Maternity
Fzwvhn805YI,Family Care Medical Centre (Meru)
gyvG1OyFH07,Family Care Medical Centre (Phoenix)
yMCF8YNXiCg,Family Care Medical Clinic
zpH0BHzk7YR,Family Care Relief Organization Clinic
Opmfu494Mgt,Family Dental Care
HPHbHQLK8z6,Family Dental Clinic
nw2czLwAtH9,Family Focus Medical Clinic
Aqwl3O1qlqk,Family Health Care Clinic
wdfwIRFA0f4,Family Health Care Clinic
PeLI1m4mJLD,Family Health Centre (Embu)
ohsjmCBmeKW,Family Health Clinic
YD1R4h5efLX,Family Health Clinic
Tr1sTpFo5zl,Family Health Opition Kenya Clinic (Buret)
Stwjam6tZ4X,Family Health Option of Kenya
hT9tEKjRaEz,Family Health Options Kenya
LlzH0YaH2nB,Family Health Options Kenya (Eldoret)
tjl59t3dGDS,Family Health Options Kenya (FHOK) Dispensary
LDNmAdgzp9n,Family Health Options Kenya (Fhok) Mombasa
u4P8zegMd6d,Family Health Options Kenya Clinic
v82Bci8K2K5,Family Health Options Malindi(Medical Care)
Lcdw1b9sCH9,Family Health Options Phoenix
iiBFVUM2dwM,Family Health Options Ribeiro
xXwYZypX5T2,Family Health Options of Kenya Health Centre
o60L9F6mNU7,Family Health care clinic
UMCyqHU9tH1,Family Heritage Health Services
jOxh8VUJvmC,Family Heritage Hospital
pFb7K1jnZwy,Family Life Promotions and Services
xeJN8pFmFkk,Family Medical Centre (Kisauni)
cJLtabretOv,Family Medical Centre (Ruai)
jCOZjYrDwQK,Family Medical Clinic
k6nmAIVM6q6,Family Medical Clinic (Machakos)
Ozy7OmYUgoL,Family Medical Clinic (Machakos)
FUPHfBUrYVd,Family Nursing Home and Maternity  ( Mwingi Central)
bEAzoo6wEdl,Family Planning Association of Kenya Clinic (Nyeri)
jneHRlhDshV,Family Saver Medical Clinic
QfELCy3vLHI,Family Smiles Dental Clinic
hSwaofqzLvO,Family Solution Medical Centre
YRb6CGJR67E,Family health care-Ekalakala
L1zH43XIayb,Familyfirst Medical Centre Limited
czA09YU48PH,Fanaka Clinic
NUjabhQBdG4,Fanaka Medical Centre
LDQB3NPIARu,Faraja Family Care Hospital
urrwJcTtxd1,Farmers Choice Wellness Centre Clinic
PyJn0KUfndR,Fassal Medical Centre
myZFX5Mibao,Fathers Maternity and Health Services
dIQa6MENmm5,Fatima Health Centre (Lenkism)
j1cuuNQ8Ij7,Fatima Maternity Hospital
RQrz2WM0iYB,Fatuma Nur Dispensary
AvvVb7CdBbu,Favour Medical services
Wcs2js7vshS,Favour Primary Health Care
HvNOtZNsOHu,Favoured Medical Clinic
pRIHYPDHpWA,Fawz Hospital Limited_maralal
XKaCHDOafAo,Fayaa Medical Clinic
sUObdOLhKxm,Fayaa Nursing Home
aeKrwv19GI3,Faza Hospital
FkgndhqbZuP,Femicare Medical Centre
thY67yncVYL,Fena Medical Centre
NwhIVRw1Oz5,Fenway Medical Clinic
viGW4QkskZK,Fig Tree Clinic
RGQ5vMkQWhH,Fig Tree Health Options (Kericho)
O6hDdHQsQEB,Fig Tree Health Options Kericho Limited Chepseon
L4HZGmKiKO1,Figo Care Plus(K)Limited
VA9n4zwdZAj,Filhia Medical Clinic
rsoegRxvtRc,Fina Medical Clinic
HMReQ0i4UrP,Fina Medical Nursing Home
RUuG5QEv6pU,Fincharo Dispensary
tOX4ABm0xuB,Fine Pharmtech Medical Centre
SkDQBvp38fU,Fine Pharmtech Medical Centre
hcpENHJ3wEq,Finlay Flowers Dispensary
SoxsRKoslkn,Finlays Lemotit Dispensary
yPFIDVemJjX,Finlays Lemotit Farm Dispensary
P1RImTUT9kJ,Fino Health Center
DYuzChvbSKX,Firenze Nursing Home
pXjZirbDYgt,Firmview Medical Clinic
aROKfPobPbj,First Baptist Dispensary
WxyGmc2bfGp,First Community Hospital Mlolongo
LHAqAyizHQj,Firstcare Medical Clinic
obZQ6vqwYzN,Fitc Dispensary
y2D77QiEn2W,Flack Clinic
TSOBNmqRwHS,Flame Tree Chemist
BlfBnS88vK8,Flamingo Medical Centre
QB1sJCVMyBg,Flavour Medical Clinic
nPUGVm6SU9s,Flax Dispensary
METu8IbD9gX,Flocfami Health Clinic
vnaAFLAuDvm,Floder Medical Centre
FGFohunR5BH,Flomed Med Clinic
IB8U0J7QmWD,Flomed Medical Clinic
B8blAT8wK6C,Flopa Medical Clinic
sXarDdkL2eR,Florensis Kenya LTD Medical Clinic(Naivasha)
FeMhqcY8HNm,Florenza Medical Clinic Ltd
kbWGzOVNDL5,Florex Medical Clinic
Lv3KS98BE3H,Fluorspar Health Centre
n5HI7ogCAij,Fly over Health Clinic
M4wtCwNxrw6,Focus Clinical Diagnostic
MrNjWbEhkmf,Focus Clinical and Diagnostic Center
MtvI67Ygn7d,Focus Clinical and Diagnostic Centre Limited Embu
ekyijMndXzY,Focus Clinical and Diagnostic Centre-Soko Branch
nnjfTQKL7ac,Focus Health Care Services
XXiKLsV5a7v,Focus Medical Clinic and Counselling Centre
X9FDkVq9Kmu,Focus Outreach Clinic
nAhESVmNd29,Fofcom VCT
OH4ds3glLuJ,Forolle Dispensary
yu5NxiZSNIb,Forth Worth Medical Clinic
SfpW7tXDQjN,Fortis Kidney Center Limited(Upper hill)
oiYxWCOc1Wd,Fortress Medical Centre (Sagana)
Q9N0D3AoEOJ,Forttenan Sub District Hospital
KHzORc6DC6D,Foundation For People With Epilepsy
oXplRuO5ZW9,Fountain Healthcare
SHmS4JDGpA7,Fountain Healthcare Limited (Bungoma)
Oe4rhe2G6ug,Fountain Medical Centre
ye4fzfF4kAx,Fountain Medical Clinic
xC8ZUzKBz5c,Fountain of Hope Medical Clinic
RyzLT9D4nQ6,Fr Baldo Catholic Dispensary
rpXIL1W16a0,Fr Meru Dispensary
i9j0ml6TgJK,Fr andrian Heath Centre
cd6sn3qgM8n,Framo Medical Clinic
kEAiaTN0lIl,Franjane Medical Clinic
pVzNQ7elnIQ,Frankmart Medical Centre
WWINWVmQ8t8,Frayjoy Clinic (Dr Tumbo)
rnPrhdHRGl3,Fredie Msena Community Health Centre
oc7TVawKIq8,Freds Medical Services
EREWJVc03iw,Freedom Medical Clinic (Bomani)
MOCT5kWpB1Y,Freedom Medical Clinic (Mrima)
rvY6Idb4l9H,Fremo Medical Centre
z2WozBo9nen,Frepals Community Nursing Home
KcURlj7aDNJ,Frevane Hospital
wsoKktzLvGZ,Fribas Medical Clinic
a7ACqZdJ0Jm,Friend's medical Clinic Matunda
r9V2xNY8rTa,Friends Kiamokama Dispensary
YPEV3AXjzL1,Frontal Medical Center-Othoo Limited
wNC6ODJUZti,Frontal Nursing Home
uxNRm3RZXoY,Frontier Clinic
C4dLUCoCmvV,Frontline Clinic
yn0lkVS2Dzx,Frontline Medical Consultants limited
GPhY6a1o85E,Fujita Medical clinic
Lm8o853knxl,Fundi Issa Dispensary
vb01HlZpni0,Furaha Medical Care
mFCdD8GzFQC,Furqan Dispensary
mboMqtTzOGq,Future Age Medical Services
NhqbIqtewwY,Future Life Dispensary
bXLbJWoxw1d,G.K Prison Dispensary Yatta
J59IzJ4urRu,G.K prison Health Centre (Rachuonyo North)
eGjvGSJ7lYg,GALAXY HOSPITAL ISIOLO
JzGMqgmSuFD,GATHIMA-INI DISPENSARY
wwqFmV60qZg,GEDMED MEDICAL CENTER AND NURSING HOME
S1wCQfiVuTd,GITURA DISPENSARY
hcWdD9jFQQf,GK Farm Prisons Health Centre
VXVnMudPuzv,GK Prison Dispensary
VCqt9ZTuNPR,GK Prison Dispensary ( Bungoma South)
WqgsRsVlbaG,GK Prison Dispensary (Athi River)
gjWuUkoUd6U,GK Prison Dispensary (Embu)
NJapubNuu8k,GK Prison Dispensary (Garissa)
LkfOK4vuGtY,GK Prison Dispensary (Gathigiriri )
OdRWwXiMgZo,GK Prison Dispensary (Homa Bay)
Gxv9DP6J0on,GK Prison Dispensary (Isiolo)
yfWjbUihHoJ,GK Prison Dispensary (Kingongo)
TEyDNmHl2pa,GK Prison Dispensary (Kitui)
kY6qpwJgtAj,GK Prison Dispensary (Machakos)
jy9XzBfmPgT,GK Prison Dispensary (Meru)
IWJbY68Aqac,GK Prison Dispensary (Murang'a)
EiBCq9lN9VE,GK Prison Dispensary (Nandi Central)
jYf5PccXzRk,GK Prison Dispensary (Thika)
X7Y1EhqSJLb,GK Prisons Dispensary
kIKjM5pMTat,GK Prisons Dispensary (Busia)
s6uqKjvWZ5a,GK Prisons Dispensary (Eldoret East)
yanWZpO1esQ,GK Prisons Dispensary (Kakamega Central)
ulGSHXB0K1p,GK Prisons Dispensary (Kapenguria)
zPB3UE70MQi,GK Prisons Dispensary (Kericho)
g4uByH1jMGl,GK Prisons Dispensary (Kiambu Town)
XdmsyjZT77E,GK Prisons Dispensary (Kibos)
W0BuuoXoI0y,GK Prisons Dispensary (Laikipia East)
KLUEa9XQAXi,GK Prisons Dispensary (Ngeria)
a1BP3LxCq16,GK Prisons Dispensary (Turkana Central)
UsIVtgz5zw7,GK Remand Prison Dispensary
jKsut8yHbwG,GLEMAX MEDICAL CLINIC
aqPDo2vrSqN,GOD'S Favour CNS
PhL3UV3upc0,GOK Farm (Nahrc) Dispensary
gayIyTyhzca,GOK Prison Siaya
FCnnHgdbtY0,GOK Rumuruti Prisons Dispensary
pHw3J26tCvv,GOTU DISPENSARY ISIOLO
LRl9e3LWbrt,GSU Dispensary
LNSfbcw8qT2,GSU Dispensary (Kibish)
PSanwOd34Gy,GSU Dispensary (Nairobi West)
jvkgnDbjPig,GSU Dispensary (Ruiru)
ow2q63AEoPv,GSU Field Dispensary (Kajiado)
GZfphLYnupO,GSU Kinisa Dispensary
DWLpIjoOcan,GSU Training School
OJSMFPdIhRH,Gaatia Dispensary
wwAMPFx5r2c,Gababa Dispensary
gjfuS50CWn4,Gabi Medical Clinic
ouW5xdDSjnM,Gacabari Dispensary
Hxxa5EeFd68,Gacal Budget Hospital
NnQA0WgstOL,Gaceraka Dispensary
iAYhIEyBbk0,Gaceuni dispensary
hWx00ZhftP9,Gacharage Dispensary
n9wUBgKYzPo,Gacharagee Dispensary
nAh75w7qqtL,Gacharageini Dispensary
uc9u5DaD2P4,Gachatha Medical Clinic (Nyeri South)
OjfMUlTYbK1,Gachege Dispensary
xffm6sXHd1I,Gachika Dispensary
lHuuAQl16rT,Gachororo Health Centre
JKdghVb2cZi,Gachua Catholic Dispensary
bUrvl2BcNcx,Gachui Medical Centre
tCDh3rEYIVj,Gachuriri Dispensary
eKeevmjKeuN,Gaciongo Dispensary
Z49VsZxF3Pd,Gaciongo Dispensary (Kirinyaga)
k3F6UMOxbdd,Gadi Medical Clinic
BcpW3z9i4Ai,Gaena Community Medical Centre
hEPhBcKBF6Y,Gafarsa Health Centre
P4UmxBMnEUj,Gagaba Dispensary
uApzQdVcBRc,Gahaleni Dispensary
fvnBMGJT2Sb,Gaichanjiru Hospital
n4AZVucUVv2,Gaichanjiru Hospital (Satelite)
SzvFJZ4MS4G,Gaimu Medical Clinic
dX5ndMsjIkG,Gairoro Dispensary
TGqPTH8NIOA,Gaitu Dispensary
