County,SubCounty,Facility
Baringo County,Bartabwa Ward,Atiar Dispensary
Baringo County,Bartabwa Ward,Barbarchun Dispensary
Baringo County,Bartabwa Ward,Bartabwa Health Centre
Baringo County,Bartabwa Ward,Kalabata Dispensary
Baringo County,Bartabwa Ward,Kapturo Dispensary (Bartabwa)
Baringo County,Bartabwa Ward,Kinyach Dispensary
Baringo County,Bartabwa Ward,Moigutwo Dispensary
Baringo County,Bartabwa Ward,Terik Dispensary
Baringo County,Bartabwa Ward,Tunoiwo Dispensary
Baringo County,Barwessa Ward,Ayatya Dispensary
Baringo County,Barwessa Ward,Barwessa Health Centre
Baringo County,Barwessa Ward,Chemura
Baringo County,Barwessa Ward,Kapluk Dispensary
Baringo County,Barwessa Ward,Kaptiony Dispensary
Baringo County,Barwessa Ward,Katibel Dispensary
Baringo County,Barwessa Ward,Keturwo Dispensary
Baringo County,Barwessa Ward,Kiptaiwa
Baringo County,Barwessa Ward,Kuikui Health Centre
Baringo County,Barwessa Ward,Likwon Dispensary
Baringo County,Barwessa Ward,Muchukwo Dispensary
Baringo County,Churo/Amaya Ward,Churo Dispensary
Baringo County,Churo/Amaya Ward,Churo Health Centre
Baringo County,Churo/Amaya Ward,Kaptuya dispensary
Baringo County,Churo/Amaya Ward,Nasaltuko Dispensary
Baringo County,Churo/Amaya Ward,Plesian Dispensary
Baringo County,Emining Ward,Cheberen Dispensary
Baringo County,Emining Ward,Chemoinoi Dispensary
Baringo County,Emining Ward,Desroyal Healthcare
Baringo County,Emining Ward,Emining Health Centre
Baringo County,Emining Ward,Kabogor Dispensary
Baringo County,Emining Ward,Kamar Dispensary
Baringo County,Emining Ward,Kimose Dispensary
Baringo County,Emining Ward,Molok Dispensary
Baringo County,Emining Ward,Molos Dispensary
Baringo County,Emining Ward,Oterit Dispensary
Baringo County,Emining Ward,Radat Dispensary
Baringo County,Emining Ward,TIAN DISPENSARY
Baringo County,Ewalel/Chapchap Ward,Kapkomoi Dispensary
Baringo County,Ewalel/Chapchap Ward,Kaptorokwa Dispensary
Baringo County,Ewalel/Chapchap Ward,Kituro Health Centre
Baringo County,Ewalel/Chapchap Ward,Moi Teachers College Dispensary (Baringo)
Baringo County,Ewalel/Chapchap Ward,Riwo Dispensary
Baringo County,Ewalel/Chapchap Ward,Seretunin Health Centre
Baringo County,Ewalel/Chapchap Ward,Talai Dispensary
Baringo County,Ewalel/Chapchap Ward,Talai sec school Dispensary
Baringo County,Iichamus Ward,Eldume dispensary
Baringo County,Iichamus Ward,Illinga'Rua Dispensary
Baringo County,Iichamus Ward,Kampi Samaki Health Centre
Baringo County,Iichamus Ward,Kokwa Dispensary
Baringo County,Iichamus Ward,Longewan Dispensary(Baringo)
Baringo County,Iichamus Ward,Loropil Dispensary
Baringo County,Iichamus Ward,Meisori Dispensary
Baringo County,Kabarnet Ward,AIC Ebenezer
Baringo County,Kabarnet Ward,Baringo County Beyond Zero Mobile Clinic
Baringo County,Kabarnet Ward,Baringo County Referral Hospital
Baringo County,Kabarnet Ward,Barnet Memorial Hospital
Baringo County,Kabarnet Ward,Chesongo Dispensary
Baringo County,Kabarnet Ward,KERIO HOSPITAL-KABARNET CLINIC
Baringo County,Kabarnet Ward,Kabarnet Faith Clinic
Baringo County,Kabarnet Ward,Kabarnet High School Dispensary
Baringo County,Kabarnet Ward,Kabarnet Womens' Clinic
Baringo County,Kabarnet Ward,Kapkole Dispensary
Baringo County,Kabarnet Ward,Kaptimbor Dispensary
Baringo County,Kabarnet Ward,Kiboino Dispensary
Baringo County,Kabarnet Ward,Kipsoit Dispensary
Baringo County,Kabarnet Ward,Magonoi Dispensary
Baringo County,Kabarnet Ward,Mwafrika Institute of Development
Baringo County,Kabarnet Ward,Nakaja Medical Diagnostic Centre
Baringo County,Kabarnet Ward,Ngetmoi Dispensary
Baringo County,Kabarnet Ward,OINOBMOI MEDICAL CLINIC
Baringo County,Kabarnet Ward,Orokwo Dispensary
Baringo County,Kabarnet Ward,Reheal Medical Clinic
Baringo County,Kabarnet Ward,Salawa Catholic Mission Dispensary Phc
Baringo County,Kabarnet Ward,Salawa Health Centre
Baringo County,Kabarnet Ward,Tionybei Medical Clinic
Baringo County,Kabarnet Ward,Tionycare Hospital
Baringo County,Kabartonjo Ward,Bossei Dispensary
Baringo County,Kabartonjo Ward,Kabartonjo Referral Hospital
Baringo County,Kabartonjo Ward,Kapkiamo Dispensary
Baringo County,Kabartonjo Ward,Kapkitony Dispensary
Baringo County,Kabartonjo Ward,Kaptum Dispensary
Baringo County,Kabartonjo Ward,Kaptumin Dispensary
Baringo County,Kabartonjo Ward,Kasaka Dispensary
Baringo County,Kabartonjo Ward,Mormorio Dispensary
Baringo County,Kabartonjo Ward,Sumeiyon Dispensary
Baringo County,Kabartonjo Ward,Tiloi Dispensary
Baringo County,Kabartonjo Ward,Tionybei Medical Clinic (Kabartonjo)
Baringo County,Kabartonjo Ward,Tirriondonin Dispensary
Baringo County,Kapropita Ward,Alphil Medical Centre
Baringo County,Kapropita Ward,Borrowonin Dispensary
Baringo County,Kapropita Ward,Kapkelelwa Dispensary
Baringo County,Kapropita Ward,Kapkut Dispensary
Baringo County,Kapropita Ward,Kasitet Dispensary
Baringo County,Kapropita Ward,Kasoiyo Dispensary
Baringo County,Kapropita Ward,Kisok Dispensary
Baringo County,Kisanana Ward,Emsos Dispensary
Baringo County,Kisanana Ward,Kibotany Dispensary
Baringo County,Kisanana Ward,Kipkitur Dispensary
Baringo County,Kisanana Ward,Kisanana Health Centre
Baringo County,Kisanana Ward,Maji Moto Dispensary
Baringo County,Kisanana Ward,Molosirwe Dispensary
Baringo County,Kisanana Ward,Mugurin Dispensary
Baringo County,Kisanana Ward,Ng'Endalel Dispensary
Baringo County,Kisanana Ward,Oldebes Dispensary
Baringo County,Kisanana Ward,Olkokwe Health Centre
Baringo County,Kisanana Ward,Waseges Dispensary
Baringo County,Koibatek Ward,Esageri Health Centre
Baringo County,Koibatek Ward,Kiplombe Dispensary (Koibatek)
Baringo County,Koibatek Ward,Lebolos Dispensary
Baringo County,Koibatek Ward,Muserechi Dispensary
Baringo County,Koibatek Ward,Nakurtakwei Dispensary
Baringo County,Koibatek Ward,Sabatia Dispensary
Baringo County,Koibatek Ward,Solian Dispensary
Baringo County,Kolowa Ward,Barpello Dispensary
Baringo County,Kolowa Ward,Chepturu Dispensary
Baringo County,Kolowa Ward,Kipnai Dispensary
Baringo County,Kolowa Ward,Kolowa Health Centre
Baringo County,Kolowa Ward,Lodeng'o Health Centre
Baringo County,Kolowa Ward,Loiwat Dispensary
Baringo County,Kolowa Ward,Tilingwo Dispensary
Baringo County,Kolowa Ward,Tuwit dispensary
Baringo County,Lembus Kwen Ward,Arama Dispensary
Baringo County,Lembus Kwen Ward,Chemasusu Dispensary
Baringo County,Lembus Kwen Ward,Kapcholoi Dipensary
Baringo County,Lembus Kwen Ward,Kiptuno Dispensary
Baringo County,Lembus Kwen Ward,Sigoro Dispensary
Baringo County,Lembus Kwen Ward,Sinonin Dispensary (Koibatek)
Baringo County,Lembus Ward,SanJoseph Medical Centre
Baringo County,Lembus Ward,Seguton Dispensary
Baringo County,Lembus Ward,Timboroa Health Centre
Baringo County,Lembus Ward,Tinet Dispensary (Koibatek)
Baringo County,Lembus Ward,Torongo Health Centre
Baringo County,Lembus Ward,Tugumoi Dispensary
Baringo County,Lembus/Perkerra Ward,Kabimoi Dispensary
Baringo County,Lembus/Perkerra Ward,Karen Roses Dispensary
Baringo County,Lembus/Perkerra Ward,Kibias Dispensary
Baringo County,Lembus/Perkerra Ward,Sagat Dispensary
Baringo County,Lembus/Perkerra Ward,Saos Dispensary
Baringo County,Lembus/Perkerra Ward,Simotwet Dispensary (Koibatek)
Baringo County,Lembus/Perkerra Ward,Toniok Dispensary
Baringo County,Loiyamorok Ward,Chemoril Dispensary
Baringo County,Loiyamorok Ward,Chesirimion Dispensary
Baringo County,Loiyamorok Ward,Loruk Dispensary (East Pokot)
Baringo County,Loiyamorok Ward,Nginyang Health Centre
Baringo County,Loiyamorok Ward,Nyaunyau Dispensary
Baringo County,Loiyamorok Ward,Tuwo Dipensary
Baringo County,Marigat Ward,Barsemoi dispensary
Baringo County,Marigat Ward,Bekibon Dispensary
Baringo County,Marigat Ward,Cheplogoi Siri Medical  Clinic
Baringo County,Marigat Ward,Generation Afya  Centre
Baringo County,Marigat Ward,Honeyland Heallth .
Baringo County,Marigat Ward,Kapkuei Dispensary
Baringo County,Marigat Ward,Kapkures Dispensary (Baringo)
Baringo County,Marigat Ward,Kibingor Dispensary
Baringo County,Marigat Ward,Kimalel Health Centre
Baringo County,Marigat Ward,Koriema Dispensary
Baringo County,Marigat Ward,Maoi Dispensary
Baringo County,Marigat Ward,Marigat Catholic Mission
Baringo County,Marigat Ward,Marigat Sub District Hospital
Baringo County,Marigat Ward,Perkerra Medical Clinic
Baringo County,Marigat Ward,Sabor Dispensary
Baringo County,Marigat Ward,Sagitian Medical Clinic
Baringo County,Marigat Ward,Sangarau Dispensary
Baringo County,Marigat Ward,Sereton
Baringo County,Marigat Ward,Sogon Dispensary
Baringo County,Marigat Ward,Tebei Dispensary
Baringo County,Marigat Ward,Tinomoi dispensary
Baringo County,Marigat Ward,Tionybei Medical Clinic (Marigat)
Baringo County,Mochongoi Ward,Afya Kabel Medical Clinic
Baringo County,Mochongoi Ward,Alphil Medical Centre Limited
Baringo County,Mochongoi Ward,Kapkuikui Dispensary
Baringo County,Mochongoi Ward,Kasiela Dispensary
Baringo County,Mochongoi Ward,Kibagenge Dispensary Baringo
Baringo County,Mochongoi Ward,Kimoriot Dispensary
Baringo County,Mochongoi Ward,Koimugul Dispensary
Baringo County,Mochongoi Ward,Lamaiwe Dispensary
Baringo County,Mochongoi Ward,Loboi Dispensary
Baringo County,Mochongoi Ward,Mochongoi Health Centre
Baringo County,Mochongoi Ward,Nyimbei Dispensary
Baringo County,Mochongoi Ward,Ol-Arabel Dispensary
Baringo County,Mochongoi Ward,Sandai Dispensary
Baringo County,Mochongoi Ward,Tuiyobei Dispensary
Baringo County,Mogotio Ward,Alicent Medical Centre
Baringo County,Mogotio Ward,Faraja Family Care Hospital
Baringo County,Mogotio Ward,Glory Medical Clinic (Mogotio)
Baringo County,Mogotio Ward,Kapkein Dispensary
Baringo County,Mogotio Ward,Kimngorom Dispensary
Baringo County,Mogotio Ward,Kipsogon Dispensary
Baringo County,Mogotio Ward,Kiptoim Dispensary
Baringo County,Mogotio Ward,Koitebes Dispensary
Baringo County,Mogotio Ward,Mogotio Catholic Dispensary
Baringo County,Mogotio Ward,Mogotio Medical Clinic (Berur)
Baringo County,Mogotio Ward,Mogotio Sub County Hospital (Baringo)
Baringo County,Mogotio Ward,Neema Clinic
Baringo County,Mogotio Ward,Ngubereti Health Centre
Baringo County,Mogotio Ward,Nogoi Medical Centre
Baringo County,Mogotio Ward,Noiwet Medical Clinic
Baringo County,Mogotio Ward,Rosoga Dispensary
Baringo County,Mogotio Ward,Sagasagik Dispensary
Baringo County,Mogotio Ward,Sirwa Dispensary (Mogotio)
Baringo County,Mogotio Ward,Sore Dispensary
Baringo County,Mukutani Ward,Kapindasim Dispensary
Baringo County,Mukutani Ward,Kiserian Dispensary
Baringo County,Mukutani Ward,Mosuro Dispensary
Baringo County,Mukutani Ward,Sirata Dispensary
Baringo County,Mumberes/Maji Mazuri Ward,Equator Health Centre
Baringo County,Mumberes/Maji Mazuri Ward,Igure Dispensary
Baringo County,Mumberes/Maji Mazuri Ward,Maji Mazuri Dispensary
Baringo County,Ravine Ward,Alpha Medical Clinic (Koibatek)
Baringo County,Ravine Ward,BLISS GVS Health Care (Eldama Ravine)
Baringo County,Ravine Ward,Benonin Dispensary
Baringo County,Ravine Ward,Eldama Ravine (AIC) Health Centre
Baringo County,Ravine Ward,Eldama Ravine Medical Centre
Baringo County,Ravine Ward,Eldama Ravine Nursing Home
Baringo County,Ravine Ward,Eldama Ravine Sub County Hospital
Baringo County,Ravine Ward,Hillview Park Medical Clinic
Baringo County,Ravine Ward,Kabiyet Dispensary
Baringo County,Ravine Ward,Mercy Hospital
Baringo County,Ravine Ward,Nazareth Medical Clinic
Baringo County,Ravine Ward,Ravine Glory Health Care Services
Baringo County,Ravine Ward,Ravine Medical and ENT Clinic
Baringo County,Ravine Ward,Shalom Medical Clinical (Eldama Ravine)
Baringo County,Ribkwo Ward,Chemolingot Sub County Hospital
Baringo County,Ribkwo Ward,Chemsik Dispensary
Baringo County,Ribkwo Ward,Donge dispensary
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate1)
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate2)
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate3)
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate4)
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate5)
Baringo County,Ribkwo Ward,Donge dispensary (Duplicate6)
Baringo County,Ribkwo Ward,Katikit Dispensary
Baringo County,Ribkwo Ward,Kositei Dispensary
Baringo County,Ribkwo Ward,Maron Dispensary
Baringo County,Ribkwo Ward,Nyakwala Dispensary
Baringo County,Ribkwo Ward,Seretion Dispensary
Baringo County,Sacho Ward,Kaplel Dispensary
Baringo County,Sacho Ward,Kipsacho Dispensary
Baringo County,Sacho Ward,Kiptagich Health Centre
Baringo County,Sacho Ward,Sacho School Dispensary
Baringo County,Sacho Ward,Timboiywo Dispensary
Baringo County,Saimo/Soi Ward,Akorian Dispensary
Baringo County,Saimo/Soi Ward,Biretuwonin
Baringo County,Saimo/Soi Ward,Kapkole
Baringo County,Saimo/Soi Ward,Kipcherere Dispensary
Baringo County,Saimo/Soi Ward,Koroto Dispensary
Baringo County,Saimo/Soi Ward,Rondonin Dispensary
Baringo County,Saimo/Soi Ward,Sibilo Dispensary
Baringo County,Saimo/Soi Ward,Sutyechun Dispensary
Baringo County,Saimo/Soi Ward,Yatya Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Aiyebo Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Bartolimo Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kapchepkor Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kapkombe Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kasisit Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kasok Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kibiryokwonin Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Kimugul Dispensary (Baringo North)
Baringo County,Saimoi/Kipsaraman Ward,Kipsaraman Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Marubel Medical Clinic
Baringo County,Saimoi/Kipsaraman Ward,Poi Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Rebeko Dispensary
Baringo County,Saimoi/Kipsaraman Ward,Tirimionin Dispensary
Baringo County,Silale Ward,Akwichatis Health Centre
Baringo County,Silale Ward,Nakoko Health Centre
Baringo County,Silale Ward,Riongo Dispensary
Baringo County,Silale Ward,Topulen Dispensary
Baringo County,Tangulbei/Korossi Ward,Acacia Medical Clinic
Baringo County,Tangulbei/Korossi Ward,Chepkalacha Dispensary
Baringo County,Tangulbei/Korossi Ward,Kalapata Dispensary
Baringo County,Tangulbei/Korossi Ward,Katungura Dispensary
Baringo County,Tangulbei/Korossi Ward,Keriwok Dispensary
Baringo County,Tangulbei/Korossi Ward,Kokwototo Dispensary
Baringo County,Tangulbei/Korossi Ward,Komolion Dispensary
Baringo County,Tangulbei/Korossi Ward,Lomuke Dispensary
Baringo County,Tangulbei/Korossi Ward,Mukutani Dispensary (East Pokot)
Baringo County,Tangulbei/Korossi Ward,Tangulbei Sub county Hospital
Baringo County,Tangulbei/Korossi Ward,Tdmp Tangulbei Dispensary
Baringo County,Tenges Ward,Cheplambus Dispensary
Baringo County,Tenges Ward,Kisonei Dispensary
Baringo County,Tenges Ward,Lelgut Dispensary
Baringo County,Tenges Ward,Mogorwa Health Centre
Baringo County,Tenges Ward,Ochii Dispensary
Baringo County,Tenges Ward,Sorok Dispensary
Baringo County,Tenges Ward,Tenges Health Centre
Baringo County,Tirioko Ward,AGC Ngoron dispensary
Baringo County,Tirioko Ward,Kamurio Dispensary
Baringo County,Tirioko Ward,Kapunyany Dispensary
Baringo County,Tirioko Ward,Krezze Dispensary
Baringo County,Tirioko Ward,Ngoron Dispensary
Baringo County,Tirioko Ward,Ptigchi Dispensary
Baringo County,Tirioko Ward,Rotu dispensary
Bomet County,Boito Ward,Boito Dispensary
Bomet County,Boito Ward,Chemelet Dispensary
Bomet County,Boito Ward,Itare Dispensary
Bomet County,Boito Ward,Kabiangek Dispensary
Bomet County,Boito Ward,Kaptembwo Dispensary
Bomet County,Boito Ward,Kaptien Dispensary
Bomet County,Boito Ward,Kenyagoro Health Centre
Bomet County,Boito Ward,Koiwa Medical Clinic
Bomet County,Boito Ward,Michira Dispensary
Bomet County,Chebunyo Ward,Cheboyo Dispensary
Bomet County,Chebunyo Ward,Chebunyo Dispensary
Bomet County,Chebunyo Ward,Chebunyo Medical Clinic
Bomet County,Chebunyo Ward,Chebunyo Stand Alone VCT
Bomet County,Chebunyo Ward,Kaboson Health Centre
Bomet County,Chebunyo Ward,Kamaget Community Dispensary
Bomet County,Chebunyo Ward,Kamongil Dispensary
Bomet County,Chebunyo Ward,Kamusanga Dispensary1
Bomet County,Chebunyo Ward,Kataret Dispensary
Bomet County,Chebunyo Ward,Nogirwet Dispensary
Bomet County,Chebunyo Ward,Roborwo Dispensary
Bomet County,Chebunyo Ward,Tilangok Dispensary
Bomet County,Chemagel Ward,Chebongi dispensary
Bomet County,Chemagel Ward,Kamirai Dispensary
Bomet County,Chemagel Ward,Kaplong Hospital
Bomet County,Chemagel Ward,Kaplong Medical Clinic
Bomet County,Chemagel Ward,Kipajit Dispensary
Bomet County,Chemagel Ward,Sotik Health Centre
Bomet County,Chemagel Ward,Sotik Town VCT
Bomet County,Chemaner Ward,Chemaner Health Centre (Bomet)
Bomet County,Chemaner Ward,Kakimirai Dispensary
Bomet County,Chemaner Ward,Kimuchul Dispensary
Bomet County,Chemaner Ward,Mangoita dispensary
Bomet County,Chepchabas Ward,Changoi Dispensary
Bomet County,Chepchabas Ward,Chebitet Dispensary
Bomet County,Chepchabas Ward,Chemamul Dispensary
Bomet County,Chepchabas Ward,Chemosit dispensary
Bomet County,Chepchabas Ward,Chepchabas Dispensary
Bomet County,Chepchabas Ward,Cheptabes Dispensary
Bomet County,Chepchabas Ward,Kaproret Dispensary
Bomet County,Chepchabas Ward,Koruma Dispensary
Bomet County,Chepchabas Ward,Marinyin Dispensary
Bomet County,Chepchabas Ward,Simotwet Dispensary
Bomet County,Chepchabas Ward,Sinendet Tea Medical Clinic
Bomet County,Chepchabas Ward,Tenduet Dispensary
Bomet County,Chesoen Ward,Chesoen Dispensary
Bomet County,Chesoen Ward,Kapkoros Sub-county hospital
Bomet County,Chesoen Ward,Kiplelji Dispensary
Bomet County,Chesoen Ward,Kiptenden Dispensary 
Bomet County,Chesoen Ward,Kitaima Dispensary
Bomet County,Chesoen Ward,Segutiet Dispensary
Bomet County,Chesoen Ward,Sibayan Dispensary
Bomet County,Embomos Ward,Bosto Dispensary
Bomet County,Embomos Ward,Cheptalal Sub County Hospital
Bomet County,Embomos Ward,Embomos Dispensary
Bomet County,Embomos Ward,Kiptenden Dispensary (Konoin)
Bomet County,Embomos Ward,Kitala Dispensary
Bomet County,Embomos Ward,Satiet Dispensary
Bomet County,Embomos Ward,Siomo Health Centre
Bomet County,Embomos Ward,Sotit Dispensary
Bomet County,Kapletundo Ward,Chebilat Togomin
Bomet County,Kapletundo Ward,Chebirbelek Dispensary
Bomet County,Kapletundo Ward,Cheptangulgei Dispensary
Bomet County,Kapletundo Ward,Kapkesembe Dispensary
Bomet County,Kapletundo Ward,Kapletundo Dispensary
Bomet County,Kapletundo Ward,Kimawit-Uswet Dispensary
Bomet County,Kapletundo Ward,Kimolwet Dispensary
Bomet County,Kapletundo Ward,Kipsonoi Health Centre
Bomet County,Kapletundo Ward,Siroin Dispensary
Bomet County,Kapletundo Ward,Soymet Dispensary
Bomet County,Kapletundo Ward,lelechwet dispensary
Bomet County,Kembu Ward,Chemengwa Dispensary
Bomet County,Kembu Ward,Kembu Dispensary
Bomet County,Kembu Ward,Kipyosit Dispensary
Bomet County,Kembu Ward,Menet Dispensary
Bomet County,Kembu Ward,Tegat Sub County Hospital
Bomet County,Kimulot Ward,Chebangang Health Centre
Bomet County,Kimulot Ward,Chemalal Dispensary
Bomet County,Kimulot Ward,Kapset Dispensary
Bomet County,Kimulot Ward,Kapsinendet Dispensary
Bomet County,Kimulot Ward,Kimulot Dispensary
Bomet County,Kipreres Ward,Cheboror Dispensary
Bomet County,Kipreres Ward,Kiplobotwa Dispensary
Bomet County,Kipreres Ward,Mulot Health Centre (Bomet)
Bomet County,Kipreres Ward,Mulot stand alone VCT (Bomet)
Bomet County,Kipreres Ward,Olokyin Health Centre
Bomet County,Kipsonoi Ward,Chebango Dispensary
Bomet County,Kipsonoi Ward,Cheboet Dispensary
Bomet County,Kipsonoi Ward,Chebole dispensary
Bomet County,Kipsonoi Ward,Grace Medical Clinic
Bomet County,Kipsonoi Ward,Kapkelei Dispensary
Bomet County,Kipsonoi Ward,Kapkures Dispensary (Sotik)
Bomet County,Kipsonoi Ward,Kiptulwa Health Centre
Bomet County,Kipsonoi Ward,Kiricha Health Centre
Bomet County,Kipsonoi Ward,Motiret Dispensary
Bomet County,Kipsonoi Ward,Texas Cole Medical Clinic
Bomet County,Kong'asis Ward,Kiboson Dispensary
Bomet County,Kong'asis Ward,Kimaya Dispensary
Bomet County,Kong'asis Ward,Kiriba dispensary
Bomet County,Kong'asis Ward,Koimiret Dispensary
Bomet County,Kong'asis Ward,Makimeny Dispensary
Bomet County,Kong'asis Ward,Ndamichonik Dispensary
Bomet County,Kong'asis Ward,Olbutyo Health Centre
Bomet County,Longisa Ward,Bomet Satellite Blood Transfusion Centre(SBTC)
Bomet County,Longisa Ward,Bomet county Beyond Zero mobile clinic
Bomet County,Longisa Ward,Cheboin Dispensary (Bomet)
Bomet County,Longisa Ward,Kapkimolwa Dispensary
Bomet County,Longisa Ward,Legacy Family Health Option
Bomet County,Longisa Ward,Longisa County Referral Hospital
Bomet County,Merigi Ward,Belgut Dispensary
Bomet County,Merigi Ward,Irwaga Health Centre
Bomet County,Merigi Ward,Kapsimbiri Dispensary
Bomet County,Merigi Ward,Kiromwok Dispensary
Bomet County,Merigi Ward,Merigi Health Centre
Bomet County,Mogogosiek Ward,Cheptingting Dispensary
Bomet County,Mogogosiek Ward,Koiwa Health Centre
Bomet County,Mogogosiek Ward,Mogogosiek Health Centre
Bomet County,Mogogosiek Ward,Mogonjet Dispensary
Bomet County,Mogogosiek Ward,Salama Medical clinic
Bomet County,Mutarakwa Ward,Kanusin Dispensary
Bomet County,Mutarakwa Ward,Kapsangaru Dispensary
Bomet County,Mutarakwa Ward,Kiplelji Dispensary
Bomet County,Mutarakwa Ward,Muiywek Dispensary
Bomet County,Mutarakwa Ward,Solyot Dispensary
Bomet County,Mutarakwa Ward,Tarakwa Health centre
Bomet County,Ndanai/Abosi Ward,Gelegele Health Centre
Bomet County,Ndanai/Abosi Ward,Gorgor Dispensary
Bomet County,Ndanai/Abosi Ward,Hilldence Medical clinic
Bomet County,Ndanai/Abosi Ward,Kapchemibei Dispensary
Bomet County,Ndanai/Abosi Ward,Kapchumbe Dispensary
Bomet County,Ndanai/Abosi Ward,Kaplelach Dispensary
Bomet County,Ndanai/Abosi Ward,Kaplomboi Dispensary
Bomet County,Ndanai/Abosi Ward,Kipsingei Dispensary
Bomet County,Ndanai/Abosi Ward,Ndanai Sub County Hospital
Bomet County,Ndanai/Abosi Ward,Oldepesi Dispensary
Bomet County,Ndanai/Abosi Ward,Tabarit Dispensary
Bomet County,Ndaraweta Ward,Kwenik-ab-ilet Dispensary
Bomet County,Ndaraweta Ward,Ndarawetta Health centre
Bomet County,Ndaraweta Ward,Nyongores Dispensary
Bomet County,Ndaraweta Ward,Sonokwek Dispensary
Bomet County,Ndaraweta Ward,Teganda Dispensary
Bomet County,Ndaraweta Ward,mogindo dispensary
Bomet County,Nyangores Ward,Bomet Medical and Diagnostic Centre
Bomet County,Nyangores Ward,Bomet University Clinic
Bomet County,Nyangores Ward,Cheptagum Dispensary
Bomet County,Nyangores Ward,Itembe Dispensary
Bomet County,Nyangores Ward,JoyGabs Medical Clinic
Bomet County,Nyangores Ward,Kapkesosio Dispensary
Bomet County,Nyangores Ward,Roline Clinic
Bomet County,Nyangores Ward,Sachora Dispensary
Bomet County,Nyangores Ward,Siloam Hospital LTD Bomet
Bomet County,Nyangores Ward,Tenwek Hospital Annex (Bomet)
Bomet County,Rongena/Manaret Ward,Arroket Dispensary
Bomet County,Rongena/Manaret Ward,Burgei Dispensary
Bomet County,Rongena/Manaret Ward,Chebilat Dispensary
Bomet County,Rongena/Manaret Ward,Kaptebengwo Dispensary
Bomet County,Rongena/Manaret Ward,Mabwaita Dispensary
Bomet County,Rongena/Manaret Ward,Monirre Dispensary
Bomet County,Rongena/Manaret Ward,Rongena Dispensary
Bomet County,Rongena/Manaret Ward,Saruchat Dispensary
Bomet County,Rongena/Manaret Ward,Simbi Dispensary
Bomet County,Sigor Ward,Chepkosa dispensary
Bomet County,Sigor Ward,Kosia Dispensary
Bomet County,Sigor Ward,Lelaitich Dispensary
Bomet County,Sigor Ward,Lugumek Dispensary
Bomet County,Sigor Ward,Sigor Sub-District Hospital
Bomet County,Sigor Ward,Sugumerga Dispensary
Bomet County,Sigor Ward,Tumoi Dispensary
Bomet County,Silibwet Township Ward,Aga Khan Bomet
Bomet County,Silibwet Township Ward,Bomet GK Prison Dispensary
Bomet County,Silibwet Township Ward,Bomet Health Centre
Bomet County,Silibwet Township Ward,Bomet Youth centre
Bomet County,Silibwet Township Ward,Chelymo Medical Centre
Bomet County,Silibwet Township Ward,I Choose Life Africa (Bomet)
Bomet County,Silibwet Township Ward,Kapsimotwa Dispensary
Bomet County,Silibwet Township Ward,Njerian dispensary
Bomet County,Silibwet Township Ward,Silibwet Dispensary (Bomet)
Bomet County,Silibwet Township Ward,Silibwet Youth centre VCT
Bomet County,Silibwet Township Ward,Tenwek Mission Hospital
Bomet County,Silibwet Township Ward,Your Family clinics-Silibwet
Bomet County,Singorwet Ward,Kapngetuny dispensary
Bomet County,Singorwet Ward,Kitoben Dispensary
Bomet County,Singorwet Ward,Mugango Dispensary
Bomet County,Singorwet Ward,Singorwet Dispensary
Bomet County,Singorwet Ward,Tirgaga dispensary
Bomet County,Singorwet Ward,kabungut dispensary
Bomet County,Siongiroi Ward,Bingwa Dispensary
Bomet County,Siongiroi Ward,Chelelach Dispensary
Bomet County,Siongiroi Ward,Chepwostuiyet Dispensary
Bomet County,Siongiroi Ward,Kamundugi Dispensary
Bomet County,Siongiroi Ward,Kapisimba Dispensary
Bomet County,Siongiroi Ward,Kapoleseroi Dispensary
Bomet County,Siongiroi Ward,Kipsuter Dispensary
Bomet County,Siongiroi Ward,Siongiroi Health Centre
Bungoma County,Bokoli Ward,Bokoli Base Clinic
Bungoma County,Bokoli Ward,Bokoli Hospital
Bungoma County,Bokoli Ward,Closed_Miendo Dispensary             Delete
Bungoma County,Bokoli Ward,Mahanga Dispensary
Bungoma County,Bokoli Ward,Matisi Dispensary
Bungoma County,Bokoli Ward,Miendo Dispensary
Bungoma County,Bukembe East Ward,ACK Dr Pike Roper Medical Center
Bungoma County,Bukembe East Ward,Bukembe Dispensary
Bungoma County,Bukembe East Ward,Kongoli Dispensary
Bungoma County,Bukembe East Ward,Mangs Health Care Clinic
Bungoma County,Bukembe East Ward,Nzoia Medical Centre
